"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"ExeQwork GmbH Heidelberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"28.01.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"e8a7833225607719";"97737";"Thu Jul 16 14:30:34 2020"
"ExeQwork GmbH Heidelberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"28.01.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"eb0964b12335d4f4";"97737";"Thu Jul 16 14:30:34 2020"
"ExeQwork GmbH Heidelberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"13.02.2018";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"ead790f78e2124e8";"97737";"Thu Jul 16 14:30:34 2020"
"ExeQwork GmbH Heidelberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"17.03.2017";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"2211b3ce7317b6ca";"97737";"Thu Jul 16 14:30:34 2020"
"ExeQwork GmbH Heidelberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"23.12.2015";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"02316cb05a623350";"97737";"Thu Jul 16 14:30:34 2020"
"ExeQwork GmbH Heidelberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"05.01.2015";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"3dcf52df7ea8a8a7";"97737";"Thu Jul 16 14:30:34 2020"
"ExeQwork GmbH Heidelberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"22.10.2013";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"427145fccd192a69";"97737";"Thu Jul 16 14:30:34 2020"
"ExeQwork GmbH Heidelberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"12.02.2013";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"c99bedd912d4a5b6";"97737";"Thu Jul 16 14:30:34 2020"
"ExeQwork GmbH Heidelberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"09.01.2012";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"5874e4a2337b719d";"97737";"Thu Jul 16 14:30:34 2020"
"ExeQwork GmbH Heidelberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.03.2009 bis zum 31.12.2009";"01.02.2011";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"e846ae4e74b5aaa8";"97737";"Thu Jul 16 14:30:34 2020"
