"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Fast Forward Experts GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"15.07.2020";"100%";"0e6ad8a5ee8151adc1fb7843153d0870";"cca766745de04ebf";"42900";"Thu Jul 16 00:44:53 2020"
"Expert Techno Markt GmbH & Co. Beteiligungs KG Alling";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2018 bis zum 31.03.2019";"14.07.2020";"100%";"0e6ad8a5ee8151adc1fb7843153d0870";"d75bc837b344b9fc";"42900";"Thu Jul 16 00:44:53 2020"
"Wien Computer Expert GmbH Norderstedt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"14.07.2020";"100%";"0e6ad8a5ee8151adc1fb7843153d0870";"978b230bc8f7d7f7";"42900";"Thu Jul 16 00:44:53 2020"
"Expert Eyes Gesellschaft für Sicherheits- und Veranstaltungspersonal mbH & Co. KG Osnabrück";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2018 bis zum 30.06.2019";"13.07.2020";"100%";"0e6ad8a5ee8151adc1fb7843153d0870";"1f97d2135dccf52a";"42900";"Thu Jul 16 00:44:53 2020"
"Expert Techno Markt Kaufbeuren GmbH & Co. KG Kaufbeuren";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2018 bis zum 31.03.2019";"10.07.2020";"100%";"0e6ad8a5ee8151adc1fb7843153d0870";"45c5afdffdb2d216";"42900";"Thu Jul 16 00:44:53 2020"
"Expert TechnoMarkt Mindelheim GmbH & Co. KG Mindelheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2018 bis zum 31.03.2019";"10.07.2020";"100%";"0e6ad8a5ee8151adc1fb7843153d0870";"71d1d96831e9b669";"42900";"Thu Jul 16 00:44:53 2020"
"expert TechnoMarkt Rosenheim GmbH & Co. KG Rosenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2018 bis zum 31.03.2019";"10.07.2020";"100%";"0e6ad8a5ee8151adc1fb7843153d0870";"0dc6742796acfb22";"42900";"Thu Jul 16 00:44:53 2020"
"Allgeier Experts Pro GmbH München";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Allgeier SE (München)";"10.07.2020";"100%";"0e6ad8a5ee8151adc1fb7843153d0870";"5c46e4dfe91cd1a8";"42900";"Thu Jul 16 00:44:53 2020"
"Allgeier SE München";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"10.05.2019";"0e6ad8a5ee8151adc1fb7843153d0870";"5c46e4dfe91cd1a8";"42900";"Thu Jul 16 00:44:53 2020";"";""
"expert TechnoMarkt Unterhaching GmbH & Co. KG Unterhaching";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2018 bis zum 31.03.2019";"10.07.2020";"100%";"0e6ad8a5ee8151adc1fb7843153d0870";"b7891a3f85d76246";"42900";"Thu Jul 16 00:44:53 2020"
"Expert TechnoMarkt Erding 2 GmbH & Co. KG Erding";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2018 bis zum 31.03.2019";"10.07.2020";"100%";"0e6ad8a5ee8151adc1fb7843153d0870";"8587980deefee0f6";"42900";"Thu Jul 16 00:44:53 2020"
"Expert Techno Markt Dachau GmbH & Co. KG Dachau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2018 bis zum 31.03.2019";"10.07.2020";"100%";"0e6ad8a5ee8151adc1fb7843153d0870";"6f45505858d4b338";"42900";"Thu Jul 16 00:44:53 2020"
"expert TechnoMarkt Garmisch GmbH & Co. KG Garmisch-Partenkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2018 bis zum 31.03.2019";"10.07.2020";"100%";"0e6ad8a5ee8151adc1fb7843153d0870";"96dd4bb345e1c13f";"42900";"Thu Jul 16 00:44:53 2020"
"expert TechnoMarkt Schongau GmbH & Co. KG Schongau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2018 bis zum 31.03.2019";"10.07.2020";"100%";"0e6ad8a5ee8151adc1fb7843153d0870";"dbcae550bddb57f8";"42900";"Thu Jul 16 00:44:53 2020"
"Expert TechnoMarkt Augsburg GmbH & Co. KG Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2018 bis zum 31.03.2019";"10.07.2020";"100%";"0e6ad8a5ee8151adc1fb7843153d0870";"769e5fc7a91cf5f2";"42900";"Thu Jul 16 00:44:53 2020"
"expert TechnoMarkt Nordheide GmbH & Co. KG Alling";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2018 bis zum 31.03.2019";"10.07.2020";"100%";"0e6ad8a5ee8151adc1fb7843153d0870";"6fcf99b849ed9142";"42900";"Thu Jul 16 00:44:53 2020"
"expert TechnoMarkt Gräfelfing GmbH & Co. KG Gräfelfing";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2018 bis zum 31.03.2019";"10.07.2020";"100%";"0e6ad8a5ee8151adc1fb7843153d0870";"baded6c5f360f6b3";"42900";"Thu Jul 16 00:44:53 2020"
"Expert TechnoMarkt Gersthofen GmbH & Co KG Gersthofen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2018 bis zum 31.03.2019";"10.07.2020";"100%";"0e6ad8a5ee8151adc1fb7843153d0870";"ffe3fab9746f7d01";"42900";"Thu Jul 16 00:44:53 2020"
"expert TechnoMarkt Germering GmbH & Co. KG Germering";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2018 bis zum 31.03.2019";"10.07.2020";"100%";"0e6ad8a5ee8151adc1fb7843153d0870";"5a2b0706c2ca3e94";"42900";"Thu Jul 16 00:44:53 2020"
"expert TechnoMarkt Olching GmbH & Co. KG Olching";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2018 bis zum 31.03.2019";"10.07.2020";"100%";"0e6ad8a5ee8151adc1fb7843153d0870";"95b2077fe853ea85";"42900";"Thu Jul 16 00:44:53 2020"
"Expert TechnoMarkt Memmingen GmbH & Co. KG Memmingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2018 bis zum 31.03.2019";"10.07.2020";"100%";"0e6ad8a5ee8151adc1fb7843153d0870";"a763e96d577f3ddc";"42900";"Thu Jul 16 00:44:53 2020"
