"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"SMBC Bank EU AG Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Offenlegungsbericht nach CRR per 31. März 2019";"09.12.2019";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"1646b64e4c2cb760";"09925";"Tue Jul 14 10:27:21 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2019";"24.10.2019";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"5413b6aadc5e34a0";"09925";"Tue Jul 14 10:27:21 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2018";"31.08.2018";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"786876c382a0d9bb";"09925";"Tue Jul 14 10:27:21 2020"
"DMG MORI AKTIENGESELLSCHAFT Bielefeld";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"12.06.2018";"50%";"9f0e12c7f320e17bd3028846fa49a6eb";"c90cb4738b2d25cc";"09925";"Tue Jul 14 10:27:21 2020"
"technotrans AG Sassenberg";"Rechnungslegung/ Finanzberichte";"» Quarterly Financial Report at March 31, 2018";"23.05.2018";"50%";"9f0e12c7f320e17bd3028846fa49a6eb";"9112a46c189ddbd5";"09925";"Tue Jul 14 10:27:21 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2017";"29.12.2017";"50%";"9f0e12c7f320e17bd3028846fa49a6eb";"7711e1a0b53dfaa0";"09925";"Tue Jul 14 10:27:21 2020"
"China Construction Bank Corporation Niederlassung Frankfurt Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht";"07.01.2016";"50%";"9f0e12c7f320e17bd3028846fa49a6eb";"25b2681b0db4211c";"09925";"Tue Jul 14 10:27:21 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2015";"02.10.2015";"50%";"9f0e12c7f320e17bd3028846fa49a6eb";"e4739c0d3b98a36e";"09925";"Tue Jul 14 10:27:21 2020"
"Landwirtschaftliche Rentenbank Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2011";"05.09.2011";"50%";"9f0e12c7f320e17bd3028846fa49a6eb";"0847e77e7c4908da";"09925";"Tue Jul 14 10:27:21 2020"
"Plaut Aktiengesellschaft Wien";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht";"13.10.2010";"50%";"9f0e12c7f320e17bd3028846fa49a6eb";"66bd550551549b5f";"09925";"Tue Jul 14 10:27:21 2020"
"Bayerische Hypo- und Vereinsbank Aktiengesellschaft München";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30.06.2008";"20.10.2008";"50%";"9f0e12c7f320e17bd3028846fa49a6eb";"299e56c855931bad";"09925";"Tue Jul 14 10:27:21 2020"
"Landesbank Baden-Württemberg Stuttgart,  Karlsruhe,  Mannheim";"Rechnungslegung/ Finanzberichte";"» Interim Management Report 2007";"02.10.2007";"50%";"9f0e12c7f320e17bd3028846fa49a6eb";"c434fd6c506dba1a";"09925";"Tue Jul 14 10:27:21 2020"
