"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"GEFAK Gesellschaft für angewandte Kommunalforschung mbH Marburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2016 bis zum 30.06.2017 Ergänzung der Veröffentlichung vom 21.06.2018";"07.04.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"547c42bc12cc1c90";"10159";"Tue Jul 14 22:23:28 2020"
"GEFAK Gesellschaft für angewandte Kommunalforschung mbH Marburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2017 bis zum 30.06.2018";"27.06.2019";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"d01b56dd72d38781";"10159";"Tue Jul 14 22:23:28 2020"
"GEFAK Gesellschaft für angewandte Kommunalforschung mbH Marburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2016 bis zum 30.06.2017 Ergänzt am 07.04.2020";"21.06.2018";"98%";"9f0e12c7f320e17bd3028846fa49a6eb";"06f00ff4b69616f2";"10159";"Tue Jul 14 22:23:28 2020"
"GEFAK Gesellschaft für angewandte Kommunalforschung mbH Marburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2015 bis zum 30.06.2016";"21.07.2017";"98%";"9f0e12c7f320e17bd3028846fa49a6eb";"809eb99a17180f3d";"10159";"Tue Jul 14 22:23:28 2020"
"GEFAK Gesellschaft für angewandte Kommunalforschung mbH Marburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2014 bis zum 30.06.2015";"27.07.2016";"98%";"9f0e12c7f320e17bd3028846fa49a6eb";"573d43dc0e5f97cb";"10159";"Tue Jul 14 22:23:28 2020"
"GEFAK Gesellschaft für angewandte Kommunalforschung mbH Marburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2013 bis zum 30.06.2014";"24.04.2015";"98%";"9f0e12c7f320e17bd3028846fa49a6eb";"bc674f87f736473f";"10159";"Tue Jul 14 22:23:28 2020"
"GEFAK Gesellschaft für angewandte Kommunalforschung mbH Marburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2012 bis zum 30.06.2013";"17.06.2014";"98%";"9f0e12c7f320e17bd3028846fa49a6eb";"ec8a8628ff51c554";"10159";"Tue Jul 14 22:23:28 2020"
"GEFAK Gesellschaft für angewandte Kommunalforschung mbH Marburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2011 bis zum 30.06.2012";"23.05.2013";"98%";"9f0e12c7f320e17bd3028846fa49a6eb";"e0ed9e61a37b541a";"10159";"Tue Jul 14 22:23:28 2020"
"GEFAK Gesellschaft für angewandte Kommunalforschung mbH Marburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2010 bis zum 30.06.2011";"12.04.2012";"98%";"9f0e12c7f320e17bd3028846fa49a6eb";"787482b4505337a3";"10159";"Tue Jul 14 22:23:28 2020"
"GEFAK Gesellschaft für angewandte Kommunalforschung mbH Marburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2009 bis zum 30.06.2010";"18.02.2011";"98%";"9f0e12c7f320e17bd3028846fa49a6eb";"fbb2625fe821420d";"10159";"Tue Jul 14 22:23:28 2020"
"GEFAK Gesellschaft für angewandte Kommunalforschung mbH Marburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2008 bis zum 30.06.2009";"06.05.2010";"98%";"9f0e12c7f320e17bd3028846fa49a6eb";"1973c2f23415d0bc";"10159";"Tue Jul 14 22:23:28 2020"
"GEFAK Gesellschaft für angewandte Kommunalforschung mbH Marburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2007 bis zum 30.06.2008";"09.04.2009";"98%";"9f0e12c7f320e17bd3028846fa49a6eb";"d5e34647899e0a02";"10159";"Tue Jul 14 22:23:28 2020"
