"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"GFAD IT und Service GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"05.06.2019";"100%";"e3d38d25a1d2f9f002a20e1ec49591d2";"bd1dfcaec19b755d";"21664";"Wed Jul 15 12:31:14 2020"
"GFAD IT und Service GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"28.09.2018";"100%";"e3d38d25a1d2f9f002a20e1ec49591d2";"e21ebdc7cd117734";"21664";"Wed Jul 15 12:31:14 2020"
"GFAD IT und Service GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"10.08.2017";"98%";"e3d38d25a1d2f9f002a20e1ec49591d2";"0ea16c7efe0b7f5c";"21664";"Wed Jul 15 12:31:14 2020"
"GFAD IT und Service GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"03.06.2016";"98%";"e3d38d25a1d2f9f002a20e1ec49591d2";"16ca35969dcf93bd";"21664";"Wed Jul 15 12:31:14 2020"
"GFAD IT und Service GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"04.12.2015";"98%";"e3d38d25a1d2f9f002a20e1ec49591d2";"e9b74e4c7f121d15";"21664";"Wed Jul 15 12:31:14 2020"
"GFAD IT und Service GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"15.12.2014";"98%";"e3d38d25a1d2f9f002a20e1ec49591d2";"debd621dc117f0ae";"21664";"Wed Jul 15 12:31:14 2020"
"GFAD IT und Service GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"03.06.2013";"98%";"e3d38d25a1d2f9f002a20e1ec49591d2";"c77cda3868bfb45c";"21664";"Wed Jul 15 12:31:14 2020"
"GFAD IT und Service GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"06.11.2012";"98%";"e3d38d25a1d2f9f002a20e1ec49591d2";"c751ba1244a7b5d7";"21664";"Wed Jul 15 12:31:14 2020"
"GFAD IT und Service GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"28.12.2011";"98%";"e3d38d25a1d2f9f002a20e1ec49591d2";"4d161ef5cae38cac";"21664";"Wed Jul 15 12:31:14 2020"
"GFAD IT und Service GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"15.12.2010";"98%";"e3d38d25a1d2f9f002a20e1ec49591d2";"9b5440ecc357e62b";"21664";"Wed Jul 15 12:31:14 2020"
