"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"GFAD Softwarehaus GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"06.06.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"a02323c4dc1ece62";"14207";"Thu Jul 16 07:16:17 2020"
"GFAD Softwarehaus GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"28.09.2018";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"8d8c0f052f712878";"14207";"Thu Jul 16 07:16:17 2020"
"GFAD Softwarehaus GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"10.08.2017";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"a4c53af6d526a3eb";"14207";"Thu Jul 16 07:16:17 2020"
"GFAD Softwarehaus GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"06.06.2016";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"8c97d4a57d0d7089";"14207";"Thu Jul 16 07:16:17 2020"
"GFAD Softwarehaus GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"03.12.2015";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"0b28556793b889ff";"14207";"Thu Jul 16 07:16:17 2020"
"GFAD Softwarehaus GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"10.12.2014";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"262643c29f578c72";"14207";"Thu Jul 16 07:16:17 2020"
"GFAD Softwarehaus GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"03.06.2013";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"a218f4b8c6ab056c";"14207";"Thu Jul 16 07:16:17 2020"
"GFAD Softwarehaus GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 20.11.2009 bis zum 31.12.2009";"18.02.2013";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"e8ec88f02f27ff7d";"14207";"Thu Jul 16 07:16:17 2020"
"GFAD Softwarehaus GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"24.01.2013";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"645bc2e150315fba";"14207";"Thu Jul 16 07:16:17 2020"
"GFAD Softwarehaus GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"08.11.2012";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"d4407c217b44ffcb";"14207";"Thu Jul 16 07:16:17 2020"
