"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"GOBAS Gesellschaft für Organisation und betriebswirtschaftliche Anwendungs-Systeme
                                       mbH Braunschweig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"14.11.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"5dc2f757aadc1ff6";"32639";"Wed Jul 15 21:01:34 2020"
"GOBAS Gesellschaft für Organisation und betriebswirtschaftliche Anwendungs-Systeme
                                       mbH Braunschweig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"10.12.2018";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"b2f98a19d698bed8";"32639";"Wed Jul 15 21:01:34 2020"
"GOBAS Gesellschaft für Organisation und betriebswirtschaftliche Anwendungs-Systeme
                                       mbH Braunschweig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"05.09.2017";"99%";"aba51bcc9fdd59516710d900a8a5ca24";"2721e1e29eb91baf";"32639";"Wed Jul 15 21:01:34 2020"
"GOBAS Gesellschaft für Organisation und betriebswirtschaftliche Anwendungs-Systeme
                                       mbH Braunschweig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"25.05.2016";"99%";"aba51bcc9fdd59516710d900a8a5ca24";"4d3c129bf5e27462";"32639";"Wed Jul 15 21:01:34 2020"
"GOBAS Gesellschaft für Organisation und betriebswirtschaftliche Anwendungs-Systeme
                                       mbH Braunschweig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"29.04.2015";"99%";"aba51bcc9fdd59516710d900a8a5ca24";"320c18fb77e8d510";"32639";"Wed Jul 15 21:01:34 2020"
"GOBAS Gesellschaft für Organisation und betriebswirtschaftliche Anwendungs-Systeme
                                       mbH Braunschweig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"22.05.2014";"99%";"aba51bcc9fdd59516710d900a8a5ca24";"2426c1e3a0d716f6";"32639";"Wed Jul 15 21:01:34 2020"
"GOBAS Gesellschaft für Organisation und betriebswirtschaftliche Anwendungs-Systeme
                                       mbH Braunschweig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"17.12.2013";"99%";"aba51bcc9fdd59516710d900a8a5ca24";"5dcb8ccd2ff92b6e";"32639";"Wed Jul 15 21:01:34 2020"
"GOBAS Gesellschaft für Organisation und betriebswirtschaftliche Anwendungs-Systeme
                                       mbH Braunschweig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"23.04.2012";"99%";"aba51bcc9fdd59516710d900a8a5ca24";"3f71c47d4af242c2";"32639";"Wed Jul 15 21:01:34 2020"
"GOBAS Gesellschaft für Organisation und betriebswirtschaftliche Anwendungs-Systeme
                                       mbH Braunschweig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"13.01.2012";"99%";"aba51bcc9fdd59516710d900a8a5ca24";"05f63a7226f21a6b";"32639";"Wed Jul 15 21:01:34 2020"
"GOBAS Gesellschaft für Organisation und betriebswirtschaftliche Anwendungs-Systeme
                                       mbH Braunschweig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"12.01.2011";"99%";"aba51bcc9fdd59516710d900a8a5ca24";"1e4d72ee3e85f621";"32639";"Wed Jul 15 21:01:34 2020"
"GOBAS Gesellschaft für Organisation und betriebswirtschaftliche Anwendungs-Systeme
                                       mbH Braunschweig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"29.01.2010";"99%";"aba51bcc9fdd59516710d900a8a5ca24";"87879d375a3b42ef";"32639";"Wed Jul 15 21:01:34 2020"
"GOBAS Gesellschaft für Organisation und betriebswirtschaftliche Anwendungs-Systeme
                                       mbH Braunschweig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"27.01.2009";"99%";"aba51bcc9fdd59516710d900a8a5ca24";"dd871cf7f6902f93";"32639";"Wed Jul 15 21:01:34 2020"
