"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Anzeigenblatt Eichsfeld GmbH & Co KG (Leinefelde-Worbis),  Beteiligungsgesellschaft Neue Zeitung mbH & Co. KG (Hannover),  BLS Brieflogistik Sachsen GmbH & Co. KG (Leipzig),  Deine Tierwelt GmbH & Co. KG (Hannover),  Digitalathleten GmbH & Co. KG (Hannover),  Druck- und Pressehaus Naumann GmbH & Co. KG (Gelnhausen),  elbe WOCHENBLATT Verlagsgesellschaft m.b.H. & Co. KG (Hamburg),  Göttinger Tageblatt GmbH & Co. KG (Göttingen),  GUTENBERG RECHENZENTRUM GmbH & Co. KG. (Hannover),  Leipziger Anzeigenblatt Verlag GmbH & Co. KG (Leipzig),  Leipziger Verlags- und Druckereigesellschaft mbH & Co. KG (Leipzig),  Madsack Medienagentur GmbH & Co. KG (Hannover),  Madsack Medien Campus GmbH & Co. KG (Hannover),  MADSACK Medien Hannover GmbH & Co. KG (Hannover),  Madsack Medien Ostniedersachsen GmbH & Co. KG (Peine),  Madsack Online GmbH & Co. KG (Hannover),  Madsack Travel GmbH & Co. KG (Hannover),  Madsack Verlags- und Redaktionsgesellschaft Hannover mbH & Co. KG (Hannover),  MH Niedersachsen GmbH & Co. KG (Neustadt),  MV Beteiligungsgesellschaft mbH & Co. KG (Rostock),  MV Media GmbH & Co. KG (Rostock),  Neue Presse Redaktion GmbH & Co. KG (Hannover),  Ostsee-Zeitung GmbH & Co. KG. (Rostock),  Philapress Zeitschriften und Medien GmbH & Co. KG (Göttingen),  RSG Redaktions Service GmbH & Co. KG (Lübeck),  Schaumburger Nachrichten Verlagsgesellschaft mbH & Co. KG (Stadthagen),  TVN CORPORATE MEDIA GmbH & Co. KG (Hannover),  TVN GROUP HOLDING GmbH & Co. KG (Hannover),  TVN PRODUCTION GmbH & Co. KG (Hannover),  Verlag Dresdner Nachrichten GmbH & Co. KG (Dresden),  Verlag SCHAUFENSTER GmbH & Co. (Wolfenbüttel),  Verlagsgesellschaft Madsack GmbH & Co. KG (Hannover),  Wochenspiegel Verlagsgesellschaft mbh Potsdam & Co. KG (Potsdam),  Zeitungsverlag Naumburg Nebra GmbH & Co. Kommanditgesellschaft (Naumburg) Hannover";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Verlagsgesellschaft Madsack GmbH & Co. KG (Hannover)";"21.01.2020";"100%";"e3d38d25a1d2f9f002a20e1ec49591d2";"fc478e2d777b1cd4";"54075";"Wed Jul 15 13:29:06 2020"
"Verlagsgesellschaft Madsack GmbH & Co. KG Hannover";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"23.01.2020";"e3d38d25a1d2f9f002a20e1ec49591d2";"fc478e2d777b1cd4";"54075";"Wed Jul 15 13:29:06 2020";"";""
"Anzeigenblatt Eichsfeld GmbH & Co KG (Leinefelde-Worbis),  Beteiligungsgesellschaft Neue Zeitung mbH & Co. KG (Hannover),  BLS Brieflogistik Sachsen GmbH & Co. KG (Leipzig),  Druck- und Pressehaus Naumann GmbH & Co. KG (Gelnhausen),  elbe WOCHENBLATT Verlagsgesellschaft m.b.H. & Co. KG (Hamburg),  Göttinger Tageblatt GmbH & Co. KG (Göttingen),  GUTENBERG RECHENZENTRUM GmbH & Co. KG. (Hannover),  Leipziger Anzeigenblatt Verlag GmbH & Co. KG (Leipzig),  Leipziger Verlags- und Druckereigesellschaft mbH & Co. KG (Leipzig),  Madsack-Media-Store GmbH & Co. KG (Hannover),  Madsack Medienagentur GmbH & Co. KG (Hannover),  Madsack Medien Campus GmbH & Co. KG (Hannover),  MADSACK Medien Hannover GmbH & Co. KG (Hannover),  Madsack Medien Ostniedersachsen GmbH & Co. KG (Peine),  Madsack Online GmbH & Co. KG (Hannover),  Madsack Verlags- und Redaktionsgesellschaft Hannover mbH & Co. KG (Hannover),  Madsack Vertical GmbH & Co. KG (Hannover),  MH Niedersachsen GmbH & Co. KG (Neustadt),  MV Beteiligungsgesellschaft mbH & Co. KG (Rostock),  MV Media GmbH & Co. KG (Rostock),  Neue Presse Redaktion GmbH & Co. KG (Hannover),  Ostsee-Zeitung GmbH & Co. KG. (Rostock),  Philapress Zeitschriften und Medien GmbH & Co. KG (Göttingen),  RSG Redaktions Service GmbH & Co. KG (Lübeck),  Schaumburger Nachrichten Verlagsgesellschaft mbH & Co. KG (Stadthagen),  TVN CORPORATE MEDIA GmbH & Co. KG (Hannover),  TVN GROUP HOLDING GmbH & Co. KG (Hannover),  TVN PRODUCTION GmbH & Co. KG (Hannover),  Verlag Dresdner Nachrichten GmbH & Co. KG (Dresden),  Verlag SCHAUFENSTER GmbH & Co. (Wolfenbüttel),  Verlagsgesellschaft Madsack GmbH & Co. KG (Hannover),  Wochenspiegel Verlagsgesellschaft mbh Potsdam & Co. KG (Potsdam),  Zeitungsverlag Naumburg Nebra GmbH & Co. Kommanditgesellschaft (Naumburg) Hannover";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Verlagsgesellschaft Madsack GmbH & Co. KG (Hannover)";"25.02.2019";"100%";"e3d38d25a1d2f9f002a20e1ec49591d2";"fea015a36b870e8c";"54075";"Wed Jul 15 13:29:06 2020"
"Verlagsgesellschaft Madsack GmbH & Co. KG Hannover";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"16.01.2019";"e3d38d25a1d2f9f002a20e1ec49591d2";"fea015a36b870e8c";"54075";"Wed Jul 15 13:29:06 2020";"";""
"Anzeigenblatt Eichsfeld GmbH & Co KG (Leinefelde-Worbis),  Beteiligungsgesellschaft Neue Zeitung mbH & Co. KG (Hannover),  BLS Brieflogistik Sachsen GmbH & Co. KG (Leipzig),  Deister-Medien GmbH & Co. KG (Hannover),  Druck- und Pressehaus Naumann GmbH & Co. KG (Gelnhausen),  elbe WOCHENBLATT Verlagsgesellschaft m.b.H. & Co. KG (Hamburg),  Göttinger Tageblatt GmbH & Co. (Göttingen),  GUTENBERG RECHENZENTRUM GmbH & Co. KG. (Hannover),  Leipziger Anzeigenblatt Verlag GmbH & Co. KG (Leipzig),  Leipziger Verlags- und Druckereigesellschaft mbH & Co. KG (Leipzig),  Madsack Heimatzeitungen GmbH & Co. KG (Garbsen),  Madsack-Media-Store GmbH & Co. KG (Hannover),  Madsack Medienagentur GmbH & Co. KG (Hannover),  Madsack Medien Campus GmbH & Co. KG (Hannover),  MADSACK Medien Hannover GmbH & Co. KG (Hannover),  Madsack Medien Ostniedersachsen GmbH & Co. KG (Peine),  Madsack Online GmbH & Co. KG (Hannover),  MH Niedersachsen GmbH & Co. KG (Neustadt),  MV Beteiligungsgesellschaft mbH & Co. KG (Rostock),  MV Media GmbH & Co. KG (Rostock),  Neue Presse Redaktion GmbH & Co. KG (Hannover),  Ostsee-Zeitung GmbH & Co. KG. (Rostock),  Philapress Zeitschriften und Medien GmbH & Co. KG (Göttingen),  RSG Redaktions Service GmbH & Co. KG (Lübeck),  Schaumburger Nachrichten Verlagsgesellschaft mbH & Co. KG (Stadthagen),  TVN CORPORATE MEDIA GmbH & Co. KG (Hannover),  TVN GROUP HOLDING GmbH & Co. KG (Hannover),  TVN PRODUCTION GmbH & Co. KG (Hannover),  Verlag Dresdner Nachrichten GmbH & Co. KG (Dresden),  Verlag SCHAUFENSTER GmbH & Co. (Wolfenbüttel),  Verlagsgesellschaft Madsack GmbH & Co. KG (Hannover),  Wochenspiegel Verlagsgesellschaft mbh Potsdam & Co. KG (Potsdam),  Zeitungsverlag Naumburg Nebra GmbH & Co. Kommanditgesellschaft (Naumburg) Hannover";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Verlagsgesellschaft Madsack GmbH & Co. KG (Hannover)";"29.01.2018";"98%";"e3d38d25a1d2f9f002a20e1ec49591d2";"76ea81197f501fc9";"54075";"Wed Jul 15 13:29:06 2020"
"Verlagsgesellschaft Madsack GmbH & Co. KG Hannover";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"22.01.2018";"e3d38d25a1d2f9f002a20e1ec49591d2";"76ea81197f501fc9";"54075";"Wed Jul 15 13:29:06 2020";"";""
"Anzeigenblatt Eichsfeld GmbH & Co KG (Leinefelde-Worbis),  Beteiligungsgesellschaft Neue Zeitung mbH & Co. KG (Hannover),  BLS Brieflogistik Sachsen GmbH & Co. KG (Leipzig),  Deister-Medien GmbH & Co. KG (Hannover),  Druck- und Pressehaus Naumann GmbH & Co. KG (Gelnhausen),  elbe WOCHENBLATT Verlagsgesellschaft m.b.H. & Co. KG (Hamburg),  Göttinger Tageblatt GmbH & Co. (Göttingen),  GUTENBERG RECHENZENTRUM GmbH & Co. KG. (Hannover),  Leipziger Anzeigenblatt Verlag GmbH & Co. KG (Leipzig),  Leipziger Verlags- und Druckereigesellschaft mbH & Co. KG (Leipzig),  Madsack Heimatzeitungen GmbH & Co. KG (Garbsen),  Madsack-Media-Store GmbH & Co. KG (Hannover),  Madsack Medienagentur GmbH & Co. KG (Hannover),  MADSACK Medien Hannover GmbH & Co. KG (Hannover),  Madsack Medien Ostniedersachsen GmbH & Co. KG (Peine),  Madsack Online GmbH & Co. KG (Hannover),  MBI Madsack Bildungsinstitut GmbH & Co. KG (Hannover),  MH Niedersachsen GmbH & Co. KG (Neustadt),  MV Beteiligungsgesellschaft mbH & Co. KG (Rostock),  MV Media GmbH & Co. KG (Rostock),  Neue Presse Redaktion GmbH & Co. KG (Hannover),  Ostsee-Zeitung GmbH & Co. KG. (Rostock),  Philapress Zeitschriften und Medien GmbH & Co. KG (Göttingen),  RSG Redaktions Service GmbH & Co. KG (Lübeck),  Schaumburger Nachrichten Verlagsgesellschaft mbH & Co. KG (Stadthagen),  TVN CORPORATE MEDIA GmbH & Co. KG (Hannover),  TVN GROUP HOLDING GmbH & Co. KG (Hannover),  TVN PRODUCTION GmbH & Co. KG (Hannover),  Verlag Dresdner Nachrichten GmbH & Co. KG (Dresden),  Verlag SCHAUFENSTER GmbH & Co. (Wolfenbüttel),  Verlagsgesellschaft Madsack GmbH & Co. KG (Hannover),  Wochenspiegel Verlagsgesellschaft mbh Potsdam & Co. KG (Potsdam),  Zeitungsverlag Naumburg Nebra GmbH & Co. Kommanditgesellschaft (Naumburg) Hannover";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015 Verlagsgesellschaft Madsack GmbH & Co. KG (Hannover)";"15.02.2017";"98%";"e3d38d25a1d2f9f002a20e1ec49591d2";"87b7298280d8d458";"54075";"Wed Jul 15 13:29:06 2020"
"Verlagsgesellschaft Madsack GmbH & Co. KG Hannover";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"13.03.2017";"e3d38d25a1d2f9f002a20e1ec49591d2";"87b7298280d8d458";"54075";"Wed Jul 15 13:29:06 2020";"";""
"Anzeigenblatt Eichsfeld GmbH & Co KG (Leinefelde-Worbis),  Beteiligungsgesellschaft Neue Zeitung mbH & Co. KG (Hannover),  BLS Brieflogistik Sachsen GmbH & Co. KG (Leipzig),  Deister-Medien GmbH & Co. KG (Hannover),  Druckhaus A.Schlaeger GmbH & Co. KG (Peine),  Druck- und Pressehaus Naumann GmbH & Co. KG (Gelnhausen),  elbe WOCHENBLATT Verlagsgesellschaft m.b.H. & Co. KG (Hamburg),  Göttinger Tageblatt GmbH & Co. (Göttingen),  GUTENBERG RECHENZENTRUM GmbH & Co. KG. (Hannover),  KSC-Kunden Service Center GmbH & Co. KG Hannover (Hannover),  Leipziger Anzeigenblatt Verlag GmbH & Co. KG (Leipzig),  Leipziger Verlags- und Druckereigesellschaft mbH & Co. KG (Leipzig),  Madsack Heimatzeitungen GmbH & Co. KG (Garbsen),  Madsack-Media-Store GmbH & Co. KG (Hannover),  Madsack Medienagentur GmbH & Co. KG (Hannover),  Madsack Medien Ostniedersachsen GmbH & Co. KG (Peine),  Madsack Online GmbH & Co. KG (Hannover),  MBI Madsack Bildungsinstitut GmbH & Co. KG (Hannover),  MH Niedersachsen GmbH & Co. KG (Neustadt),  MV Beteiligungsgesellschaft mbH & Co. KG (Rostock),  MV Media GmbH & Co. KG (Rostock),  Neue Presse Redaktion GmbH & Co. KG (Hannover),  Ostsee-Zeitung GmbH & Co. KG. (Rostock),  Philapress Zeitschriften und Medien GmbH & Co. KG (Göttingen),  RSG Redaktions Service GmbH & Co. KG (Lübeck),  Schaumburger Nachrichten Verlagsgesellschaft mbH & Co. KG (Stadthagen),  Sonntags-Medien GmbH & Co. KG. (Hannover),  TVN CORPORATE MEDIA GmbH & Co. KG (Hannover),  TVN GROUP HOLDING GmbH & Co. KG (Hannover),  TVN PRODUCTION GmbH & Co. KG (Hannover),  Verlag Dresdner Nachrichten GmbH & Co. KG (Dresden),  Verlag SCHAUFENSTER GmbH & Co. (Wolfenbüttel),  Verlagsgesellschaft Madsack GmbH & Co. KG (Hannover),  Wilhelm Bing Verlag GmbH & Co. KG (Korbach),  Wochenspiegel Verlagsgesellschaft mbh Potsdam & Co. KG (Potsdam),  Zeitungsverlag Naumburg Nebra GmbH & Co. Kommanditgesellschaft (Naumburg) Hannover";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014 Verlagsgesellschaft Madsack GmbH & Co. KG (Hannover)";"02.12.2015";"98%";"e3d38d25a1d2f9f002a20e1ec49591d2";"b6037f0b40191a0e";"54075";"Wed Jul 15 13:29:06 2020"
"Verlagsgesellschaft Madsack GmbH & Co. KG Hannover";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"08.12.2015";"e3d38d25a1d2f9f002a20e1ec49591d2";"b6037f0b40191a0e";"54075";"Wed Jul 15 13:29:06 2020";"";""
