"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Geplan Design Planungsgesellschaft mbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"03.03.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"6b8d7e0bd61dd9b7";"42326";"Tue Jul 14 02:54:12 2020"
"GePlan Ingenieure GmbH & Co KG Hennef";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"03.03.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"4b97e240d0222344";"42326";"Tue Jul 14 02:54:12 2020"
"GePlan Ingenieure GmbH & Co KG Hennef";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"06.02.2019";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"43961f38f87e6234";"42326";"Tue Jul 14 02:54:12 2020"
"Geplan Design Planungsgesellschaft mbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"22.01.2019";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"c5b20da1527d5570";"42326";"Tue Jul 14 02:54:12 2020"
"GePlan Ingenieure GmbH & Co KG Hennef";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"20.02.2018";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"cc4859a7616f5ea9";"42326";"Tue Jul 14 02:54:12 2020"
"Geplan Design Planungsgesellschaft mbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"25.01.2018";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"81dbfe27746469eb";"42326";"Tue Jul 14 02:54:12 2020"
"GePlan Ingenieure GmbH & Co KG Hennef";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"03.02.2017";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"711bdc1e0d2e28a2";"42326";"Tue Jul 14 02:54:12 2020"
"Geplan Design Planungsgesellschaft mbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"24.01.2017";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"9a989b55ee38aec3";"42326";"Tue Jul 14 02:54:12 2020"
"Geplan Design Planungsgesellschaft mbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"28.01.2016";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"cdad2ce2be2c3355";"42326";"Tue Jul 14 02:54:12 2020"
"GePlan Ingenieure GmbH & Co KG Hennef";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"22.09.2015";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"3d38eaed79a70980";"42326";"Tue Jul 14 02:54:12 2020"
"Geplan Design Planungsgesellschaft mbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"16.01.2015";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"39a73bf9fc2f9e4c";"42326";"Tue Jul 14 02:54:12 2020"
"GePlan Ingenieure GmbH & Co KG Hennef";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"24.10.2014";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"580e2ee46ffb0bdf";"42326";"Tue Jul 14 02:54:12 2020"
"Geplan Design Planungsgesellschaft mbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"07.03.2014";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"a5791a2f5def8a89";"42326";"Tue Jul 14 02:54:12 2020"
"Geplan Design Planungsgesellschaft mbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"16.01.2013";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"9110d7f7b2d516bb";"42326";"Tue Jul 14 02:54:12 2020"
"Geplan Design Planungsgesellschaft mbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"25.01.2012";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"abde848606b287c2";"42326";"Tue Jul 14 02:54:12 2020"
"Geplan Design Planungsgesellschaft mbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"02.02.2011";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"791180edcd87ebfe";"42326";"Tue Jul 14 02:54:12 2020"
"Geplan Design Planungsgesellschaft mbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"22.02.2010";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"e19b549671aaa10e";"42326";"Tue Jul 14 02:54:12 2020"
"Geplan Design Planungsgesellschaft mbH Innenarchitektur Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"27.02.2009";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"0115d36c5a700601";"42326";"Tue Jul 14 02:54:12 2020"
"Geplan Design Planungsgesellschaft mbH Innenarchitektur Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"02.05.2008";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"6ef7094d6f23cbdb";"42326";"Tue Jul 14 02:54:12 2020"
