"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Gutzmann GmbH Lübeck";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"14.07.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"3532593ef27c07f1";"33834";"Thu Jul 16 04:46:11 2020"
"Gutzmann GmbH Lübeck";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"30.09.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"2a8e04280c754124";"33834";"Thu Jul 16 04:46:11 2020"
"Gutzmann GmbH Lübeck";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"11.07.2018";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"d3c64d4b3d7b4081";"33834";"Thu Jul 16 04:46:11 2020"
"Gutzmann GmbH Lübeck";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"08.06.2017";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"e4481976fa8ee41e";"33834";"Thu Jul 16 04:46:11 2020"
"Gutzmann GmbH Lübeck";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"24.05.2016";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"d9a816d5547e5894";"33834";"Thu Jul 16 04:46:11 2020"
"Gutzmann GmbH Lübeck";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"12.06.2015";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"f1f1a965c7963ff8";"33834";"Thu Jul 16 04:46:11 2020"
"Gutzmann GmbH Lübeck";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"29.09.2014";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"9d6a8204dc3ddd64";"33834";"Thu Jul 16 04:46:11 2020"
"Gutzmann GmbH Lübeck";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"04.12.2013";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"e9092d508eb9ed90";"33834";"Thu Jul 16 04:46:11 2020"
"Isoliertechnik Gutzmann GmbH,  Herstellung und Montage von Spezialisolierungen für Industriemaschinen und Schiffbau Hemmingstedt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"13.03.2013";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"aecfcda87d738d10";"33834";"Thu Jul 16 04:46:11 2020"
"Gutzmann GmbH Lübeck";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 09.06.2011 bis zum 31.12.2011";"22.11.2012";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"8dd1c6f07e702d5d";"33834";"Thu Jul 16 04:46:11 2020"
"Isoliertechnik Gutzmann GmbH,  Herstellung und Montage von Spezialisolierungen für Industriemaschinen und Schiffbau Hemmingstedt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"18.01.2012";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"04712eab0b861ab6";"33834";"Thu Jul 16 04:46:11 2020"
"Isoliertechnik Gutzmann GmbH,  Herstellung und Montage von Spezialisolierungen für Industriemaschinen und Schiffbau Hemmingstedt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"03.02.2011";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"1bab1ba2986fbd3f";"33834";"Thu Jul 16 04:46:11 2020"
"Isoliertechnik Gutzmann GmbH,  Herstellung und Montage von Spezialisolierungen für Industriemaschinen und Schiffbau Hemmingstedt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"29.01.2010";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"79f49ff5e6a04a30";"33834";"Thu Jul 16 04:46:11 2020"
"Isoliertechnik Gutzmann GmbH,  Herstellung und Montage von Spezialisolierungen für Industriemaschinen und Schiffbau Hemmingstedt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"10.12.2008";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"e4c1e0f2b7cc3e2f";"33834";"Thu Jul 16 04:46:11 2020"
"Isoliertechnik Gutzmann GmbH Hemmingstedt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31. Dezember 2006";"11.03.2008";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"787d7d03a2f7bbb2";"33834";"Thu Jul 16 04:46:11 2020"
"Merck Financial Services GmbH Darmstadt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzberichtzum 30. Juni 2018";"06.11.2018";"67%";"aba51bcc9fdd59516710d900a8a5ca24";"1bb77bb7d0c6efe5";"33834";"Thu Jul 16 04:46:11 2020"
