"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"ICM InvestmentBank AG Berlin";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"01.07.2020";"100%";"61aebb4bfd3899b23e2c1374ebe7c217";"cab66746f35df05b";"97846";"Mon Jul 13 16:30:46 2020"
"ICM GmbH Innovation + Cooperation für den Maschinenbau Chemnitz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"24.06.2020";"100%";"61aebb4bfd3899b23e2c1374ebe7c217";"11308652686b4c4b";"97846";"Mon Jul 13 16:30:46 2020"
"ICM InvestmentBank AG Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"23.06.2020";"100%";"61aebb4bfd3899b23e2c1374ebe7c217";"476da486b4c7246b";"97846";"Mon Jul 13 16:30:46 2020"
"ICM Technologies GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"19.06.2020";"100%";"61aebb4bfd3899b23e2c1374ebe7c217";"4d42d6ea1e495bcc";"97846";"Mon Jul 13 16:30:46 2020"
"ICM Trade Company GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"03.06.2020";"100%";"61aebb4bfd3899b23e2c1374ebe7c217";"0684e406e72fd13e";"97846";"Mon Jul 13 16:30:46 2020"
"ICM Immobilien Concept Marketing GmbH Potsdam";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"13.05.2020";"100%";"61aebb4bfd3899b23e2c1374ebe7c217";"1f7b9ed6c8166a9b";"97846";"Mon Jul 13 16:30:46 2020"
"ICM Trade Company GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"03.04.2020";"100%";"61aebb4bfd3899b23e2c1374ebe7c217";"dd71145e36ee3d83";"97846";"Mon Jul 13 16:30:46 2020"
"ICM Ingenieurbüro Carsten Metterhausen GmbH Winsen (Luhe)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"12.03.2020";"100%";"61aebb4bfd3899b23e2c1374ebe7c217";"ae5ea3637a4b4173";"97846";"Mon Jul 13 16:30:46 2020"
"ICM Finanzges. mbH & Co. KG Haan";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2018 bis zum 31.03.2019";"13.02.2020";"100%";"61aebb4bfd3899b23e2c1374ebe7c217";"87243c501a688ba5";"97846";"Mon Jul 13 16:30:46 2020"
"ICM Otto Berlin GmbH Haan";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2018 bis zum 31.03.2019";"14.01.2020";"100%";"61aebb4bfd3899b23e2c1374ebe7c217";"512140af32f6121e";"97846";"Mon Jul 13 16:30:46 2020"
"ICM-U GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"12.12.2019";"100%";"61aebb4bfd3899b23e2c1374ebe7c217";"ff227108a10050df";"97846";"Mon Jul 13 16:30:46 2020"
"optares - ICM GmbH & Co. KG Oldenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"28.11.2019";"100%";"61aebb4bfd3899b23e2c1374ebe7c217";"fc01dd733fc028f2";"97846";"Mon Jul 13 16:30:46 2020"
"ICM concept GmbH Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"19.11.2019";"100%";"61aebb4bfd3899b23e2c1374ebe7c217";"10a7fd5072149055";"97846";"Mon Jul 13 16:30:46 2020"
"ICM Internationale Container Management GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"11.10.2019";"100%";"61aebb4bfd3899b23e2c1374ebe7c217";"f68e37c9e0e185ca";"97846";"Mon Jul 13 16:30:46 2020"
"CJ ICM Logistics GmbH (vormals: Ibrakom Deutschland GMBH) Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"24.09.2019";"100%";"61aebb4bfd3899b23e2c1374ebe7c217";"2d96574a0e4c8a7d";"97846";"Mon Jul 13 16:30:46 2020"
"ICM InvestmentBank AG Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"30.07.2019";"100%";"61aebb4bfd3899b23e2c1374ebe7c217";"cffabb0d2ad1fc91";"97846";"Mon Jul 13 16:30:46 2020"
"ICM Immobilien Concept Marketing GmbH Potsdam";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"04.07.2019";"100%";"61aebb4bfd3899b23e2c1374ebe7c217";"7d58ccf658abd3ff";"97846";"Mon Jul 13 16:30:46 2020"
"ICM InvestmentBank AG Berlin";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.06.2019";"100%";"61aebb4bfd3899b23e2c1374ebe7c217";"918c1e172feb3566";"97846";"Mon Jul 13 16:30:46 2020"
"ICM GmbH Innovation + Cooperation für den Maschinenbau Chemnitz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.05.2019";"100%";"61aebb4bfd3899b23e2c1374ebe7c217";"3af710ee56445838";"97846";"Mon Jul 13 16:30:46 2020"
"ICME Healthcare GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"15.05.2019";"100%";"61aebb4bfd3899b23e2c1374ebe7c217";"35b490955c574cc2";"97846";"Mon Jul 13 16:30:46 2020"
