"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"IDAP Informationsmanagement GmbH Hürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"26.06.2020";"100%";"e3d38d25a1d2f9f002a20e1ec49591d2";"2eafbf3546289820";"24693";"Wed Jul 15 09:46:11 2020"
"IDAP Informationsmanagement GmbH Hürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"05.06.2019";"100%";"e3d38d25a1d2f9f002a20e1ec49591d2";"698e34e41835633f";"24693";"Wed Jul 15 09:46:11 2020"
"IDAP Informationsmanagement GmbH Hürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"10.07.2018";"83%";"e3d38d25a1d2f9f002a20e1ec49591d2";"6703ae94d63313b3";"24693";"Wed Jul 15 09:46:11 2020"
"IDAP Informationsmanagement GmbH Hürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"01.09.2017";"83%";"e3d38d25a1d2f9f002a20e1ec49591d2";"f117d22db3b18523";"24693";"Wed Jul 15 09:46:11 2020"
"IDAP Informationsmanagement GmbH Hürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"19.07.2016";"83%";"e3d38d25a1d2f9f002a20e1ec49591d2";"fce00db213577a49";"24693";"Wed Jul 15 09:46:11 2020"
"IDAP Informationsmanagement GmbH Hürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"18.06.2015";"83%";"e3d38d25a1d2f9f002a20e1ec49591d2";"c696408f6d958dfb";"24693";"Wed Jul 15 09:46:11 2020"
"IDAP Informationsmanagement GmbH Landau in der Pfalz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"06.10.2014";"83%";"e3d38d25a1d2f9f002a20e1ec49591d2";"cf02eb8741af9f21";"24693";"Wed Jul 15 09:46:11 2020"
"IDAP Informationsmanagement GmbH Hürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"10.06.2014";"83%";"e3d38d25a1d2f9f002a20e1ec49591d2";"6fe5a12b52c41f98";"24693";"Wed Jul 15 09:46:11 2020"
"IDAP Informationsmanagement GmbH Landau in der Pfalz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"06.06.2013";"83%";"e3d38d25a1d2f9f002a20e1ec49591d2";"25c08b918a71b765";"24693";"Wed Jul 15 09:46:11 2020"
"IDAP Informationsmanagement GmbH Hürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"05.06.2013";"83%";"e3d38d25a1d2f9f002a20e1ec49591d2";"d3ff5cd12e3ae5f5";"24693";"Wed Jul 15 09:46:11 2020"
"IDAP Informationsmanagement GmbH Landau in der Pfalz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"03.05.2012";"83%";"e3d38d25a1d2f9f002a20e1ec49591d2";"79c94c8c47c96b50";"24693";"Wed Jul 15 09:46:11 2020"
"IDAP Informationsmanagement GmbH Hürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"03.05.2012";"83%";"e3d38d25a1d2f9f002a20e1ec49591d2";"33b4408373e162d9";"24693";"Wed Jul 15 09:46:11 2020"
"IDAP Informationsmanagement GmbH Landau in der Pfalz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"04.07.2011";"83%";"e3d38d25a1d2f9f002a20e1ec49591d2";"8c5ac4ca7ddf9068";"24693";"Wed Jul 15 09:46:11 2020"
"IDAP Informationsmanagement GmbH Hürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"10.06.2011";"83%";"e3d38d25a1d2f9f002a20e1ec49591d2";"5aa778d65f1ef1cc";"24693";"Wed Jul 15 09:46:11 2020"
"IDAP Informationsmanagement GmbH Hürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"02.06.2010";"83%";"e3d38d25a1d2f9f002a20e1ec49591d2";"c03defa2a9b43476";"24693";"Wed Jul 15 09:46:11 2020"
"IDAP Informationsmanagement GmbH Landau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"26.05.2010";"83%";"e3d38d25a1d2f9f002a20e1ec49591d2";"12ef0df55e7926b4";"24693";"Wed Jul 15 09:46:11 2020"
"IDAP Informationsmanagement GmbH Landau in der Pfalz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"26.11.2009";"83%";"e3d38d25a1d2f9f002a20e1ec49591d2";"a635e613c0ecc366";"24693";"Wed Jul 15 09:46:11 2020"
"IDAP Informationsmanagement GmbH Hürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"15.05.2009";"83%";"e3d38d25a1d2f9f002a20e1ec49591d2";"da20c78cac0c5fdc";"24693";"Wed Jul 15 09:46:11 2020"
"IDAP Informationsmanagement GmbH Hürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2007";"15.07.2008";"83%";"e3d38d25a1d2f9f002a20e1ec49591d2";"d592065870cad7a8";"24693";"Wed Jul 15 09:46:11 2020"
"IDAP Informationsmanagement GmbH Hürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31. Dezember 2006";"09.10.2007";"83%";"e3d38d25a1d2f9f002a20e1ec49591d2";"d5ac49543e92fc4b";"24693";"Wed Jul 15 09:46:11 2020"
