"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"K + J Automotive Industrielackierungen GmbH Rugendorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"02.04.2020";"100%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"035adfb806187c83";"65602";"Fri Jun 12 13:44:37 2020"
"K + J Automotive GmbH Sonneberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"20.03.2019";"100%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"f729d98293c6cd6c";"65602";"Fri Jun 12 13:44:37 2020"
"K + J Automotive Industrielackierungen GmbH Rugendorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"25.02.2019";"100%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"f66508cb4246deb0";"65602";"Fri Jun 12 13:44:37 2020"
"K + J Automotive Industrielackierungen GmbH Rugendorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"19.07.2018";"100%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"287b22c0c42ffdd7";"65602";"Fri Jun 12 13:44:37 2020"
"K + J Automotive GmbH Sonneberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"19.02.2018";"97%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"97b76b0ecfa0d9d3";"65602";"Fri Jun 12 13:44:37 2020"
"K + J Automotive GmbH Sonneberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"22.03.2017";"97%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"59b049c069ba4f71";"65602";"Fri Jun 12 13:44:37 2020"
"K + J Automotive Industrielackierungen GmbH Rugendorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"27.01.2017";"97%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"b8063a544b958018";"65602";"Fri Jun 12 13:44:37 2020"
"K + J Automotive GmbH Sonneberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"18.04.2016";"97%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"727b4fa53c4fb532";"65602";"Fri Jun 12 13:44:37 2020"
"K + J Automotive Industrielackierungen GmbH Rugendorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"15.02.2016";"97%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"8c2e7d58d18eb82b";"65602";"Fri Jun 12 13:44:37 2020"
"K + J Automotive GmbH Sonneberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"02.04.2015";"97%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"513d580a03bd4a84";"65602";"Fri Jun 12 13:44:37 2020"
"K + J Automotive GmbH Sonneberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"24.03.2014";"97%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"6a2b0b776a0b9bed";"65602";"Fri Jun 12 13:44:37 2020"
"K + J Automotive Industrielackierungen GmbH Rugendorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"12.03.2014";"97%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"36c2d08327381b46";"65602";"Fri Jun 12 13:44:37 2020"
"K + J Automotive GmbH Sonneberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"29.01.2013";"97%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"d1b5345dc323ba50";"65602";"Fri Jun 12 13:44:37 2020"
