"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"LW Bedachungen Liebl + Walter GmbH Landshut";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"09.01.2020";"100%";"c4e4096033505d102128f5d2176ece7a";"d122ebe8b6d17182";"37643";"Fri Jun 12 13:31:17 2020"
"LW Bedachungen Liebl + Walter GmbH Landshut";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"22.02.2019";"100%";"c4e4096033505d102128f5d2176ece7a";"97a8f9f3552abc64";"37643";"Fri Jun 12 13:31:17 2020"
"LW Bedachungen Liebl + Walter GmbH Landshut";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"31.01.2018";"92%";"c4e4096033505d102128f5d2176ece7a";"01efc6f6dee63791";"37643";"Fri Jun 12 13:31:17 2020"
"LW Bedachungen Liebl + Walter GmbH Landshut";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"22.03.2017";"92%";"c4e4096033505d102128f5d2176ece7a";"195ad1643a212463";"37643";"Fri Jun 12 13:31:17 2020"
"LW Bedachungen Liebl + Walter GmbH Landshut";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"08.01.2016";"92%";"c4e4096033505d102128f5d2176ece7a";"c336c9982037e85a";"37643";"Fri Jun 12 13:31:17 2020"
"LW Bedachungen Liebl + Walter GmbH Landshut";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"04.02.2015";"92%";"c4e4096033505d102128f5d2176ece7a";"181a8fa5dfd8933c";"37643";"Fri Jun 12 13:31:17 2020"
"LW Bedachungen Liebl + Walter GmbH Landshut";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"19.02.2014";"92%";"c4e4096033505d102128f5d2176ece7a";"451e2a83767c57b2";"37643";"Fri Jun 12 13:31:17 2020"
"LW Bedachungen Liebl + Walter GmbH Landshut";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"27.11.2012";"92%";"c4e4096033505d102128f5d2176ece7a";"a8add1e6fa15af06";"37643";"Fri Jun 12 13:31:17 2020"
"LW Bedachungen Liebl + Walter GmbH Landshut";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"21.11.2011";"92%";"c4e4096033505d102128f5d2176ece7a";"3ec5c64ccddc95d8";"37643";"Fri Jun 12 13:31:17 2020"
"LW Bedachungen Liebl + Walter GmbH Landshut";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"22.09.2010";"92%";"c4e4096033505d102128f5d2176ece7a";"a8801e6f4b19b5c0";"37643";"Fri Jun 12 13:31:17 2020"
"LW Bedachungen Liebl + Walter GmbH Landshut";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"28.01.2010";"92%";"c4e4096033505d102128f5d2176ece7a";"4473b637c5f09c01";"37643";"Fri Jun 12 13:31:17 2020"
"LW Bedachungen Liebl + Walter GmbH Landshut";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"02.12.2008";"92%";"c4e4096033505d102128f5d2176ece7a";"36a3c3a2040e9b9d";"37643";"Fri Jun 12 13:31:17 2020"
"LW Bedachungen Liebl & Walter GmbH Landshut";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"06.03.2008";"92%";"c4e4096033505d102128f5d2176ece7a";"cd6b538df16e4bc7";"37643";"Fri Jun 12 13:31:17 2020"
