"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"D.R.S. Deutsche Rechtsanwalts Service GmbH Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"05.06.2020";"100%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"42eabba6dbfc52b0";"47653";"Fri Jun 12 13:46:48 2020"
"M.S.D. Medien Service Deutschland-West GmbH Troisdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"05.06.2020";"100%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"2e2224283d5818c1";"47653";"Fri Jun 12 13:46:48 2020"
"E.D.I.S.O.N. GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"03.06.2020";"100%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"ea9a7643273897dc";"47653";"Fri Jun 12 13:46:48 2020"
"D/S Neuseeland Milchfarm Beteiligungs GmbH & Co.KG Grünwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Ergänzung der Veröffentlichung vom 29.04.2020";"02.06.2020";"100%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"8a093685917c9bf7";"47653";"Fri Jun 12 13:46:48 2020"
"Allfein Impex Holding GmbH (Lohne),  B.J. Fleisch Import/Export GmbH (Diepholz),  B.J. Fleisch Import Zerbst GmbH (Zerbst/Anhalt),  B.J. Food Variety Diepholz GmbH (Diepholz),  B.J. Food Variety Zerbst GmbH (Zerbst/Anhalt),  B.J. Geflügel Import Lohne GmbH (Lohne),  B.J. Lohner Fleischhandel GmbH (Lohne),  B.J. Lohner Geflügelhandel GmbH (Lohne),  B.J.L.O. Importhandel GmbH (Lohne),  B.S.D.H. Export Handel GmbH (Diepholz),  B.S. Fleischhandel Lohne GmbH (Lohne),  B.S. Food Diepholz GmbH (Diepholz),  B.S. Food Lohne GmbH (Lohne),  B.S. Food Zerbst GmbH (Zerbst/Anhalt),  B.S. Geflügel Import Diepholz GmbH (Diepholz),  B.S. Geflügel Import Zerbst GmbH (Zerbst/Anhalt),  B.S.L.O. Exporthandel GmbH (Lohne),  B.S. Meat Service Diepholz GmbH (Diepholz),  B.S. Meat Service Lohne GmbH (Lohne),  B.S. Meat Service Zerbst GmbH (Zerbst/Anhalt),  DH Allfa Geflügelhandel GmbH (Diepholz),  DH Meat An- und Verkauf GmbH (Diepholz),  DH Meat + Chicken Center GmbH (Diepholz),  DH Meat Trading Center GmbH (Diepholz),  R.M.D.H. Importhandel GmbH (Diepholz),  R.M. Diepholzer Fleischhandel GmbH (Diepholz),  R.M. Fleischhandel Zerbst GmbH (Zerbst),  R.M. Fleischmarkt Lohne GmbH (Lohne),  R.M. Food Variety Lohne GmbH (Lohne),  R.M. Food Zerbst GmbH (Zerbst/Anhalt),  R.M.L.O. Fleisch GmbH (Lohne),  R.M.L.O. Food Import GmbH (Lohne),  R.M.Z.E. Export Handel GmbH (Zerbst),  ZE Allfa Geflügelhandel GmbH (Zerbst/Anhalt),  ZE Meat An- und Verkauf GmbH (Zerbst/Anhalt),  ZE Meat+Chicken Center GmbH (Zerbst/Anhalt),  Z.E. Meat Trading Center GmbH (Zerbst/Anhalt) Rechterfeld";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.07.2018 bis zum 30.06.2019 LOHMANN & Co. AKTIENGESELLSCHAFT (Rechterfeld)";"29.05.2020";"100%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"76fc90f7a492f28f";"47653";"Fri Jun 12 13:46:48 2020"
"LOHMANN & Co. AKTIENGESELLSCHAFT Rechterfeld";"» Konzernabschluss zum Geschäftsjahr vom 01.07.2018 bis zum 30.06.2019";"08.06.2020";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"76fc90f7a492f28f";"47653";"Fri Jun 12 13:46:48 2020";"";""
"Graul D/S/T GmbH Hilden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"28.05.2020";"100%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"c52942cffd143116";"47653";"Fri Jun 12 13:46:48 2020"
"d + s tischlerei GmbH Kamp-Lintfort";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"28.05.2020";"100%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"9f90c135832fec87";"47653";"Fri Jun 12 13:46:48 2020"
"U.S.D. Detektei GmbH Saarlouis";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"27.05.2020";"100%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"fad9e3eb60452b3c";"47653";"Fri Jun 12 13:46:48 2020"
"A D S GmbH Wesel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"26.05.2020";"100%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"2d2a15ff1c07fc24";"47653";"Fri Jun 12 13:46:48 2020"
"d + s Koppenzell GmbH Bobingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"25.05.2020";"100%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"327af803f8cf912d";"47653";"Fri Jun 12 13:46:48 2020"
"D.S.T. GROUP GmbH Kehl";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"22.05.2020";"100%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"89787b38ed7c1326";"47653";"Fri Jun 12 13:46:48 2020"
"D + S die gute Küche GmbH Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"22.05.2020";"100%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"1af0f8c306bb0218";"47653";"Fri Jun 12 13:46:48 2020"
"E.d.S. Erfolg durch System GmbH Schweich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"20.05.2020";"100%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"90191d14e3c8cb8b";"47653";"Fri Jun 12 13:46:48 2020"
"S+D Steuerberatungsgesellschaft Solms mbH Solms";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"20.05.2020";"100%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"f6607c93b1e545f8";"47653";"Fri Jun 12 13:46:48 2020"
"D + S GmbH Schweißtechnik-Vertrieb und Service Teningen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2018 bis zum 30.06.2019";"15.05.2020";"100%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"a97e1ccad8d32790";"47653";"Fri Jun 12 13:46:48 2020"
"S U N D F L O R  GmbH Stralsund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"13.05.2020";"100%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"d56bc1f42a788d3a";"47653";"Fri Jun 12 13:46:48 2020"
"Avedo Itzehoe GmbH (vormals: D+S communication center Itzehoe GmbH) Itzehoe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"11.05.2020";"100%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"19ce7d745d289c37";"47653";"Fri Jun 12 13:46:48 2020"
"D/S Global Timber GmbH & Co. KG Grünwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Ergänzung der Veröffentlichung vom 01.04.2020";"04.05.2020";"100%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"06574af310d1d685";"47653";"Fri Jun 12 13:46:48 2020"
"D. S. Werkzeug Handels GmbH Hüllhorst";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"04.05.2020";"100%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"9571d098b8178483";"47653";"Fri Jun 12 13:46:48 2020"
"Avedo Jena GmbH (vormals: D+S communication center Jena GmbH) Jena";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"30.04.2020";"100%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"cadd4e5a165b9f9e";"47653";"Fri Jun 12 13:46:48 2020"
