"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"AIRE GmbH & Co. KGaA Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2011";"15.11.2011";"45%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"bdd23335d1989990";"39456";"Fri Jun 12 13:45:17 2020"
"AIRE GmbH & Co. KGaA Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht zum 30. September 2010";"07.12.2010";"45%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"47ffd26283058e3d";"39456";"Fri Jun 12 13:45:17 2020"
"AIRE GmbH & Co. KGaA Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht";"13.10.2010";"45%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"e06f87701dd17a64";"39456";"Fri Jun 12 13:45:17 2020"
"AIRE GmbH & Co. KGaA Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht";"23.06.2010";"45%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"42f977843f7a35ed";"39456";"Fri Jun 12 13:45:17 2020"
"AIRE GmbH & Co. KGaA Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2009";"15.09.2009";"45%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"f12b913ef6f68450";"39456";"Fri Jun 12 13:45:17 2020"
"AIG International Real Estate GmbH & Co. KGaA Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht zum 31. März 2009";"20.08.2009";"45%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"c5c158dfb0fa514b";"39456";"Fri Jun 12 13:45:17 2020"
"AIG International Real Estate GmbH & Co. KGaA Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht zum 30.09.2008";"04.03.2009";"45%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"33120ec750e16c8d";"39456";"Fri Jun 12 13:45:17 2020"
"AIG International Real Estate GmbH & Co. KGaA Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30.06.2008";"19.11.2008";"45%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"c38ad85cc174234a";"39456";"Fri Jun 12 13:45:17 2020"
"AIG International Real Estate GmbH & Co. KGaA Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht zum 31. März 2008";"25.06.2008";"45%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"4e8668e8790ea361";"39456";"Fri Jun 12 13:45:17 2020"
"CeWe Color Holding AG Oldenburg";"Rechnungslegung/ Finanzberichte";"» Konzern - Quartalsbericht zum 31. März 2007";"12.10.2007";"45%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"ff64cdc9d3f189a7";"39456";"Fri Jun 12 13:45:17 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2019";"24.10.2019";"10%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"2f0aba2b2541085c";"39456";"Fri Jun 12 13:45:17 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2018";"31.08.2018";"10%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"8ac42ea9f5497c87";"39456";"Fri Jun 12 13:45:17 2020"
"technotrans AG Sassenberg";"Rechnungslegung/ Finanzberichte";"» Quarterly Financial Report at March 31, 2018";"23.05.2018";"5%";"4bf2ea9dc4172e329f0e2ba7c80c8ad0";"2b683328c71b7216";"39456";"Fri Jun 12 13:45:17 2020"
