"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"ITServ GmbH Servicegesellschaft für Informationstechnologien Bodenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"14.07.2020";"100%";"af75d5dc888ac79ae50ee77806ec50af";"72e486bcb68a38a7";"84206";"Wed Jul 15 12:06:50 2020"
"ITServ GmbH Servicegesellschaft für Informationstechnologien Bodenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"24.07.2019";"100%";"af75d5dc888ac79ae50ee77806ec50af";"e98cf37c5b029b18";"84206";"Wed Jul 15 12:06:50 2020"
"ITServ GmbH Servicegesellschaft für Informationstechnologien Bodenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"06.06.2018";"92%";"af75d5dc888ac79ae50ee77806ec50af";"cc2240cdbbc0fde7";"84206";"Wed Jul 15 12:06:50 2020"
"ITServ GmbH Servicegesellschaft für Informationstechnologien Bodenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"09.06.2017";"92%";"af75d5dc888ac79ae50ee77806ec50af";"eb4bf2f779d3c66a";"84206";"Wed Jul 15 12:06:50 2020"
"ITServ GmbH Servicegesellschaft für Informationstechnologien Bodenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"06.05.2016";"92%";"af75d5dc888ac79ae50ee77806ec50af";"c1bce11292110dc1";"84206";"Wed Jul 15 12:06:50 2020"
"ITServ GmbH Servicegesellschaft für Informationstechnologien Bodenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"11.05.2015";"92%";"af75d5dc888ac79ae50ee77806ec50af";"0caafc3736895fd0";"84206";"Wed Jul 15 12:06:50 2020"
"ITServ GmbH Servicegesellschaft für Informationstechnologien Bodenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"16.06.2014";"92%";"af75d5dc888ac79ae50ee77806ec50af";"ba8febcabfd2e585";"84206";"Wed Jul 15 12:06:50 2020"
"ITServ GmbH Servicegesellschaft für Informationstechnologien Bodenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"11.06.2013";"92%";"af75d5dc888ac79ae50ee77806ec50af";"bbb0b9273ceb3ffb";"84206";"Wed Jul 15 12:06:50 2020"
"ITServ GmbH Servicegesellschaft für Informationstechnologien Bodenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"05.12.2012";"92%";"af75d5dc888ac79ae50ee77806ec50af";"b51658e8670f93f8";"84206";"Wed Jul 15 12:06:50 2020"
"ITServ GmbH Servicegesellschaft für Informationstechnologien Bodenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"22.12.2011";"92%";"af75d5dc888ac79ae50ee77806ec50af";"b538ad4506e14803";"84206";"Wed Jul 15 12:06:50 2020"
"ITServ GmbH Servicegesellschaft für Informationstechnologien Bodenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"15.12.2010";"92%";"af75d5dc888ac79ae50ee77806ec50af";"49572989020fc949";"84206";"Wed Jul 15 12:06:50 2020"
"ITServ GmbH Servicegesellschaft für Informationstechnologien Bodenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"21.01.2010";"92%";"af75d5dc888ac79ae50ee77806ec50af";"ab522f80b616591c";"84206";"Wed Jul 15 12:06:50 2020"
"ITServ GmbH Servicegesellschaft für Informationstechnologien Bodenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"16.01.2009";"92%";"af75d5dc888ac79ae50ee77806ec50af";"e71f75144ec9533d";"84206";"Wed Jul 15 12:06:50 2020"
"ITServ GmbH Servicegesellschaft für Informationstechnologien Bischofsheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"22.11.2007";"92%";"af75d5dc888ac79ae50ee77806ec50af";"216634912685ff01";"84206";"Wed Jul 15 12:06:50 2020"
