"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Industriemontagen van der Heusen GmbH & Co. KG Oberhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"06.02.2020";"100%";"c1affca00be00815e8f7ff00abde0b30";"dec77eb8424975e0";"19838";"Wed Jul 15 00:19:31 2020"
"Industriemontagen van der Heusen GmbH & Co. KG Oberhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"30.10.2018";"100%";"c1affca00be00815e8f7ff00abde0b30";"07683260523c1eac";"19838";"Wed Jul 15 00:19:31 2020"
"Industriemontagen van der Heusen GmbH & Co. KG Oberhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"18.07.2017";"99%";"c1affca00be00815e8f7ff00abde0b30";"c919e674df7eb281";"19838";"Wed Jul 15 00:19:31 2020"
"Industriemontagen van der Heusen GmbH & Co. KG Oberhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"16.01.2017";"99%";"c1affca00be00815e8f7ff00abde0b30";"1a2e16074904959d";"19838";"Wed Jul 15 00:19:31 2020"
"Industriemontagen van der Heusen GmbH & Co. KG Oberhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"02.10.2015";"99%";"c1affca00be00815e8f7ff00abde0b30";"76439fbf9cfd188d";"19838";"Wed Jul 15 00:19:31 2020"
"Industriemontagen van der Heusen GmbH & Co. KG Oberhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"18.06.2014";"99%";"c1affca00be00815e8f7ff00abde0b30";"3ba75f6e1e4c53dd";"19838";"Wed Jul 15 00:19:31 2020"
"Industriemontagen van der Heusen GmbH & Co. KG Oberhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"30.08.2013";"99%";"c1affca00be00815e8f7ff00abde0b30";"4a5b4fc33f316ba2";"19838";"Wed Jul 15 00:19:31 2020"
"Industriemontagen van der Heusen GmbH & Co. KG Oberhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"14.12.2012";"99%";"c1affca00be00815e8f7ff00abde0b30";"f19802fe4d8d6e34";"19838";"Wed Jul 15 00:19:31 2020"
"Industriemontagen van der Heusen GmbH & Co. KG Oberhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"18.07.2011";"99%";"c1affca00be00815e8f7ff00abde0b30";"72c229ec9b43f2b3";"19838";"Wed Jul 15 00:19:31 2020"
"Industriemontagen van der Heusen GmbH & Co. KG Oberhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"27.09.2010";"99%";"c1affca00be00815e8f7ff00abde0b30";"9f9ec3bf055febda";"19838";"Wed Jul 15 00:19:31 2020"
"Industriemontagen van der Heusen GmbH & Co. KG Oberhausen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"16.10.2009";"99%";"c1affca00be00815e8f7ff00abde0b30";"5e723c86ee916ccd";"19838";"Wed Jul 15 00:19:31 2020"
"Industriemontagen van der Heusen GmbH & Co KG OBERHAUSEN";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2007";"30.09.2008";"99%";"c1affca00be00815e8f7ff00abde0b30";"1bd752a92e35ba74";"19838";"Wed Jul 15 00:19:31 2020"
