"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Intercongress GmbH Wiesbaden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"24.05.2019";"100%";"0e6ad8a5ee8151adc1fb7843153d0870";"9389b7a3802d59e1";"42050";"Thu Jul 16 00:37:41 2020"
"Intercongress GmbH Wiesbaden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"04.12.2018";"100%";"0e6ad8a5ee8151adc1fb7843153d0870";"4483c4b34767ef70";"42050";"Thu Jul 16 00:37:41 2020"
"Intercongress GmbH Wiesbaden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"23.05.2017";"92%";"0e6ad8a5ee8151adc1fb7843153d0870";"576dd91bd2d00677";"42050";"Thu Jul 16 00:37:41 2020"
"Intercongress GmbH Wiesbaden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"20.10.2016";"92%";"0e6ad8a5ee8151adc1fb7843153d0870";"8ceecef7acb2e84c";"42050";"Thu Jul 16 00:37:41 2020"
"Intercongress GmbH Wiesbaden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"01.02.2016";"92%";"0e6ad8a5ee8151adc1fb7843153d0870";"2042c85c472a1437";"42050";"Thu Jul 16 00:37:41 2020"
"Intercongress GmbH Wiesbaden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"02.02.2015";"92%";"0e6ad8a5ee8151adc1fb7843153d0870";"474eaf3b41f84e25";"42050";"Thu Jul 16 00:37:41 2020"
"Intercongress GmbH Wiesbaden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"05.03.2014";"92%";"0e6ad8a5ee8151adc1fb7843153d0870";"16c2d001bd137c1c";"42050";"Thu Jul 16 00:37:41 2020"
"Intercongress GmbH Wiesbaden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"15.05.2012";"92%";"0e6ad8a5ee8151adc1fb7843153d0870";"be85eecdad77dd98";"42050";"Thu Jul 16 00:37:41 2020"
"Intercongress GmbH Wiesbaden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"03.11.2011";"92%";"0e6ad8a5ee8151adc1fb7843153d0870";"51cf4b2a0001593f";"42050";"Thu Jul 16 00:37:41 2020"
"Intercongress GmbH Wiesbaden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"19.01.2011";"92%";"0e6ad8a5ee8151adc1fb7843153d0870";"6fb6ba3b09d8b093";"42050";"Thu Jul 16 00:37:41 2020"
"Intercongress GmbH Wiesbaden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"25.06.2009";"92%";"0e6ad8a5ee8151adc1fb7843153d0870";"7b4baa40a4a4156e";"42050";"Thu Jul 16 00:37:41 2020"
"Intercongress GmbH Wiesbaden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"05.05.2009";"92%";"0e6ad8a5ee8151adc1fb7843153d0870";"56921fc1d8f30f14";"42050";"Thu Jul 16 00:37:41 2020"
"INTERCONGRESS GMBH Wiesbaden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"18.01.2008";"92%";"0e6ad8a5ee8151adc1fb7843153d0870";"b3578f34147f4473";"42050";"Thu Jul 16 00:37:41 2020"
