"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"IronShark GmbH Jena";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"25.10.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"47dfbfa1a47ae683";"18070";"Wed Jul 15 21:03:27 2020"
"IronShark GmbH Jena";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"17.12.2018";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"838a271dd77b6131";"18070";"Wed Jul 15 21:03:27 2020"
"IronShark GmbH Jena";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"04.01.2018";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"dcc6e8024e91200b";"18070";"Wed Jul 15 21:03:27 2020"
"IronShark GmbH Jena";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"04.04.2016";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"2a3e021d713fc58e";"18070";"Wed Jul 15 21:03:27 2020"
"IronShark GmbH Jena";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"11.06.2015";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"7f735836fbabdb39";"18070";"Wed Jul 15 21:03:27 2020"
"IronShark GmbH Jena";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"18.06.2014";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"680505c395eabfe6";"18070";"Wed Jul 15 21:03:27 2020"
"IronShark GmbH Jena";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"29.10.2013";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"0648591f2809fc68";"18070";"Wed Jul 15 21:03:27 2020"
"IronShark GmbH Jena";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"20.06.2012";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"78fec26a59217e35";"18070";"Wed Jul 15 21:03:27 2020"
"IronShark GmbH Jena";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"04.11.2011";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"31d1dc498ff12455";"18070";"Wed Jul 15 21:03:27 2020"
"IronShark GmbH Jena";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"06.01.2011";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"2744d3f470de5e66";"18070";"Wed Jul 15 21:03:27 2020"
