"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"ITecon Financial IT-Service GmbH Mainz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"02.03.2020";"100%";"c1affca00be00815e8f7ff00abde0b30";"fd0d224cd4f84f1e";"11627";"Wed Jul 15 17:54:44 2020"
"Itecon GmbH Mainz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"19.02.2020";"100%";"c1affca00be00815e8f7ff00abde0b30";"e71651f16b6d93ce";"11627";"Wed Jul 15 17:54:44 2020"
"Itecon GmbH Mainz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"22.03.2019";"100%";"c1affca00be00815e8f7ff00abde0b30";"3bda68cf1c1f3086";"11627";"Wed Jul 15 17:54:44 2020"
"ITecon Financial IT-Service GmbH Mainz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"15.03.2019";"100%";"c1affca00be00815e8f7ff00abde0b30";"6e3a7dbe944f7a95";"11627";"Wed Jul 15 17:54:44 2020"
"Itecon GmbH Mainz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"13.12.2017";"92%";"c1affca00be00815e8f7ff00abde0b30";"74ced1ec1dec39d5";"11627";"Wed Jul 15 17:54:44 2020"
"ITecon Financial IT-Service GmbH Mainz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"24.07.2017";"92%";"c1affca00be00815e8f7ff00abde0b30";"78cd02e51d20c9fa";"11627";"Wed Jul 15 17:54:44 2020"
"Itecon GmbH Mainz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"02.01.2017";"92%";"c1affca00be00815e8f7ff00abde0b30";"e7833e92a293e696";"11627";"Wed Jul 15 17:54:44 2020"
"ITecon Financial IT-Service GmbH Mainz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"22.12.2016";"92%";"c1affca00be00815e8f7ff00abde0b30";"6790dc2f967c7a05";"11627";"Wed Jul 15 17:54:44 2020"
"Itecon GmbH Mainz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"05.01.2016";"92%";"c1affca00be00815e8f7ff00abde0b30";"a6a96535511d6e3b";"11627";"Wed Jul 15 17:54:44 2020"
"Itecon GmbH Mainz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"14.04.2015";"92%";"c1affca00be00815e8f7ff00abde0b30";"2c555d309dd5b11c";"11627";"Wed Jul 15 17:54:44 2020"
"Itecon GmbH Mainz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"08.05.2014";"92%";"c1affca00be00815e8f7ff00abde0b30";"994a47dc68b460d7";"11627";"Wed Jul 15 17:54:44 2020"
"Itecon GmbH Mainz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"18.02.2013";"92%";"c1affca00be00815e8f7ff00abde0b30";"ecd1e996b881d884";"11627";"Wed Jul 15 17:54:44 2020"
"Itecon GmbH Mainz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"18.01.2012";"92%";"c1affca00be00815e8f7ff00abde0b30";"c996ba89a81cf7dd";"11627";"Wed Jul 15 17:54:44 2020"
"Itecon GmbH Mainz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"17.03.2011";"92%";"c1affca00be00815e8f7ff00abde0b30";"e0758f5465e82cde";"11627";"Wed Jul 15 17:54:44 2020"
"Itecon GmbH Mainz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"22.04.2010";"92%";"c1affca00be00815e8f7ff00abde0b30";"dbc155ae909cd1c1";"11627";"Wed Jul 15 17:54:44 2020"
"Itecon GmbH Mainz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"09.01.2009";"92%";"c1affca00be00815e8f7ff00abde0b30";"7c716dc270358086";"11627";"Wed Jul 15 17:54:44 2020"
"ITecon GmbH Mainz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"15.01.2008";"92%";"c1affca00be00815e8f7ff00abde0b30";"d9b46b48ceca111c";"11627";"Wed Jul 15 17:54:44 2020"
