"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Jacada Deutschland GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"24.01.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"e782d2a72b38fef2";"57445";"Thu Jul 16 09:23:16 2020"
"Jacada Deutschland GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"31.01.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"6be60a47c36c30b0";"57445";"Thu Jul 16 09:23:16 2020"
"Jacada Deutschland GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"26.01.2018";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"5f32ea392b427b5e";"57445";"Thu Jul 16 09:23:16 2020"
"Jacada Deutschland GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"24.01.2017";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"3307fcb8f0692012";"57445";"Thu Jul 16 09:23:16 2020"
"Jacada Deutschland GmbH München (vormals: Augsburg)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"20.11.2015";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"65312eca260235b2";"57445";"Thu Jul 16 09:23:16 2020"
"Jacada Deutschland GmbH Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"06.01.2015";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"1522d8d37bb06c74";"57445";"Thu Jul 16 09:23:16 2020"
"Jacada Deutschland GmbH Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"10.01.2014";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"43b513dd9a8429ca";"57445";"Thu Jul 16 09:23:16 2020"
"Jacada Deutschland GmbH Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"14.01.2013";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"b8daec2f2369040b";"57445";"Thu Jul 16 09:23:16 2020"
"Jacada Deutschland GmbH Augsburg (vormals: München)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"15.03.2012";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"e48b129008a19dc1";"57445";"Thu Jul 16 09:23:16 2020"
"Jacada Deutschland GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"08.03.2011";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"3afa81d613b81145";"57445";"Thu Jul 16 09:23:16 2020"
"Jacada Deutschland GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"26.01.2010";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"cd15a899d7cab486";"57445";"Thu Jul 16 09:23:16 2020"
"Jacada Deutschland GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"15.01.2009";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"4293ea5667d3f098";"57445";"Thu Jul 16 09:23:16 2020"
"Jacada Deutschland GmbH München München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"15.01.2008";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"4ec5d3cd79c2ba19";"57445";"Thu Jul 16 09:23:16 2020"
