"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Jota Personalservice Ulm GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2018 bis zum 31.03.2019";"05.05.2020";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"bc8c1602d2948edd";"96746";"Wed Jul 15 23:29:03 2020"
"Jota Personalservice Ulm GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2017 bis zum 31.03.2018";"24.05.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"3415c86b2f5e640b";"96746";"Wed Jul 15 23:29:03 2020"
"Jota Personalservice Ulm GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2016 bis zum 31.03.2017";"27.04.2018";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"1f4478557d2cf761";"96746";"Wed Jul 15 23:29:03 2020"
"Jota Personalservice Ulm GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2015 bis zum 31.03.2016";"03.02.2017";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"7d6b359225e1dce3";"96746";"Wed Jul 15 23:29:03 2020"
"Jota Personalservice Ulm GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2014 bis zum 31.03.2015";"19.04.2016";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"d675e7d2209a4b64";"96746";"Wed Jul 15 23:29:03 2020"
"Jota Personalservice Ulm GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2013 bis zum 31.03.2014";"28.05.2015";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"abf2efcd681abd0a";"96746";"Wed Jul 15 23:29:03 2020"
"Jota Personalservice Ulm GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2012 bis zum 31.03.2013";"04.06.2014";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"ab8a17f9f84bdbc3";"96746";"Wed Jul 15 23:29:03 2020"
"Jota Personalservice Ulm GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2011 bis zum 31.03.2012";"21.06.2013";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"5d51e355ec3ad269";"96746";"Wed Jul 15 23:29:03 2020"
"Jota Personalservice Ulm GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2010 bis zum 31.03.2011";"03.05.2012";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"1ee1474a85f62624";"96746";"Wed Jul 15 23:29:03 2020"
"Jota Personalservice Ulm GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2009 bis zum 31.03.2010";"22.06.2011";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"a4cb4daf188a5f6a";"96746";"Wed Jul 15 23:29:03 2020"
"Jota Personalservice Ulm GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2008 bis zum 31.03.2009";"09.03.2010";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"68dbf3093895d491";"96746";"Wed Jul 15 23:29:03 2020"
"Jota Personalservice Ulm GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2007 bis zum 31.03.2008";"22.07.2009";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"a185f149961eb7f3";"96746";"Wed Jul 15 23:29:03 2020"
"Jota Personalservice Ulm GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.03.2007";"26.05.2008";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"bc566c596afea3a0";"96746";"Wed Jul 15 23:29:03 2020"
