"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"JP Personalagentur GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"26.03.2020";"100%";"0e6ad8a5ee8151adc1fb7843153d0870";"6a9d38e87e157257";"91360";"Thu Jul 16 01:47:40 2020"
"JP Personalagentur GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Liquidationseröffnungsbilanz zum 01.01.2020";"25.03.2020";"100%";"0e6ad8a5ee8151adc1fb7843153d0870";"0dfbd2cfe1db474f";"91360";"Thu Jul 16 01:47:40 2020"
"JP Personalagentur GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"15.10.2019";"100%";"0e6ad8a5ee8151adc1fb7843153d0870";"b93f44e161239051";"91360";"Thu Jul 16 01:47:40 2020"
"JP Personalagentur GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"16.10.2018";"100%";"0e6ad8a5ee8151adc1fb7843153d0870";"295446be15918531";"91360";"Thu Jul 16 01:47:40 2020"
"JP Personalagentur GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2016 bis zum 31.12.2016";"12.10.2017";"92%";"0e6ad8a5ee8151adc1fb7843153d0870";"8dae792e1c21902a";"91360";"Thu Jul 16 01:47:40 2020"
"JP Personalagentur GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2015 bis zum 30.09.2016";"05.10.2017";"92%";"0e6ad8a5ee8151adc1fb7843153d0870";"5bfea1117e0c67c8";"91360";"Thu Jul 16 01:47:40 2020"
"JP Personalagentur GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2014 bis zum 30.09.2015";"27.06.2016";"92%";"0e6ad8a5ee8151adc1fb7843153d0870";"75d71b8b5dc519d0";"91360";"Thu Jul 16 01:47:40 2020"
"JP Personalagentur GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2013 bis zum 30.09.2014";"13.05.2015";"92%";"0e6ad8a5ee8151adc1fb7843153d0870";"267ebd5fb3922a2f";"91360";"Thu Jul 16 01:47:40 2020"
"JP Personalagentur GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2012 bis zum 30.09.2013";"24.09.2014";"92%";"0e6ad8a5ee8151adc1fb7843153d0870";"89ba83e7329a6b0e";"91360";"Thu Jul 16 01:47:40 2020"
"JP Personalagentur GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 24.11.2011 bis zum 30.09.2012";"19.06.2013";"92%";"0e6ad8a5ee8151adc1fb7843153d0870";"441e535a0abb59ce";"91360";"Thu Jul 16 01:47:40 2020"
