"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Jugendtours GmbH Halle (Saale)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"31.01.2020";"100%";"88426519579bf8ffca70373896765f3e";"ac6be41062a3ccd0";"89442";"Wed Jul  8 23:31:33 2020"
"Jugendtours-Feriendorf Ummanz GmbH Ummanz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.03.2018 bis zum 31.12.2018";"31.01.2020";"100%";"88426519579bf8ffca70373896765f3e";"7eb3d934911ddd91";"89442";"Wed Jul  8 23:31:33 2020"
"Jugendtours GmbH Halle (Saale)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"21.01.2019";"100%";"88426519579bf8ffca70373896765f3e";"3819c8d13dad27d9";"89442";"Wed Jul  8 23:31:33 2020"
"Jugendtours-Feriendorf Ummanz GmbH Ummanz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.03.2017 bis zum 28.02.2018";"13.11.2018";"100%";"88426519579bf8ffca70373896765f3e";"79de13063369e55f";"89442";"Wed Jul  8 23:31:33 2020"
"Jugendtours-Feriendorf Ummanz GmbH Ummanz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.03.2016 bis zum 28.02.2017";"20.12.2017";"92%";"88426519579bf8ffca70373896765f3e";"fed1e63085e0ec02";"89442";"Wed Jul  8 23:31:33 2020"
"Jugendtours GmbH Halle (Saale)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"27.09.2017";"92%";"88426519579bf8ffca70373896765f3e";"ad500d816d5f52b1";"89442";"Wed Jul  8 23:31:33 2020"
"Jugendtours GmbH Halle (Saale)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"15.09.2016";"92%";"88426519579bf8ffca70373896765f3e";"b5886c125628b01a";"89442";"Wed Jul  8 23:31:33 2020"
"Jugendtours GmbH Halle (Saale)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"15.10.2015";"92%";"88426519579bf8ffca70373896765f3e";"ad7566b869540c4d";"89442";"Wed Jul  8 23:31:33 2020"
"Jugendtours GmbH Halle (Saale)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"10.12.2014";"92%";"88426519579bf8ffca70373896765f3e";"106373014b9fd44c";"89442";"Wed Jul  8 23:31:33 2020"
"Jugendtours GmbH Halle (Saale)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"27.01.2014";"92%";"88426519579bf8ffca70373896765f3e";"963ab4ddf667c610";"89442";"Wed Jul  8 23:31:33 2020"
"Jugendtours-Feriendorf Ummanz GmbH Ummanz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.03.2011 bis zum 29.02.2012";"23.05.2013";"92%";"88426519579bf8ffca70373896765f3e";"2ff584d9d87b5bf5";"89442";"Wed Jul  8 23:31:33 2020"
"Jugendtours GmbH Halle (Saale)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"20.11.2012";"92%";"88426519579bf8ffca70373896765f3e";"aa5df90c8c0e7a7f";"89442";"Wed Jul  8 23:31:33 2020"
"Jugendtours-Feriendorf Ummanz GmbH Ummanz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 14.02.2011 bis zum 28.02.2011";"15.02.2012";"92%";"88426519579bf8ffca70373896765f3e";"584c7342f778ab64";"89442";"Wed Jul  8 23:31:33 2020"
"Jugendtours GmbH Halle (Saale)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"30.01.2012";"92%";"88426519579bf8ffca70373896765f3e";"20e7e4dd8d01ff70";"89442";"Wed Jul  8 23:31:33 2020"
"Jugendtours GmbH Halle (Saale)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"28.02.2011";"92%";"88426519579bf8ffca70373896765f3e";"e6ca3fa606987c58";"89442";"Wed Jul  8 23:31:33 2020"
"Jugendtours GmbH Halle (Saale)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"11.03.2010";"92%";"88426519579bf8ffca70373896765f3e";"35df3a1dcd05c142";"89442";"Wed Jul  8 23:31:33 2020"
