"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"iShares (DE) I Investmentaktiengesellschaft mit Teilgesellschaftsvermögen München";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 31.08.2019";"16.12.2019";"100%";"e296a35b99b139be705423c472802d4d";"b56ee2029fd6d94e";"20962";"Thu Jun 11 19:57:39 2020"
"iShares (DE) I Investmentaktiengesellschaft mit Teilgesellschaftsvermögen München";"Nach oben";"» Halbjahresfinanzbericht zum 31. August 2018";"06.11.2018";"100%";"e296a35b99b139be705423c472802d4d";"aaadd784c3279cd8";"20962";"Thu Jun 11 19:57:39 2020"
"iShares (DE) I Investmentaktiengesellschaft mit Teilgesellschaftsvermögen München";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 31. August 2017";"08.11.2017";"50%";"e296a35b99b139be705423c472802d4d";"bcb076c1f934a791";"20962";"Thu Jun 11 19:57:39 2020"
"iShares (DE) I Investmentaktiengesellschaft mit Teilgesellschaftsvermögen München";"Rechnungslegung/ Finanzberichte";"» Halbjahresbericht zum 31. August 2016";"26.10.2016";"50%";"e296a35b99b139be705423c472802d4d";"83639c2f92095504";"20962";"Thu Jun 11 19:57:39 2020"
"iShares (DE) I Investmentaktiengesellschaft mit Teilgesellschaftsvermögen München";"Rechnungslegung/ Finanzberichte";"» Halbjahresbericht zum 31. August 2015 Berichtigung der Veröffentlichung vom 12.11.2015";"26.01.2016";"50%";"e296a35b99b139be705423c472802d4d";"d136219c8e61d5f9";"20962";"Thu Jun 11 19:57:39 2020"
"iShares (DE) I Investmentaktiengesellschaft mit Teilgesellschaftsvermögen München";"Rechnungslegung/ Finanzberichte";"» Halbjahresbericht zum  31. August  2015 Berichtigt am 26.01.2016";"12.11.2015";"50%";"e296a35b99b139be705423c472802d4d";"192b746e0f69a9e5";"20962";"Thu Jun 11 19:57:39 2020"
"iShares (DE) I Investmentaktiengesellschaft mit Teilgesellschaftsvermögen München";"Rechnungslegung/ Finanzberichte";"» Halbjahresbericht zum 31.08.2014";"16.12.2014";"50%";"e296a35b99b139be705423c472802d4d";"02884ec6c837a278";"20962";"Thu Jun 11 19:57:39 2020"
"iShares (DE) I Investmentaktiengesellschaft mit Teilgesellschaftsvermögen München";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 31. August 2013";"03.12.2013";"50%";"e296a35b99b139be705423c472802d4d";"f51c4d9f061905f1";"20962";"Thu Jun 11 19:57:39 2020"
"iShares (DE) I Investmentaktiengesellschaft mit Teilgesellschaftsvermögen München";"Rechnungslegung/ Finanzberichte";"» Halbjahresbericht zum 31. August 2012";"06.02.2013";"50%";"e296a35b99b139be705423c472802d4d";"362e132f0015ff05";"20962";"Thu Jun 11 19:57:39 2020"
"iShares (DE) I Investmentaktiengesellschaft mit Teilgesellschaftsvermögen München";"Rechnungslegung/ Finanzberichte";"» Halbjahresbericht zum 31. August 2011";"15.12.2011";"50%";"e296a35b99b139be705423c472802d4d";"ca54a3761f53dfa4";"20962";"Thu Jun 11 19:57:39 2020"
"Plaut Aktiengesellschaft Wien";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht";"13.10.2010";"50%";"e296a35b99b139be705423c472802d4d";"b61eb5a386074f3f";"20962";"Thu Jun 11 19:57:39 2020"
"TOMORROW FOCUS AG München";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum 31. Dezember 2006";"13.02.2008";"50%";"e296a35b99b139be705423c472802d4d";"0fd4e6ffa15da6ea";"20962";"Thu Jun 11 19:57:39 2020"
