"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"EXPERTNET GmbH (vormals: expertNet.IT Gesellschaft mit beschränkter Haftung) Bad Soden am Taunus";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"02.03.2020";"100%";"8399aa17c421584e161bbfd4a6571c8e";"ac7e8c93d0eea831";"08859";"Fri Jun 12 14:52:09 2020"
"EXPERTNET GmbH (vormals:  expertNet.IT Gesellschaft mit beschränkter Haftung) Bad Soden am Taunus (vormals: Eschborn)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"20.03.2019";"100%";"8399aa17c421584e161bbfd4a6571c8e";"1f1bca9ecf31de85";"08859";"Fri Jun 12 14:52:09 2020"
"expertNet.IT Gesellschaft mit beschränkter Haftung Bad Soden am Taunus (vormals:  Eschborn)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"24.01.2018";"98%";"8399aa17c421584e161bbfd4a6571c8e";"75b5c0c5c11729c3";"08859";"Fri Jun 12 14:52:09 2020"
"expertNet.IT Gesellschaft mit beschränkter Haftung Eschborn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"30.01.2017";"98%";"8399aa17c421584e161bbfd4a6571c8e";"2fd8dc690f7e9ea1";"08859";"Fri Jun 12 14:52:09 2020"
"expertNet.IT Gesellschaft mit beschränkter Haftung Eschborn (vormals: Oberursel (Taunus))";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"30.12.2015";"98%";"8399aa17c421584e161bbfd4a6571c8e";"9d01ec2c751962ae";"08859";"Fri Jun 12 14:52:09 2020"
"expertNet.IT Gesellschaft mit beschränkter Haftung Eschborn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"27.02.2015";"98%";"8399aa17c421584e161bbfd4a6571c8e";"7c6f4c7dd48e15ce";"08859";"Fri Jun 12 14:52:09 2020"
"expertNet.IT Gesellschaft mit beschränkter Haftung Eschborn (vormals: Oberursel (Taunus))";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"07.03.2014";"98%";"8399aa17c421584e161bbfd4a6571c8e";"d031610d5aa9cd58";"08859";"Fri Jun 12 14:52:09 2020"
"expertNet.IT Gesellschaft mit beschränkter Haftung Eschborn (vormals: Oberursel,  Taunus)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"25.01.2013";"98%";"8399aa17c421584e161bbfd4a6571c8e";"1618156f80ce132f";"08859";"Fri Jun 12 14:52:09 2020"
"expertNet.IT Gesellschaft mit beschränkter Haftung Oberursel (Taunus)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"22.02.2012";"98%";"8399aa17c421584e161bbfd4a6571c8e";"04f235966a071f55";"08859";"Fri Jun 12 14:52:09 2020"
"expertNet.IT Gesellschaft mit beschränkter Haftung Oberursel (Taunus)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"01.02.2011";"98%";"8399aa17c421584e161bbfd4a6571c8e";"69821562ad1fa155";"08859";"Fri Jun 12 14:52:09 2020"
"expertNet.IT Gesellschaft mit beschränkter Haftung Oberursel (Taunus)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"22.03.2010";"98%";"8399aa17c421584e161bbfd4a6571c8e";"f05c51038c291e40";"08859";"Fri Jun 12 14:52:09 2020"
"expertNet.IT Gesellschaft mit beschränkter Haftung Oberursel (Taunus)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"08.04.2009";"98%";"8399aa17c421584e161bbfd4a6571c8e";"d2093725297e2e0b";"08859";"Fri Jun 12 14:52:09 2020"
