"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"LAUREUS AG PRIVAT FINANZ Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"02.09.2019";"100%";"1d7580fe1877930fb5835ea85d1f7b11";"3d0acb19124996f4";"47452";"Mon Jul 13 13:34:22 2020"
"LAUREUS AG PRIVAT FINANZ Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"26.07.2018";"100%";"1d7580fe1877930fb5835ea85d1f7b11";"da1d1f1f71eec05c";"47452";"Mon Jul 13 13:34:22 2020"
"LAUREUS AG PRIVAT FINANZ Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"09.11.2017";"97%";"1d7580fe1877930fb5835ea85d1f7b11";"ffd0c3cb2f73661d";"47452";"Mon Jul 13 13:34:22 2020"
"LAUREUS AG PRIVAT FINANZ Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"08.09.2016";"97%";"1d7580fe1877930fb5835ea85d1f7b11";"7af466305090717f";"47452";"Mon Jul 13 13:34:22 2020"
"LAUREUS AG PRIVAT FINANZ Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"22.07.2015";"97%";"1d7580fe1877930fb5835ea85d1f7b11";"32fd611e2b283cf6";"47452";"Mon Jul 13 13:34:22 2020"
"LAUREUS AG PRIVAT FINANZ Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"31.10.2014";"97%";"1d7580fe1877930fb5835ea85d1f7b11";"dd286b0c22f0ceec";"47452";"Mon Jul 13 13:34:22 2020"
"LAUREUS AG PRIVAT FINANZ Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"28.08.2013";"97%";"1d7580fe1877930fb5835ea85d1f7b11";"41a0b5818c10dba8";"47452";"Mon Jul 13 13:34:22 2020"
"LAUREUS AG PRIVAT FINANZ Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"14.08.2012";"97%";"1d7580fe1877930fb5835ea85d1f7b11";"b343ab56088d2dd5";"47452";"Mon Jul 13 13:34:22 2020"
"LAUREUS AG PRIVAT FINANZ Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"04.08.2011";"97%";"1d7580fe1877930fb5835ea85d1f7b11";"e064d30e8b2c48ab";"47452";"Mon Jul 13 13:34:22 2020"
"LAUREUS AG PRIVAT FINANZ Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"30.07.2010";"97%";"1d7580fe1877930fb5835ea85d1f7b11";"36c7ecd7effb526e";"47452";"Mon Jul 13 13:34:22 2020"
"LAUREUS AG PRIVAT FINANZ Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"05.10.2009";"97%";"1d7580fe1877930fb5835ea85d1f7b11";"5e829a9fd2ec9242";"47452";"Mon Jul 13 13:34:22 2020"
"LAUREUS AG PRIVAT FINANZ Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31. Dezember 2007";"28.01.2009";"97%";"1d7580fe1877930fb5835ea85d1f7b11";"a244f7f6f53dc01d";"47452";"Mon Jul 13 13:34:22 2020"
"LAUREUS AG PRIVAT FINANZ Düsseldorf";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB - Geschäftsjahr 2007 - Sparda-Bank West eG (Düsseldorf)";"25.08.2008";"97%";"1d7580fe1877930fb5835ea85d1f7b11";"3d1a25cc8729c00e";"47452";"Mon Jul 13 13:34:22 2020"
"LAUREUS AG PRIVAT FINANZ Düsseldorf";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB - Geschäftsjahr 2006 - Sparda-Bank West eG (Düsseldorf)";"04.03.2008";"97%";"1d7580fe1877930fb5835ea85d1f7b11";"e3cb01ba05e272ed";"47452";"Mon Jul 13 13:34:22 2020"
