"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Locatech IT Solutions GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"13.02.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"4cfdfc9c03092572";"25518";"Thu Jul 16 05:15:06 2020"
"Locatech IT Solutions GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"13.03.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"bda272b255e76170";"25518";"Thu Jul 16 05:15:06 2020"
"Locatech IT Solutions GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"26.01.2018";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"c80429c4aadfc47b";"25518";"Thu Jul 16 05:15:06 2020"
"Locatech IT Solutions GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"24.01.2017";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"b711f32361c0343f";"25518";"Thu Jul 16 05:15:06 2020"
"Locatech IT Solutions GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"11.02.2016";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"d334845ff2893c06";"25518";"Thu Jul 16 05:15:06 2020"
"Locatech IT Solutions GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"21.01.2015";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"d9dfef5ff568f105";"25518";"Thu Jul 16 05:15:06 2020"
"Locatech IT Solutions GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"14.03.2014";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"9669a6341c4d9c9c";"25518";"Thu Jul 16 05:15:06 2020"
"Locatech IT Solutions GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"23.04.2013";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"100caa4e02667878";"25518";"Thu Jul 16 05:15:06 2020"
"Locatech IT Solutions GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"06.10.2011";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"1b6a4bddfcdff566";"25518";"Thu Jul 16 05:15:06 2020"
"Locatech IT Solutions GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"08.03.2011";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"5c78b5c85329acff";"25518";"Thu Jul 16 05:15:06 2020"
"Locatech IT Solutions GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"28.01.2010";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"fd94870c931473bf";"25518";"Thu Jul 16 05:15:06 2020"
