"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"LogPay Transport Services GmbH Eschborn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"19.11.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"f78919ada8ad5adb";"46250";"Wed Jul 15 18:15:54 2020"
"LogPay Transport Services GmbH Eschborn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"12.11.2018";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"b904798b93e7a242";"46250";"Wed Jul 15 18:15:54 2020"
"LogPay Transport Services GmbH Eschborn";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 DVB Bank SE (Frankfurt am Main)";"18.04.2017";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"d8411e5553042213";"46250";"Wed Jul 15 18:15:54 2020"
"DVB Bank SE Frankfurt am Main";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"26.05.2017";"9f640089e0eb51d0473f169a5e9dfb07";"d8411e5553042213";"46250";"Wed Jul 15 18:15:54 2020";"";""
"LogPay Transport Services GmbH Eschborn";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015 LogPay Financial Services GmbH (Eschborn)";"22.07.2016";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"1e68ceb486ece531";"46250";"Wed Jul 15 18:15:54 2020"
"LogPay Transport Services GmbH Eschborn";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014 LogPay Financial Services GmbH (Eschborn)";"06.05.2015";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"b211684c39b16d5b";"46250";"Wed Jul 15 18:15:54 2020"
"LogPay Transport Services GmbH (vormals: Euro Toll Service GmbH) Eschborn";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013 LogPay Financial Services GmbH (Eschborn)";"31.07.2014";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"beadc72a97a408cb";"46250";"Wed Jul 15 18:15:54 2020"
"LogPay Transport Services GmbH  (vormals: EuroToll Service GmbH) Eschborn";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012 LogPay Financial Services GmbH (Eschborn)";"03.07.2013";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"0b33a3083b395ede";"46250";"Wed Jul 15 18:15:54 2020"
"VOLKSWAGEN FINANCIAL SERVICES AKTIENGESELLSCHAFT Braunschweig";"Rechnungslegung/ Finanzberichte";"» Konzern Halbjahresfinanzbericht zum 30. Juni 2017 Berichtigung der Veröffentlichung vom 15.08.2017";"25.08.2017";"37%";"9f640089e0eb51d0473f169a5e9dfb07";"6d9ab605e2502f9e";"46250";"Wed Jul 15 18:15:54 2020"
"VOLKSWAGEN FINANCIAL SERVICES AKTIENGESELLSCHAFT Braunschweig";"Rechnungslegung/ Finanzberichte";"» Konzern Halbjahresfinanzbericht zum 30. Juni 2017 Berichtigt am 25.08.2017";"15.08.2017";"37%";"9f640089e0eb51d0473f169a5e9dfb07";"38e1ff7c8dee054a";"46250";"Wed Jul 15 18:15:54 2020"
