"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Lohfert & Lohfert AG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"20.01.2020";"80%";"9f0e12c7f320e17bd3028846fa49a6eb";"77ff91f667c3f8de";"16624";"Tue Jul 14 13:18:43 2020"
"Lohfert & Lohfert AG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"28.12.2018";"80%";"9f0e12c7f320e17bd3028846fa49a6eb";"b577b8d660991a74";"16624";"Tue Jul 14 13:18:43 2020"
"Lohfert & Lohfert AG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"15.12.2017";"75%";"9f0e12c7f320e17bd3028846fa49a6eb";"c9d40ec0344abc34";"16624";"Tue Jul 14 13:18:43 2020"
"Lohfert & Lohfert AG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"15.12.2016";"75%";"9f0e12c7f320e17bd3028846fa49a6eb";"4ac49db8fa395a19";"16624";"Tue Jul 14 13:18:43 2020"
"Lohfert & Lohfert AG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"08.12.2015";"75%";"9f0e12c7f320e17bd3028846fa49a6eb";"44bcc99ce4a4d221";"16624";"Tue Jul 14 13:18:43 2020"
"Lohfert & Lohfert AG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"05.01.2015";"75%";"9f0e12c7f320e17bd3028846fa49a6eb";"0ecb2cadd2318c47";"16624";"Tue Jul 14 13:18:43 2020"
"Lohfert & Lohfert AG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"20.12.2013";"75%";"9f0e12c7f320e17bd3028846fa49a6eb";"1a0b0840565f416a";"16624";"Tue Jul 14 13:18:43 2020"
"Dr. Christoph Lohfert AG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"12.02.2013";"75%";"9f0e12c7f320e17bd3028846fa49a6eb";"2daf49ae66561774";"16624";"Tue Jul 14 13:18:43 2020"
"Lohfert & Lohfert AG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"29.01.2013";"75%";"9f0e12c7f320e17bd3028846fa49a6eb";"aebaf1d35161ec0a";"16624";"Tue Jul 14 13:18:43 2020"
"Lohfert & Lohfert AG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"19.01.2012";"75%";"9f0e12c7f320e17bd3028846fa49a6eb";"ea1f89e7b8af0997";"16624";"Tue Jul 14 13:18:43 2020"
