"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"M K S Messe- und Kongreß - Service GmbH Würselen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Ergänzung der Veröffentlichung vom 05.02.2020";"07.05.2020";"100%";"ab583ff6c10622297060f807c76c00aa";"42fd859b9fc24a8e";"38013";"Wed Jul  8 23:01:17 2020"
"M K S Messe- und Kongreß - Service GmbH Würselen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Ergänzt am 07.05.2020";"05.02.2020";"100%";"ab583ff6c10622297060f807c76c00aa";"4a7f49dedcdb4a06";"38013";"Wed Jul  8 23:01:17 2020"
"M K S Messe- und Kongreß - Service GmbH Würselen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"22.01.2019";"100%";"ab583ff6c10622297060f807c76c00aa";"3a7e9517db91131e";"38013";"Wed Jul  8 23:01:17 2020"
"M K S Messe- und Kongreß - Service GmbH Würselen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"07.09.2017";"99%";"ab583ff6c10622297060f807c76c00aa";"56f54ab56cc2fcd0";"38013";"Wed Jul  8 23:01:17 2020"
"M K S Messe- und Kongreß - Service GmbH Würselen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"25.10.2016";"99%";"ab583ff6c10622297060f807c76c00aa";"9e4fe5896cde9d8a";"38013";"Wed Jul  8 23:01:17 2020"
"M K S Messe- und Kongreß - Service GmbH Würselen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"20.10.2015";"99%";"ab583ff6c10622297060f807c76c00aa";"003863c70066c1cb";"38013";"Wed Jul  8 23:01:17 2020"
"M K S Messe- und Kongreß - Service GmbH Würselen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"23.09.2014";"99%";"ab583ff6c10622297060f807c76c00aa";"50f5eb0b1fc06510";"38013";"Wed Jul  8 23:01:17 2020"
"M K S Messe- und Kongreß - Service GmbH Würselen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"02.12.2013";"99%";"ab583ff6c10622297060f807c76c00aa";"61e4ef7e0a3e3b07";"38013";"Wed Jul  8 23:01:17 2020"
"M K S Messe- und Kongreß - Service GmbH Würselen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"10.09.2012";"99%";"ab583ff6c10622297060f807c76c00aa";"af5e8e75979d6e69";"38013";"Wed Jul  8 23:01:17 2020"
"M K S Messe- und Kongreß - Service GmbH Würselen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"20.10.2011";"99%";"ab583ff6c10622297060f807c76c00aa";"73b3ae8d8b354a72";"38013";"Wed Jul  8 23:01:17 2020"
"M K S Messe- und Kongreß - Service GmbH Würselen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"22.11.2010";"99%";"ab583ff6c10622297060f807c76c00aa";"299ad1964efcf1c1";"38013";"Wed Jul  8 23:01:17 2020"
"M K S Messe- und Kongreß - Service GmbH Würselen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"23.12.2009";"99%";"ab583ff6c10622297060f807c76c00aa";"c111b02db8886ee7";"38013";"Wed Jul  8 23:01:17 2020"
"M K S Messe- und Kongreß - Service GmbH Würselen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"02.02.2009";"99%";"ab583ff6c10622297060f807c76c00aa";"14bc958ad9e73b39";"38013";"Wed Jul  8 23:01:17 2020"
