"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"M2Soft GmbH Bonn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"24.09.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"08f57671dd3173e1";"81179";"Wed Jul 15 22:55:47 2020"
"M2Soft GmbH Bonn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"06.03.2018";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"2c90293960726139";"81179";"Wed Jul 15 22:55:47 2020"
"M2Soft GmbH Bonn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"03.04.2017";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"3967894a6b680b6f";"81179";"Wed Jul 15 22:55:47 2020"
"M2Soft GmbH Bonn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"24.03.2016";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"55d642349a9d1b9f";"81179";"Wed Jul 15 22:55:47 2020"
"M2Soft GmbH Bonn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"26.02.2015";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"d39064904a5bb5d5";"81179";"Wed Jul 15 22:55:47 2020"
"M2Soft GmbH Bonn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"30.01.2012";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"20da1f47cbc35153";"81179";"Wed Jul 15 22:55:47 2020"
"M2Soft GmbH Bonn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"25.03.2011";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"ba5ea994ff097d6c";"81179";"Wed Jul 15 22:55:47 2020"
"M2Soft GmbH Bonn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"08.03.2010";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"890e101cb3565292";"81179";"Wed Jul 15 22:55:47 2020"
"M2Soft GmbH Bonn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"25.03.2009";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"47fedf2d31ad6a95";"81179";"Wed Jul 15 22:55:47 2020"
"M2Soft GMbH Bonn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2007";"26.02.2008";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"eaf63f34d9e6cb33";"81179";"Wed Jul 15 22:55:47 2020"
"M2Soft GMbH Bonn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss 2006";"11.07.2007";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"272aebefc355aaa6";"81179";"Wed Jul 15 22:55:47 2020"
