"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"MSM Dach GmbH Goldenstedt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"02.07.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"07ee62ce6c78887d";"69248";"Tue Jul 14 07:34:27 2020"
"MSM Immobilien- und Bauträgergesellschaft mbH Goldenstedt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"29.06.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"1a259e6ff9ee48f8";"69248";"Tue Jul 14 07:34:27 2020"
"msm planungsgesellschaft mbH Köln (vormals: Düsseldorf)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"17.06.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"7c4b18036d7252bf";"69248";"Tue Jul 14 07:34:27 2020"
"meyerschmitzmorkramer gmbh  (vormals: msm meyer schmitz-morkramer gmbh) Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.05.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"c56ad9ca519c9b85";"69248";"Tue Jul 14 07:34:27 2020"
"MSM Wälzlager & Industriebedarf GmbH Troisdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Berichtigung der Veröffentlichung vom 23.12.2019";"26.05.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"1bd7c2711ea939c5";"69248";"Tue Jul 14 07:34:27 2020"
"MSM Baumanagement Berlin GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 27.11.2017 bis zum 31.12.2017";"05.05.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"e3515c081343879b";"69248";"Tue Jul 14 07:34:27 2020"
"MSM Management GmbH Bad Pyrmont";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"11.03.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"65643b680de457a9";"69248";"Tue Jul 14 07:34:27 2020"
"MSM Germany - Marketing,  Service & Management GmbH Münster";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"18.02.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"8c32a65e6ad16a47";"69248";"Tue Jul 14 07:34:27 2020"
"MSM GmbH Schreinerei Fischbachau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"11.02.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"3d06ac8f45609144";"69248";"Tue Jul 14 07:34:27 2020"
"MSM GmbH Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"31.01.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"cf243ce78c37a593";"69248";"Tue Jul 14 07:34:27 2020"
"MSM Promotion GmbH Grevenbroich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"31.01.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"a9bdf912bfe5a495";"69248";"Tue Jul 14 07:34:27 2020"
"M S M Bäder + Wärme GmbH Wahrenholz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.03.2018 bis zum 28.02.2019";"29.01.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"1aee65ae534d1fa2";"69248";"Tue Jul 14 07:34:27 2020"
"MSM Media GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.01.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"dabb9f0c182aa9fc";"69248";"Tue Jul 14 07:34:27 2020"
"MSM Immobilien-Verwaltungs GmbH Steinfeld";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Paul Schockemöhle Verwaltungs- und Beteiligungs- GmbH & Co. Kommanditgesellschaft
                                       (Mühlen)";"20.01.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"dee5eccc0d6d576c";"69248";"Tue Jul 14 07:34:27 2020"
"Paul Schockemöhle Verwaltungs- und Beteiligungs- GmbH & Co. Kommanditgesellschaft Mühlen";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"23.01.2020";"9f0e12c7f320e17bd3028846fa49a6eb";"dee5eccc0d6d576c";"69248";"Tue Jul 14 07:34:27 2020";"";""
