"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Mayer`sche Hofkunstanstalt GmbH-Mayer of Munich München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.10.2018";"19.11.2019";"94%";"9f640089e0eb51d0473f169a5e9dfb07";"ccc98a32fa707e4c";"27874";"Wed Jul 15 15:53:01 2020"
"Mayer`sche Hofkunstanstalt GmbH-Mayer of Munich München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"14.01.2019";"94%";"9f640089e0eb51d0473f169a5e9dfb07";"5db44b37c8bc2cf0";"27874";"Wed Jul 15 15:53:01 2020"
"Mayer`sche Hofkunstanstalt GmbH-Mayer of Munich München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"26.01.2018";"93%";"9f640089e0eb51d0473f169a5e9dfb07";"83d5f4d9883c2ca6";"27874";"Wed Jul 15 15:53:01 2020"
"Mayer`sche Hofkunstanstalt GmbH-Mayer of Munich München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"05.09.2016";"93%";"9f640089e0eb51d0473f169a5e9dfb07";"ad7dcd3a8eab0a9c";"27874";"Wed Jul 15 15:53:01 2020"
"Mayer`sche Hofkunstanstalt GmbH-Mayer of Munich München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"09.12.2015";"93%";"9f640089e0eb51d0473f169a5e9dfb07";"7cb258c66bd9fa76";"27874";"Wed Jul 15 15:53:01 2020"
"Mayer`sche Hofkunstanstalt GmbH-Mayer of Munich München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"15.08.2014";"93%";"9f640089e0eb51d0473f169a5e9dfb07";"1bf0261e1b2733f2";"27874";"Wed Jul 15 15:53:01 2020"
"Mayer`sche Hofkunstanstalt GmbH-Mayer of Munich München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"12.02.2014";"93%";"9f640089e0eb51d0473f169a5e9dfb07";"807bd5980417da7c";"27874";"Wed Jul 15 15:53:01 2020"
"Mayer`sche Hofkunstanstalt GmbH-Mayer of Munich München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"26.11.2012";"93%";"9f640089e0eb51d0473f169a5e9dfb07";"f32911ac07b9bcf0";"27874";"Wed Jul 15 15:53:01 2020"
"Mayer`sche Hofkunstanstalt GmbH-Mayer of Munich München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"10.10.2011";"93%";"9f640089e0eb51d0473f169a5e9dfb07";"827ee57b310e1f5a";"27874";"Wed Jul 15 15:53:01 2020"
"Mayer`sche Hofkunstanstalt GmbH-Mayer of Munich München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"01.02.2011";"93%";"9f640089e0eb51d0473f169a5e9dfb07";"575a8f0ecb2cc2e4";"27874";"Wed Jul 15 15:53:01 2020"
"Mayer`sche Hofkunstanstalt GmbH-Mayer of Munich München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"22.01.2010";"93%";"9f640089e0eb51d0473f169a5e9dfb07";"04861616e1681837";"27874";"Wed Jul 15 15:53:01 2020"
"Mayer`sche Hofkunstanstalt GmbH-Mayer of Munich München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"10.02.2009";"93%";"9f640089e0eb51d0473f169a5e9dfb07";"4221878873a574ef";"27874";"Wed Jul 15 15:53:01 2020"
"Mayer´sche Hofkunstanstalt GmbH -Mayer of Munich- München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"10.03.2008";"93%";"9f640089e0eb51d0473f169a5e9dfb07";"ba3bafd7ebb4bb71";"27874";"Wed Jul 15 15:53:01 2020"
