"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Mobile Software AG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"17.09.2019";"100%";"c1affca00be00815e8f7ff00abde0b30";"abaca940897f4ab9";"71780";"Wed Jul 15 13:51:49 2020"
"Mobile Software AG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Berichtigung der Veröffentlichung vom 27.06.2018";"31.07.2018";"100%";"c1affca00be00815e8f7ff00abde0b30";"f06c2e6c405f31f0";"71780";"Wed Jul 15 13:51:49 2020"
"Mobile Software AG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Berichtigt am 31.07.2018";"27.06.2018";"95%";"c1affca00be00815e8f7ff00abde0b30";"18acc4de39e75ae8";"71780";"Wed Jul 15 13:51:49 2020"
"Mobile Software AG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"18.07.2017";"95%";"c1affca00be00815e8f7ff00abde0b30";"25119407fb1e2bec";"71780";"Wed Jul 15 13:51:49 2020"
"Mobile Software AG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"15.09.2016";"95%";"c1affca00be00815e8f7ff00abde0b30";"a499ff139fd9f52c";"71780";"Wed Jul 15 13:51:49 2020"
"Mobile Software AG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"29.01.2016";"95%";"c1affca00be00815e8f7ff00abde0b30";"da774a70c25ee82c";"71780";"Wed Jul 15 13:51:49 2020"
"Mobile Software AG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"15.01.2015";"95%";"c1affca00be00815e8f7ff00abde0b30";"85fbf029f348777a";"71780";"Wed Jul 15 13:51:49 2020"
"Mobile Software AG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"12.09.2014";"95%";"c1affca00be00815e8f7ff00abde0b30";"bc8db07f6d6e72f5";"71780";"Wed Jul 15 13:51:49 2020"
"Mobile Software AG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"28.01.2013";"95%";"c1affca00be00815e8f7ff00abde0b30";"b25b2bda5de28b12";"71780";"Wed Jul 15 13:51:49 2020"
"Mobile Software AG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.06.2010 bis zum 31.12.2010";"20.01.2012";"95%";"c1affca00be00815e8f7ff00abde0b30";"69a09ca20b5f3a55";"71780";"Wed Jul 15 13:51:49 2020"
"GK Software AG Schöneck/Vogtl.";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht zum 31.März 2015";"10.07.2015";"75%";"c1affca00be00815e8f7ff00abde0b30";"953798e197f6f7df";"71780";"Wed Jul 15 13:51:49 2020"
"GK Software AG Schöneck/Vogtl.";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30.6.2014";"05.09.2014";"75%";"c1affca00be00815e8f7ff00abde0b30";"44c31bfe2ad1f6c8";"71780";"Wed Jul 15 13:51:49 2020"
"Deutsche Pfandbriefbank AG Garching";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"01.04.2020";"50%";"c1affca00be00815e8f7ff00abde0b30";"ff0cf769d0bff4d6";"71780";"Wed Jul 15 13:51:49 2020"
"Westwing Group AG Berlin";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht zum 30.09.2019";"08.11.2019";"50%";"c1affca00be00815e8f7ff00abde0b30";"883af60e553c5f60";"71780";"Wed Jul 15 13:51:49 2020"
"Westwing Group AG Berlin";"Rechnungslegung/ Finanzberichte";"» Halbjahresbericht zum 30. Juni 2019";"15.08.2019";"50%";"c1affca00be00815e8f7ff00abde0b30";"5cb01798d344290f";"71780";"Wed Jul 15 13:51:49 2020"
"BGV-Versicherung Aktiengesellschaft Karlsruhe";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"13.08.2019";"50%";"c1affca00be00815e8f7ff00abde0b30";"9f477d9bde66b899";"71780";"Wed Jul 15 13:51:49 2020"
"Westwing Group AG Berlin";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht zum 31.03.2019";"18.06.2019";"50%";"c1affca00be00815e8f7ff00abde0b30";"2767ab58681a6089";"71780";"Wed Jul 15 13:51:49 2020"
"Diebold Nixdorf Aktiengesellschaft Paderborn";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"20.05.2019";"50%";"c1affca00be00815e8f7ff00abde0b30";"b4eb1e28dc119659";"71780";"Wed Jul 15 13:51:49 2020"
"niiio finance group AG Görlitz (vormals: Köln)";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30.06.2018";"08.11.2018";"50%";"c1affca00be00815e8f7ff00abde0b30";"9f6cdc8afac26d50";"71780";"Wed Jul 15 13:51:49 2020"
"SV SparkassenVersicherung Holding Aktiengesellschaft Stuttgart";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"12.06.2018";"45%";"c1affca00be00815e8f7ff00abde0b30";"866653cc772a680a";"71780";"Wed Jul 15 13:51:49 2020"
