"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Monday Consulting GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"23.09.2019";"100%";"1d7580fe1877930fb5835ea85d1f7b11";"9f5819080695ca62";"37362";"Mon Jul 13 12:44:33 2020"
"Monday Consulting GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"13.12.2018";"100%";"1d7580fe1877930fb5835ea85d1f7b11";"febe42daabc2af30";"37362";"Mon Jul 13 12:44:33 2020"
"Monday Consulting GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"17.10.2017";"95%";"1d7580fe1877930fb5835ea85d1f7b11";"f620b97a388d6c0a";"37362";"Mon Jul 13 12:44:33 2020"
"Monday Consulting GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"21.10.2016";"95%";"1d7580fe1877930fb5835ea85d1f7b11";"ae557742c4b2f5d4";"37362";"Mon Jul 13 12:44:33 2020"
"Monday Consulting GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"25.11.2015";"95%";"1d7580fe1877930fb5835ea85d1f7b11";"5edde69ac74eacd0";"37362";"Mon Jul 13 12:44:33 2020"
"Monday Consulting GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"27.11.2014";"95%";"1d7580fe1877930fb5835ea85d1f7b11";"34126915b610e09b";"37362";"Mon Jul 13 12:44:33 2020"
"Monday Consulting GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"16.12.2013";"95%";"1d7580fe1877930fb5835ea85d1f7b11";"cb9ff1b299efd993";"37362";"Mon Jul 13 12:44:33 2020"
"Monday Consulting GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"03.12.2012";"95%";"1d7580fe1877930fb5835ea85d1f7b11";"7421834a63158013";"37362";"Mon Jul 13 12:44:33 2020"
"Monday Consulting GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"30.11.2011";"95%";"1d7580fe1877930fb5835ea85d1f7b11";"de660718d5839167";"37362";"Mon Jul 13 12:44:33 2020"
"Monday Consulting GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"27.01.2011";"95%";"1d7580fe1877930fb5835ea85d1f7b11";"e2fb448f2bb6ed6e";"37362";"Mon Jul 13 12:44:33 2020"
