"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"NEXT Munich GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.12.2019";"100%";"af75d5dc888ac79ae50ee77806ec50af";"42589448081e4aed";"83560";"Wed Jul 15 16:27:05 2020"
"NEXT Munich GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"03.12.2018";"100%";"af75d5dc888ac79ae50ee77806ec50af";"d24a15e612862365";"83560";"Wed Jul 15 16:27:05 2020"
"NEXT Munich GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"19.05.2017";"95%";"af75d5dc888ac79ae50ee77806ec50af";"a30d14cf25ed92b8";"83560";"Wed Jul 15 16:27:05 2020"
"NEXT Munich GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"31.05.2016";"95%";"af75d5dc888ac79ae50ee77806ec50af";"5a4649b6f1b4f7eb";"83560";"Wed Jul 15 16:27:05 2020"
"NEXT Munich GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"27.07.2015";"95%";"af75d5dc888ac79ae50ee77806ec50af";"ad3fe6bd08761fee";"83560";"Wed Jul 15 16:27:05 2020"
"NEXT Munich GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"07.01.2015";"95%";"af75d5dc888ac79ae50ee77806ec50af";"7efa0da1dc80748f";"83560";"Wed Jul 15 16:27:05 2020"
"NEXT Munich GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"21.01.2014";"95%";"af75d5dc888ac79ae50ee77806ec50af";"f430be4484c49308";"83560";"Wed Jul 15 16:27:05 2020"
"NEXT Munich GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 12.01.2011 bis zum 31.12.2011";"17.01.2013";"95%";"af75d5dc888ac79ae50ee77806ec50af";"5099f8f7e525cdff";"83560";"Wed Jul 15 16:27:05 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2019";"24.10.2019";"10%";"af75d5dc888ac79ae50ee77806ec50af";"5108bcc2fd3d3685";"83560";"Wed Jul 15 16:27:05 2020"
"Main Capital Funding Limited Partnership 13 Castle Street,  St. Helier,  Jersey JE4 5UT";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2019";"04.10.2019";"10%";"af75d5dc888ac79ae50ee77806ec50af";"6172e1705e6d6d5b";"83560";"Wed Jul 15 16:27:05 2020"
"Main Capital Funding Limited Partnership 13 Castle Street,  St. Helier,  Jersey JE4 5UT";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2018";"11.10.2018";"10%";"af75d5dc888ac79ae50ee77806ec50af";"e58e2aee1a985d15";"83560";"Wed Jul 15 16:27:05 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2018";"31.08.2018";"10%";"af75d5dc888ac79ae50ee77806ec50af";"6393fc1eafde6d35";"83560";"Wed Jul 15 16:27:05 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2017";"29.12.2017";"5%";"af75d5dc888ac79ae50ee77806ec50af";"5dd9fc68b8b240ef";"83560";"Wed Jul 15 16:27:05 2020"
"Main Capital Funding Limited Partnership 13 Castle Street,  St. Helier,  Jersey JE4 5UT";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2017";"12.09.2017";"5%";"af75d5dc888ac79ae50ee77806ec50af";"0f608d5c6938f3d9";"83560";"Wed Jul 15 16:27:05 2020"
"Main Capital Funding Limited Partnership 13 Castle Street,  St. Helier,  Jersey JE4 5UT";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2016";"27.09.2016";"5%";"af75d5dc888ac79ae50ee77806ec50af";"778a06e621824055";"83560";"Wed Jul 15 16:27:05 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2015";"02.10.2015";"5%";"af75d5dc888ac79ae50ee77806ec50af";"494419079ab01453";"83560";"Wed Jul 15 16:27:05 2020"
"Main Capital Funding Limited Partnership 13 Castle Street,  St. Helier,  Jersey JE4 5UT";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2015";"09.09.2015";"5%";"af75d5dc888ac79ae50ee77806ec50af";"c341796e7da0a0bd";"83560";"Wed Jul 15 16:27:05 2020"
"Medigene AG Planegg,  Ortsteil Martinsried";"Rechnungslegung/ Finanzberichte";"» QUARTALSFINANZBERICHT ZUM 30. SEPTEMBER 2014";"29.01.2015";"5%";"af75d5dc888ac79ae50ee77806ec50af";"80e5187a62572a01";"83560";"Wed Jul 15 16:27:05 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2011 Berichtigung der Veröffentlichung vom 23.09.2011";"18.10.2011";"5%";"af75d5dc888ac79ae50ee77806ec50af";"ae5d144f880ad549";"83560";"Wed Jul 15 16:27:05 2020"
"INTERHYP AG München";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht";"13.10.2010";"5%";"af75d5dc888ac79ae50ee77806ec50af";"5b708b30c6ae0641";"83560";"Wed Jul 15 16:27:05 2020"
