"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"secunet Security Networks Aktiengesellschaft Essen";"Rechnungslegung/ Finanzberichte";"» Jahres- und Konzernabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 Ergänzung der Veröffentlichung vom 24.04.2020";"15.07.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"4846aea4928b19fb";"71701";"Thu Jul 16 04:48:54 2020"
"secunet International GmbH & Co. KG, Essen";"Thu Jul 16 04:48:54 2020";"";"";"";"";"";"";""
"German Translation Network AG Freiburg im Breisgau (vormals: Endingen am Kaiserstuhl)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 Berichtigung der Veröffentlichung vom 17.04.2020";"03.07.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"127499d0841b5a64";"71701";"Thu Jul 16 04:48:54 2020"
"HDI Global Network AG Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"11.05.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"a3e801452a269128";"71701";"Thu Jul 16 04:48:54 2020"
"Barracuda Networks AG Zweigniederlassung Deutschland München";"Rechnungslegung/ Finanzberichte";"» Befreiender Jahresabschluss gem. §325 a HGB zum Geschäftsjahr vom 01.03.2018 bis zum
                                          28.02.2019";"29.04.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"ee4d5aaff2928a74";"71701";"Thu Jul 16 04:48:54 2020"
"secunet Security Networks Aktiengesellschaft Essen";"Rechnungslegung/ Finanzberichte";"» Jahres- und Konzernabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 Ergänzt am 15.07.2020";"24.04.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"12b958bfcadef008";"71701";"Thu Jul 16 04:48:54 2020"
"secunet International GmbH & Co. KG, Essen";"Thu Jul 16 04:48:54 2020";"";"";"";"";"";"";""
"German Translation Network AG Freiburg im Breisgau (vormals: Endingen am Kaiserstuhl)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 Berichtigt am 03.07.2020";"17.04.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"38dadababfb1c976";"71701";"Thu Jul 16 04:48:54 2020"
"ACN Associated Consulting Network Unternehmensberatung AG Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Ergänzung der Veröffentlichung vom 06.01.2020";"09.04.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"63d4d0f1c88e2a5a";"71701";"Thu Jul 16 04:48:54 2020"
"NetWorks Marketing AG Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"10.03.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"5b4735dd0fb1a76a";"71701";"Thu Jul 16 04:48:54 2020"
"German Translation Network AG Freiburg im Breisgau (vormals: Endingen am Kaiserstuhl)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.02.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"e2adea0574e704b1";"71701";"Thu Jul 16 04:48:54 2020"
"NETWORK PEOPLE Aktiengesellschaft Darmstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"25.02.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"ce4400de27ee8493";"71701";"Thu Jul 16 04:48:54 2020"
"ieQ-network AG Münster";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Ergänzung der Veröffentlichung vom 13.01.2020";"25.02.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"c664e2957c9eefef";"71701";"Thu Jul 16 04:48:54 2020"
"ieQ-health GmbH & Co. KG, Münster; ieQ-solutions GmbH & Co. KG, Münster; ieQ-systems GmbH & Co. KG, Münster";"Thu Jul 16 04:48:54 2020";"";"";"";"";"";"";""
"B.R.A.I.N. Biotechnology Research and Information Network AG Zwingenberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2018 bis zum 30.09.2019";"25.02.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"a92fb555766aebad";"71701";"Thu Jul 16 04:48:54 2020"
"ieQ-network AG Münster";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"21.02.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"ed70e9649289784f";"71701";"Thu Jul 16 04:48:54 2020"
"deepblue networks AG Hamburg";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 WPP Deutschland Holding GmbH & Co. KG (Frankfurt am Main)";"21.02.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"7be7c46cd932f086";"71701";"Thu Jul 16 04:48:54 2020"
"WPP Deutschland Holding GmbH & Co. KG Frankfurt am Main";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.02.2020";"aba51bcc9fdd59516710d900a8a5ca24";"7be7c46cd932f086";"71701";"Thu Jul 16 04:48:54 2020";"";""
"winwin Office Network Aktiengesellschaft Waiblingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"19.02.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"cb8ddd474b93efcc";"71701";"Thu Jul 16 04:48:54 2020"
"deepblue networks AG Hamburg";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 WPP Deutschland Holding GmbH & Co. KG (Frankfurt am Main)";"19.02.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"59587c6e1a1c8830";"71701";"Thu Jul 16 04:48:54 2020"
"WPP Deutschland Holding GmbH & Co. KG Frankfurt am Main";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"13.05.2019";"aba51bcc9fdd59516710d900a8a5ca24";"59587c6e1a1c8830";"71701";"Thu Jul 16 04:48:54 2020";"";""
"B.R.A.I.N. Biotechnology Research and Information Network AG Zwingenberg";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.10.2018 bis zum 30.09.2019";"06.02.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"a0255fc34ab4b9e2";"71701";"Thu Jul 16 04:48:54 2020"
"Greencom Networks AG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"03.02.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"3a0d4f57b9b472f3";"71701";"Thu Jul 16 04:48:54 2020"
"INTERNET AG Global Network Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"31.01.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"e9aac2be9d381f87";"71701";"Thu Jul 16 04:48:54 2020"
"CNC - Communications and Network Consulting AG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.01.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"826daf49ef45cb8b";"71701";"Thu Jul 16 04:48:54 2020"
