"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"PROLOGA GmbH Halle (Saale)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"04.02.2020";"100%";"af75d5dc888ac79ae50ee77806ec50af";"4462e29496905c13";"12576";"Wed Jul 15 12:27:40 2020"
"PROLOGA Energy GmbH Halle (Saale)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"24.01.2020";"100%";"af75d5dc888ac79ae50ee77806ec50af";"c283aa1481c52d38";"12576";"Wed Jul 15 12:27:40 2020"
"PROLOGA Energy GmbH Halle (Saale)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"18.01.2019";"100%";"af75d5dc888ac79ae50ee77806ec50af";"d3367ac3f14caf47";"12576";"Wed Jul 15 12:27:40 2020"
"PROLOGA GmbH Halle (Saale)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"27.12.2018";"100%";"af75d5dc888ac79ae50ee77806ec50af";"a6440abc228bc8e1";"12576";"Wed Jul 15 12:27:40 2020"
"PROLOGA Energy GmbH Halle (Saale)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"22.12.2017";"92%";"af75d5dc888ac79ae50ee77806ec50af";"2ec09a01a8c13fcb";"12576";"Wed Jul 15 12:27:40 2020"
"PROLOGA GmbH Halle (Saale)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"21.12.2017";"92%";"af75d5dc888ac79ae50ee77806ec50af";"ee24a3b1495e9ef6";"12576";"Wed Jul 15 12:27:40 2020"
"PROLOGA Energy GmbH Halle (Saale)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"16.01.2017";"92%";"af75d5dc888ac79ae50ee77806ec50af";"3913b9c66f2fe675";"12576";"Wed Jul 15 12:27:40 2020"
"PROLOGA GmbH Halle (Saale)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"03.01.2017";"92%";"af75d5dc888ac79ae50ee77806ec50af";"0cecd20fa7b85f96";"12576";"Wed Jul 15 12:27:40 2020"
"PROLOGA Energy GmbH Halle (Saale)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 20.03.2014 bis zum 31.12.2014";"13.08.2015";"92%";"af75d5dc888ac79ae50ee77806ec50af";"b4463b40d4e78f48";"12576";"Wed Jul 15 12:27:40 2020"
"PROLOGA GmbH Halle (Saale)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"17.07.2015";"92%";"af75d5dc888ac79ae50ee77806ec50af";"dbf3c280f1dd6961";"12576";"Wed Jul 15 12:27:40 2020"
"PROLOGA GmbH Halle (Saale)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"15.07.2014";"92%";"af75d5dc888ac79ae50ee77806ec50af";"af1e5b36a30e08b9";"12576";"Wed Jul 15 12:27:40 2020"
"PROLOGA GmbH Halle (Saale)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"30.10.2013";"92%";"af75d5dc888ac79ae50ee77806ec50af";"3c8fa741e4342d83";"12576";"Wed Jul 15 12:27:40 2020"
"PROLOGA GmbH Halle";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"16.11.2012";"92%";"af75d5dc888ac79ae50ee77806ec50af";"3c6e13578b4116f5";"12576";"Wed Jul 15 12:27:40 2020"
"PROLOGA GmbH Halle";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"21.11.2011";"92%";"af75d5dc888ac79ae50ee77806ec50af";"e18f33b088533caa";"12576";"Wed Jul 15 12:27:40 2020"
"Implico-Prologa GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"04.01.2011";"92%";"af75d5dc888ac79ae50ee77806ec50af";"651c438a01e62d82";"12576";"Wed Jul 15 12:27:40 2020"
"PROLOGA GmbH Halle";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"22.12.2010";"92%";"af75d5dc888ac79ae50ee77806ec50af";"68c61001b750119a";"12576";"Wed Jul 15 12:27:40 2020"
"Implico-Prologa GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"31.12.2009";"92%";"af75d5dc888ac79ae50ee77806ec50af";"60ffd8e7635c0e5f";"12576";"Wed Jul 15 12:27:40 2020"
"PROLOGA GmbH Halle";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2008";"30.06.2009";"92%";"af75d5dc888ac79ae50ee77806ec50af";"ab0fb782e0181231";"12576";"Wed Jul 15 12:27:40 2020"
