"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"PTM GmbH Mindelheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"14.05.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"9a00bb53efe4d714";"23543";"Tue Jul 14 08:13:24 2020"
"ptm Präzisions-Technik Mayer GmbH & Co. KG Spaichingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"10.03.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"20c74218bc5a0580";"23543";"Tue Jul 14 08:13:24 2020"
"ptm Mayer Verwaltungsgesellschaft mbH Spaichingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"05.03.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"ad866c32fcdf0ae4";"23543";"Tue Jul 14 08:13:24 2020"
"PTM Profitext GmbH Magdeburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"19.02.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"eb973d45e9b5bcb3";"23543";"Tue Jul 14 08:13:24 2020"
"Pneumatik Berlin GmbH PTM Medizintechnik Vertrieb Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"12.02.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"672521549a138065";"23543";"Tue Jul 14 08:13:24 2020"
"Forschner PTM GmbH Mahlstetten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"10.01.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"8e983873e31e9c9f";"23543";"Tue Jul 14 08:13:24 2020"
"Private-ptm-Akademie - Gesellschaft für Informatik-Training und Kommunikationstechnologie
                                       mbH - München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"08.01.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"1f17f532c1e0398f";"23543";"Tue Jul 14 08:13:24 2020"
"PTM Portfolio Treuhand München Vermögensverwaltung GmbH Grünwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"16.12.2019";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"41ae28924d941bb0";"23543";"Tue Jul 14 08:13:24 2020"
"Pneumatik Berlin GmbH PTM Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"06.12.2019";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"a70e938a850a5c23";"23543";"Tue Jul 14 08:13:24 2020"
"Ingenieurgesellschaft PTM Dortmund mbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"21.10.2019";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"5701f71f786548b8";"23543";"Tue Jul 14 08:13:24 2020"
"PTM mechatronics GmbH Egenhofen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"07.06.2019";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"1976a15d8bf4973c";"23543";"Tue Jul 14 08:13:24 2020"
"PTM Präzisionsteile GmbH Meiningen Meiningen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"10.05.2019";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"9fc8451af7520339";"23543";"Tue Jul 14 08:13:24 2020"
"PTM GmbH Mindelheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"30.04.2019";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"d67007b9b8d46b8c";"23543";"Tue Jul 14 08:13:24 2020"
"ptm Präzisions-Technik Mayer GmbH & Co. KG Spaichingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"14.03.2019";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"0c2a48ba72f87934";"23543";"Tue Jul 14 08:13:24 2020"
