"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Payango GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"26.02.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"ac9a283344a77eee";"86290";"Thu Jul 16 13:37:49 2020"
"Payango GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"28.03.2018";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"53bef666d4929833";"86290";"Thu Jul 16 13:37:49 2020"
"Payango GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"29.11.2017";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"40fb3b97834dc2d9";"86290";"Thu Jul 16 13:37:49 2020"
"Payango GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"19.05.2015";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"7d610e9ddc44f74e";"86290";"Thu Jul 16 13:37:49 2020"
"Payango GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"25.06.2014";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"da8f80060fd1b919";"86290";"Thu Jul 16 13:37:49 2020"
"Payango GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"19.06.2013";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"0d051b9aa963d629";"86290";"Thu Jul 16 13:37:49 2020"
"Payango GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"16.01.2012";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"5c4645dce73db47d";"86290";"Thu Jul 16 13:37:49 2020"
"Payango GmbH Berlin (vormals: München)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"17.11.2010";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"d028448b17b5d90e";"86290";"Thu Jul 16 13:37:49 2020"
"Payango GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"19.01.2010";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"429cb42aa63e2727";"86290";"Thu Jul 16 13:37:49 2020"
"PAYANGO GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"07.01.2009";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"bf61a78dc8f5ed94";"86290";"Thu Jul 16 13:37:49 2020"
"Payango GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31. Dezember 2006";"11.06.2008";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"17ba630ae3be5679";"86290";"Thu Jul 16 13:37:49 2020"
