"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Philosys Software GmbH Unterschleißheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"23.12.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"ffed398135d61867";"91324";"Thu Jul 16 10:10:12 2020"
"Philosys Software GmbH Unterschleißheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"08.02.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"655356e28abb66e4";"91324";"Thu Jul 16 10:10:12 2020"
"Philosys Software GmbH Unterschleißheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"11.01.2018";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"c2a8073e83f8b3c0";"91324";"Thu Jul 16 10:10:12 2020"
"Philosys Software GmbH Unterschleißheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"13.02.2017";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"d6c94af4237a49c8";"91324";"Thu Jul 16 10:10:12 2020"
"Philosys Software GmbH Unterschleißheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"04.11.2015";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"8446c3218176e18b";"91324";"Thu Jul 16 10:10:12 2020"
"Philosys Software GmbH Unterschleißheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"06.02.2015";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"0ac20bea493524ab";"91324";"Thu Jul 16 10:10:12 2020"
"Philosys Software GmbH Unterschleißheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"10.01.2014";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"1bc2e6025670e963";"91324";"Thu Jul 16 10:10:12 2020"
"Philosys Software GmbH Unterschleißheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"29.06.2012";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"99740c8a8a205461";"91324";"Thu Jul 16 10:10:12 2020"
"Philosys Software GmbH Unterschleißheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"30.12.2011";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"002fd8e6511d2704";"91324";"Thu Jul 16 10:10:12 2020"
"Philosys Software GmbH Unterschleißheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"01.03.2011";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"c23ec69e75ac32d3";"91324";"Thu Jul 16 10:10:12 2020"
"Philosys Software GmbH Unterschleißheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"29.10.2009";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"22e4a75e2c09f3b9";"91324";"Thu Jul 16 10:10:12 2020"
"Philosys Software GmbH Unterschleißheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"06.02.2009";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"58fbf7d1826697e7";"91324";"Thu Jul 16 10:10:12 2020"
"Philosys Software GmbH Unterschleißheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"15.01.2008";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"f86a31e694bb34f6";"91324";"Thu Jul 16 10:10:12 2020"
