"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Pivotal Software Deutschland GmbH Berlin (vormals: Schwalbach am Taunus)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.02.2018 bis zum 31.01.2019";"21.04.2020";"100%";"c1affca00be00815e8f7ff00abde0b30";"c010e1879c5e6058";"96040";"Wed Jul 15 11:22:02 2020"
"Pivotal Software Deutschland GmbH Schwalbach am Taunus";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.02.2017 bis zum 31.01.2018";"06.02.2019";"100%";"c1affca00be00815e8f7ff00abde0b30";"106a44bb5fa3b1e3";"96040";"Wed Jul 15 11:22:02 2020"
"Pivotal Software Deutschland GmbH (vormals: Pivotal Software GmbH) Schwalbach am Taunus";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.01.2017";"25.07.2018";"100%";"c1affca00be00815e8f7ff00abde0b30";"00aafaf54c5d0ddc";"96040";"Wed Jul 15 11:22:02 2020"
"Pivotal Software GmbH (vormals: GoPivotal Deutschland GmbH) Schwalbach am Taunus";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"14.03.2018";"83%";"c1affca00be00815e8f7ff00abde0b30";"9c79b10a211f07a9";"96040";"Wed Jul 15 11:22:02 2020"
"Pivotal Software GmbH (vormals: GoPivotal Deutschland GmbH) Schwalbach am Taunus";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"02.02.2017";"83%";"c1affca00be00815e8f7ff00abde0b30";"48cf6c9bae6e1491";"96040";"Wed Jul 15 11:22:02 2020"
"GoPivotal Deutschland GmbH Schwalbach am Taunus";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"21.01.2016";"83%";"c1affca00be00815e8f7ff00abde0b30";"6688487d95ca94cd";"96040";"Wed Jul 15 11:22:02 2020"
"GoPivotal Deutschland GmbH Schwalbach am Taunus";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.03.2013 bis zum 31.12.2013";"24.02.2015";"83%";"c1affca00be00815e8f7ff00abde0b30";"fb5037525db38a3a";"96040";"Wed Jul 15 11:22:02 2020"
"PIVOTAL GmbH Unterföhring";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"21.05.2013";"83%";"c1affca00be00815e8f7ff00abde0b30";"c2826b20bf1c953e";"96040";"Wed Jul 15 11:22:02 2020"
"PIVOTAL GmbH Unterföhring (vormals: München)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"31.01.2012";"83%";"c1affca00be00815e8f7ff00abde0b30";"9552a93d5671d0fd";"96040";"Wed Jul 15 11:22:02 2020"
"PIVOTAL GmbH Unterföhring";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2009 bis zum 31.12.2009";"20.09.2010";"83%";"c1affca00be00815e8f7ff00abde0b30";"101c4127120545dc";"96040";"Wed Jul 15 11:22:02 2020"
"PIVOTAL GmbH Unterföhring";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2008 bis zum 30.06.2009";"10.09.2010";"83%";"c1affca00be00815e8f7ff00abde0b30";"de41846022e1289a";"96040";"Wed Jul 15 11:22:02 2020"
"PIVOTAL GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2006 bis zum 30.06.2007";"02.03.2009";"83%";"c1affca00be00815e8f7ff00abde0b30";"0d3d0d7935fa8f13";"96040";"Wed Jul 15 11:22:02 2020"
"PIVOTAL GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2007 bis zum 30.06.2008";"26.02.2009";"83%";"c1affca00be00815e8f7ff00abde0b30";"5c3378393ae96bea";"96040";"Wed Jul 15 11:22:02 2020"
"MorphoSys AG Martinsried";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2016";"14.09.2016";"16%";"c1affca00be00815e8f7ff00abde0b30";"6579da0909ac523e";"96040";"Wed Jul 15 11:22:02 2020"
"Medigene AG Planegg,  Ortsteil Martinsried";"Rechnungslegung/ Finanzberichte";"» QUARTALSFINANZBERICHT ZUM 30. SEPTEMBER 2014";"29.01.2015";"16%";"c1affca00be00815e8f7ff00abde0b30";"086c3b3ba656aa78";"96040";"Wed Jul 15 11:22:02 2020"
"Medigene AG Planegg,  Ortsteil Martinsried";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30.6.2014";"05.09.2014";"16%";"c1affca00be00815e8f7ff00abde0b30";"8c8b3c60ebab5773";"96040";"Wed Jul 15 11:22:02 2020"
"Medigene AG Planegg,  Ortsteil Martinsried";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht zum 31.3.2014";"01.09.2014";"16%";"c1affca00be00815e8f7ff00abde0b30";"45f75a55e6779fc2";"96040";"Wed Jul 15 11:22:02 2020"
"Medigene AG Planegg,  Ortsteil Martinsried";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht zum 30. September 2013";"17.02.2014";"16%";"c1affca00be00815e8f7ff00abde0b30";"cdce09f1367a0aee";"96040";"Wed Jul 15 11:22:02 2020"
"Medigene AG Planegg,  Ortsteil Martinsried";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht zum 31. März 2013";"16.08.2013";"16%";"c1affca00be00815e8f7ff00abde0b30";"0d92cfa8164b6f9d";"96040";"Wed Jul 15 11:22:02 2020"
"Medigene AG Planegg,  Ortsteil Martinsried";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2013";"16.08.2013";"16%";"c1affca00be00815e8f7ff00abde0b30";"a2219f580bd8a4b8";"96040";"Wed Jul 15 11:22:02 2020"
