"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Playata GmbH Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"17.02.2020";"100%";"c1affca00be00815e8f7ff00abde0b30";"3f5542bb0942fe13";"08325";"Wed Jul 15 11:59:33 2020"
"Playata GmbH Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"17.01.2019";"100%";"c1affca00be00815e8f7ff00abde0b30";"79a04cb45cea008f";"08325";"Wed Jul 15 11:59:33 2020"
"Playata GmbH Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"20.03.2018";"92%";"c1affca00be00815e8f7ff00abde0b30";"d191f870209136f4";"08325";"Wed Jul 15 11:59:33 2020"
"Playata GmbH Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"01.03.2017";"92%";"c1affca00be00815e8f7ff00abde0b30";"59b0c1617a3cc8f7";"08325";"Wed Jul 15 11:59:33 2020"
"Playata GmbH Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"19.02.2016";"92%";"c1affca00be00815e8f7ff00abde0b30";"0c0f9a7b4fc82374";"08325";"Wed Jul 15 11:59:33 2020"
"Playata GmbH Nürnberg (vormals: Bernried)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"10.02.2015";"92%";"c1affca00be00815e8f7ff00abde0b30";"d82dc08505bff4a0";"08325";"Wed Jul 15 11:59:33 2020"
"Playata GmbH Bernried";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"06.02.2014";"92%";"c1affca00be00815e8f7ff00abde0b30";"ac875a8505e64362";"08325";"Wed Jul 15 11:59:33 2020"
"Playata GmbH Bernried";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"25.04.2013";"92%";"c1affca00be00815e8f7ff00abde0b30";"48df7fe217bb0115";"08325";"Wed Jul 15 11:59:33 2020"
"Playata GmbH Bernried";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"19.08.2011";"92%";"c1affca00be00815e8f7ff00abde0b30";"d73e05e6068863b6";"08325";"Wed Jul 15 11:59:33 2020"
"Playata GmbH Bernried";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"03.08.2010";"92%";"c1affca00be00815e8f7ff00abde0b30";"a580b6a539f467b0";"08325";"Wed Jul 15 11:59:33 2020"
