"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"PrehKeyTec GmbH Mellrichstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"09.12.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"150a471188ff8df1";"79564";"Thu Jul 16 09:50:13 2020"
"PrehKeyTec GmbH Mellrichstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"27.11.2018";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"e3687df5e83cd703";"79564";"Thu Jul 16 09:50:13 2020"
"PrehKeyTec GmbH Mellrichstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"13.11.2017";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"7a07b39bd7524a35";"79564";"Thu Jul 16 09:50:13 2020"
"PrehKeyTec GmbH Mellrichstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"30.05.2016";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"ca1bfa92edaf41f5";"79564";"Thu Jul 16 09:50:13 2020"
"PrehKeyTec GmbH Mellrichstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"30.10.2015";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"cb5c1d2dd4d10aa5";"79564";"Thu Jul 16 09:50:13 2020"
"PrehKeyTec GmbH Mellrichstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"01.10.2014";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"ed3aa9e8b79a73a5";"79564";"Thu Jul 16 09:50:13 2020"
"PrehKeyTec GmbH Mellrichstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"13.01.2014";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"51c412f5409d7355";"79564";"Thu Jul 16 09:50:13 2020"
"PrehKeyTec GmbH Mellrichstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"11.12.2012";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"6ddc6246bbcc8f15";"79564";"Thu Jul 16 09:50:13 2020"
"PrehKeyTec GmbH Mellrichstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"09.02.2012";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"0e896e9219d92d26";"79564";"Thu Jul 16 09:50:13 2020"
"PrehKeyTec GmbH Mellrichstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"05.01.2011";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"da08703adfa7dbb9";"79564";"Thu Jul 16 09:50:13 2020"
"PrehKeyTec GmbH Mellrichstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"02.03.2010";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"b90cacf14f23a8f2";"79564";"Thu Jul 16 09:50:13 2020"
"PrehKeyTec GmbH Mellrichstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31. Dezember 2007";"07.01.2009";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"d48112b34c4d8794";"79564";"Thu Jul 16 09:50:13 2020"
