"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Prodanet GmbH Bruchköbel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"11.12.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"3b3e054524b9324f";"14008";"Thu Jul 16 01:18:35 2020"
"Prodanet GmbH Bruchköbel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"31.08.2018";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"5c6f39e67b4e6948";"14008";"Thu Jul 16 01:18:35 2020"
"Prodanet GmbH Bruchköbel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"04.01.2018";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"eb84d8c1959e8b8d";"14008";"Thu Jul 16 01:18:35 2020"
"Prodanet GmbH Bruchköbel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"27.06.2016";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"59b740cbaca154e4";"14008";"Thu Jul 16 01:18:35 2020"
"Prodanet GmbH Bruchköbel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"16.09.2015";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"2edd7e067464bca2";"14008";"Thu Jul 16 01:18:35 2020"
"Prodanet GmbH Bruchköbel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"30.07.2014";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"af62b114c6d0abff";"14008";"Thu Jul 16 01:18:35 2020"
"Prodanet GmbH Bruchköbel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"31.12.2013";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"595958e1e74de896";"14008";"Thu Jul 16 01:18:35 2020"
"Prodanet GmbH Bruchköbel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"17.01.2013";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"c77bafe3e4cbcd90";"14008";"Thu Jul 16 01:18:35 2020"
"Prodanet GmbH Bruchköbel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"20.12.2011";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"f2ab2f19d5059c09";"14008";"Thu Jul 16 01:18:35 2020"
"Prodanet GmbH Bruchköbel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"30.11.2010";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"f70ad5df13669c52";"14008";"Thu Jul 16 01:18:35 2020"
"Prodanet GmbH Burchköbel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"08.03.2010";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"babff6c5988e51a5";"14008";"Thu Jul 16 01:18:35 2020"
"Prodanet GmbH Burchköbel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"08.01.2009";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"2a2aa84f2730fc67";"14008";"Thu Jul 16 01:18:35 2020"
"Prodanet GmbH Bruchköbel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"09.01.2008";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"ee3fa9eef138a6e1";"14008";"Thu Jul 16 01:18:35 2020"
