"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Q2factory GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"18.06.2020";"100%";"61aebb4bfd3899b23e2c1374ebe7c217";"f1400a2cc55d2e30";"29109";"Mon Jul 13 21:14:25 2020"
"Q2factory GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"01.04.2019";"100%";"61aebb4bfd3899b23e2c1374ebe7c217";"8ad0ee6df84bb1b5";"29109";"Mon Jul 13 21:14:25 2020"
"Q2factory GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"11.07.2018";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"a0a450b8d83da9a2";"29109";"Mon Jul 13 21:14:25 2020"
"Q2factory GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"21.06.2017";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"c7d872e56f7875eb";"29109";"Mon Jul 13 21:14:25 2020"
"Q2factory GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"18.05.2016";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"4fa900170e8e0d48";"29109";"Mon Jul 13 21:14:25 2020"
"Q2factory GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"26.05.2015";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"2b1098a99dcd571d";"29109";"Mon Jul 13 21:14:25 2020"
"Q2factory GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"25.04.2014";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"29680b771908cfb3";"29109";"Mon Jul 13 21:14:25 2020"
"Q2factory GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"02.10.2013";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"0c1f8e3f2b009101";"29109";"Mon Jul 13 21:14:25 2020"
"Q2factory GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"01.02.2013";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"47037bc3056bfff6";"29109";"Mon Jul 13 21:14:25 2020"
"Q2factory GmbH München (vormals: Oberhaching)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 21.12.2010 bis zum 31.12.2010";"31.01.2012";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"65e825eee6e96706";"29109";"Mon Jul 13 21:14:25 2020"
