"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"QUIPU GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"17.10.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"2ba538fb2dbce3fe";"70197";"Thu Jul 16 14:15:58 2020"
"QUIPU GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"10.10.2018";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"4ae50188c9da5fbd";"70197";"Thu Jul 16 14:15:58 2020"
"QUIPU GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"31.08.2017";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"87c69b598ca30e03";"70197";"Thu Jul 16 14:15:58 2020"
"QUIPU GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"09.08.2016";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"793a0acfdb7c46d8";"70197";"Thu Jul 16 14:15:58 2020"
"quipu software GmbH Fürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"23.05.2016";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"8bffc2c6b48f548a";"70197";"Thu Jul 16 14:15:58 2020"
"quipu software GmbH Fürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"23.05.2016";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"8ca0e3dcddcbd578";"70197";"Thu Jul 16 14:15:58 2020"
"Quipu Invest GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"01.04.2016";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"13ca846c140248cc";"70197";"Thu Jul 16 14:15:58 2020"
"Quipu ProInvest GmbH & Co. KG Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"29.03.2016";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"9b1a92bdf6bc983f";"70197";"Thu Jul 16 14:15:58 2020"
"QUIPU GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"20.08.2015";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"809327b7c585841f";"70197";"Thu Jul 16 14:15:58 2020"
"Quipu ProInvest GmbH & Co. KG Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"20.04.2015";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"4993c888359ce869";"70197";"Thu Jul 16 14:15:58 2020"
"Quipu Invest GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"16.04.2015";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"dd8d75aadedf4433";"70197";"Thu Jul 16 14:15:58 2020"
