"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"QualitiKs GmbH Ettlingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"22.01.2016";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"56f4dae64ec2afde";"80745";"Mon Jul 13 19:31:51 2020"
"Qualitest GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"05.01.2016";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"7df3ac3c1997ce6e";"80745";"Mon Jul 13 19:31:51 2020"
"Qualitest GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"26.01.2015";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"904a08f6ebcd2bc0";"80745";"Mon Jul 13 19:31:51 2020"
"2:2 Assekuranzservice GmbH & Co. KG (vormals: QUALIT Gesellschaft für Wirtschafts-
                                       und Finanzberatung GmbH & Co. KG) Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"09.05.2014";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"89c2534f037d25b8";"80745";"Mon Jul 13 19:31:51 2020"
"Qualitest GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"15.01.2014";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"767b643341e4a91e";"80745";"Mon Jul 13 19:31:51 2020"
"2:2 Assekuranzservice GmbH & Co. KG (vormals: QUALIT Gesellschaft für Wirtschafts-
                                       und Finanzberatung GmbH & Co. KG) Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"22.05.2013";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"f8f345879fab5546";"80745";"Mon Jul 13 19:31:51 2020"
"QUALIT GmbH Künzell";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 25.05.2011 bis zum 31.12.2011";"06.03.2013";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"5b4d7afdebea89a8";"80745";"Mon Jul 13 19:31:51 2020"
"Vin de Qualite de Mornag Import GmbH Traben-Trarbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.05.2011 bis zum 30.04.2012";"04.02.2013";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"607c125f2830b440";"80745";"Mon Jul 13 19:31:51 2020"
"Qualitest GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"04.02.2013";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"fa5eaa524454e611";"80745";"Mon Jul 13 19:31:51 2020"
"Qualit Verwaltungs GmbH Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"16.01.2013";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"8a2f636d04b83533";"80745";"Mon Jul 13 19:31:51 2020"
"Qualit Verwaltungs GmbH Augsburg (vormals: Bottrop)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"13.03.2012";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"60b2b13e5090a964";"80745";"Mon Jul 13 19:31:51 2020"
"QUALIT Gesellschaft für Wirtschafts- und Finanzberatung GmbH & Co. KG Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"23.02.2012";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"893d134a4b956aa4";"80745";"Mon Jul 13 19:31:51 2020"
"Vin de Qualite de Mornag Import GmbH Traben-Trarbach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.05.2010 bis zum 30.04.2011";"16.02.2012";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"2b7c14b6db1e1d8a";"80745";"Mon Jul 13 19:31:51 2020"
"Qualitest GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"15.12.2011";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"0d8f4ac389b7585e";"80745";"Mon Jul 13 19:31:51 2020"
"QUALIT Gesellschaft für Wirtschafts- und Finanzberatung GmbH & Co. KG Augsburg (vormals: Bottrop)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"10.08.2011";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"f48f128be2cad535";"80745";"Mon Jul 13 19:31:51 2020"
"QUALIT Gesellschaft für Wirtschafts- und Finanzberatung GmbH & Co. KG Augsburg (vormals: Bottrop)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007 Berichtigung der Veröffentlichung vom 02.07.2009";"15.06.2011";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"f8794f0bc381fb95";"80745";"Mon Jul 13 19:31:51 2020"
"Vin de Qualite de Mornag Import GmbH Traben-Trarbach (vormals: Starkenburg)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.05.2009 bis zum 30.04.2010";"27.04.2011";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"09399f6b32ab30bc";"80745";"Mon Jul 13 19:31:51 2020"
"QUALIT Gesellschaft für Wirtschafts- und Finanzberatung GmbH & Co. KG Augsburg (vormals: Bottrop)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008 Berichtigung der Veröffentlichung vom 12.05.2010";"10.03.2011";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"31a157a5b8d70ded";"80745";"Mon Jul 13 19:31:51 2020"
"QUALIT Gesellschaft für Wirtschafts- und Finanzberatung GmbH & Co. KG Augsburg (vormals: Bottrop)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2005 bis zum 31.12.2005 Berichtigung der Veröffentlichung vom 03.07.2009";"10.02.2011";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"5f733f784fc59ab6";"80745";"Mon Jul 13 19:31:51 2020"
"Qualit Verwaltungs GmbH Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"07.02.2011";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"b836d34d68d0c576";"80745";"Mon Jul 13 19:31:51 2020"
