"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"RIWA GmbH Gesellschaft für Geoinformationen Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"09.12.2019";"100%";"c1affca00be00815e8f7ff00abde0b30";"32822a1476bc1084";"50836";"Wed Jul 15 02:51:43 2020"
"RIWA GmbH Gesellschaft für Geoinformationen Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"20.12.2018";"100%";"c1affca00be00815e8f7ff00abde0b30";"e9315f4f35646452";"50836";"Wed Jul 15 02:51:43 2020"
"RIWA GmbH Gesellschaft für Geoinformationen Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"10.08.2017";"98%";"c1affca00be00815e8f7ff00abde0b30";"b39dc6be49779e4a";"50836";"Wed Jul 15 02:51:43 2020"
"RIWA GmbH Gesellschaft für Geoinformationen Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"26.07.2016";"98%";"c1affca00be00815e8f7ff00abde0b30";"76f4dac718202326";"50836";"Wed Jul 15 02:51:43 2020"
"RIWA GmbH Gesellschaft für Geoinformationen Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"28.10.2015";"98%";"c1affca00be00815e8f7ff00abde0b30";"52aa7e480d3df10c";"50836";"Wed Jul 15 02:51:43 2020"
"RIWA GmbH Gesellschaft für Geoinformationen Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"03.09.2014";"98%";"c1affca00be00815e8f7ff00abde0b30";"dc6565c50f1c687a";"50836";"Wed Jul 15 02:51:43 2020"
"RIWA GmbH Gesellschaft für Geoinformationen Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"16.08.2013";"98%";"c1affca00be00815e8f7ff00abde0b30";"167ef2090e2a9993";"50836";"Wed Jul 15 02:51:43 2020"
"RIWA GmbH Gesellschaft für Geoinformationen Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"06.11.2012";"98%";"c1affca00be00815e8f7ff00abde0b30";"a5b42a8588688021";"50836";"Wed Jul 15 02:51:43 2020"
"RIWA GmbH Gesellschaft für Geoinformationen Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"15.08.2011";"98%";"c1affca00be00815e8f7ff00abde0b30";"076b6f852d61f58a";"50836";"Wed Jul 15 02:51:43 2020"
"RIWA GmbH Gesellschaft für Geoinformationen Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"23.08.2010";"98%";"c1affca00be00815e8f7ff00abde0b30";"d8def66411a4d4ec";"50836";"Wed Jul 15 02:51:43 2020"
"RIWA GmbH Gesellschaft für Geoinformationen Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"01.09.2009";"98%";"c1affca00be00815e8f7ff00abde0b30";"6df514f6083718fe";"50836";"Wed Jul 15 02:51:43 2020"
"RIWA GmbH Gesellschaft für Geoinformationen Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2007";"14.08.2008";"98%";"c1affca00be00815e8f7ff00abde0b30";"4a62c5191e1f128b";"50836";"Wed Jul 15 02:51:43 2020"
"RIWA GmbH,  Gesellschaft für Geoinformationen Kempten Allgäu";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31. Dezember 2006";"22.08.2007";"98%";"c1affca00be00815e8f7ff00abde0b30";"3de34be1576b31b5";"50836";"Wed Jul 15 02:51:43 2020"
