"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Reisering Hamburg RRH GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 HGV Hamburger Gesellschaft für Vermögens- und Beteiligungsmanagement mbH (Hamburg)";"09.08.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"87847fd0859cfbc5";"29344";"Wed Jul 15 20:43:36 2020"
"HGV Hamburger Gesellschaft für Vermögens- und Beteiligungsmanagement mbH Hamburg";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"25.10.2019";"9f640089e0eb51d0473f169a5e9dfb07";"87847fd0859cfbc5";"29344";"Wed Jul 15 20:43:36 2020";"";""
"Reisering Hamburg RRH GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 HGV Hamburger Gesellschaft für Vermögens- und Beteiligungsmanagement mbH (Hamburg)";"06.08.2018";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"3f1bba1ecf00216a";"29344";"Wed Jul 15 20:43:36 2020"
"HGV Hamburger Gesellschaft für Vermögens- und Beteiligungsmanagement mbH Hamburg";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"05.11.2018";"9f640089e0eb51d0473f169a5e9dfb07";"3f1bba1ecf00216a";"29344";"Wed Jul 15 20:43:36 2020";"";""
"Reisering Hamburg RRH GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 HGV Hamburger Gesellschaft für Vermögens- und Beteiligungsmanagement mbH (Hamburg)";"19.07.2017";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"1848f702666d9c6c";"29344";"Wed Jul 15 20:43:36 2020"
"HGV Hamburger Gesellschaft für Vermögens- und Beteiligungsmanagement mbH Hamburg";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"05.10.2017";"9f640089e0eb51d0473f169a5e9dfb07";"1848f702666d9c6c";"29344";"Wed Jul 15 20:43:36 2020";"";""
"Reisering Hamburg RRH GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015 HGV Hamburger Gesellschaft für Vermögens- und Beteiligungsmanagement mbH (Hamburg)";"09.08.2016";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"8c90c9ccd3f79f2a";"29344";"Wed Jul 15 20:43:36 2020"
"HGV Hamburger Gesellschaft für Vermögens- und Beteiligungsmanagement mbH Hamburg";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"28.11.2016";"9f640089e0eb51d0473f169a5e9dfb07";"8c90c9ccd3f79f2a";"29344";"Wed Jul 15 20:43:36 2020";"";""
"Reisering Hamburg RRH GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014 HGV Hamburger Gesellschaft für Vermögens- und Beteiligungsmanagement mbH (Hamburg)";"06.08.2015";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"958d7a33d902ecc0";"29344";"Wed Jul 15 20:43:36 2020"
"HGV Hamburger Gesellschaft für Vermögens- und Beteiligungsmanagement mbH Hamburg";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014 Berichtigung der Veröffentlichung vom 05.01.2016";"03.06.2016";"9f640089e0eb51d0473f169a5e9dfb07";"958d7a33d902ecc0";"29344";"Wed Jul 15 20:43:36 2020";"";""
"HGV Hamburger Gesellschaft für Vermögens- und Beteiligungsmanagement mbH Hamburg";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014 Ergänzung der Veröffentlichung vom 19.11.2015 Berichtigt am 03.06.2016";"05.01.2016";"9f640089e0eb51d0473f169a5e9dfb07";"958d7a33d902ecc0";"29344";"Wed Jul 15 20:43:36 2020";"";""
"HGV Hamburger Gesellschaft für Vermögens- und Beteiligungsmanagement mbH Hamburg";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014 Ergänzt am 05.01.2016";"19.11.2015";"9f640089e0eb51d0473f169a5e9dfb07";"958d7a33d902ecc0";"29344";"Wed Jul 15 20:43:36 2020";"";""
"Reisering Hamburg RRH GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013 HGV Hamburger Gesellschaft für Vermögens- und Beteiligungsmanagement mbH (Hamburg)";"01.09.2014";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"a65d6a69dccdb06f";"29344";"Wed Jul 15 20:43:36 2020"
"Reisering Hamburg RRH GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012 HGV Hamburger Gesellschaft für Vermögens- und Beteiligungsmanagement mbH (Hamburg)";"11.07.2013";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"cdbabdf1e0529707";"29344";"Wed Jul 15 20:43:36 2020"
"Reisering Hamburg RRH GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011 HGV Hamburger Gesellschaft für Vermögens- und Beteiligungsmanagement mbH (Hamburg)";"09.07.2012";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"983225b0fd345638";"29344";"Wed Jul 15 20:43:36 2020"
"Reisering Hamburg RRH GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010 HGV Hamburger Gesellschaft für Vermögens- und Beteiligungsmanagement mbH (Hamburg)";"29.08.2011";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"7b878c4c73b2187a";"29344";"Wed Jul 15 20:43:36 2020"
"Reisering Hamburg RRH GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009 Verkehrsbetriebe Hamburg - Holstein Aktiengesellschaft (Hamburg)";"24.08.2010";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"c6233748cb35ede9";"29344";"Wed Jul 15 20:43:36 2020"
"Reisering Hamburg RRH GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008 HGV Hamburger Gesellschaft für Vermögens- und Beteiligungsmanagement mbH (Hamburg)";"23.10.2009";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"72bbc036a4f69b25";"29344";"Wed Jul 15 20:43:36 2020"
"Reisering Hamburg RRH GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB - Geschäftsjahr 2007 - Verkehrsbetriebe Hamburg-Holstein AG (Hamburg)";"29.09.2008";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"421ed0ca1f2e9280";"29344";"Wed Jul 15 20:43:36 2020"
"Reisering Hamburg RRH GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Verzicht auf die Offenlegung des Jahresabschlusses 2007 Verkehrsbetriebe Hamburg-Holstein AG (Hamburg)";"03.12.2007";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"1628def004fafb4a";"29344";"Wed Jul 15 20:43:36 2020"
"HGV Hamburger Gesellschaft für Vermögens- und Beteiligungsmanagement mbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"25.10.2019";"80%";"9f640089e0eb51d0473f169a5e9dfb07";"5ed17e2e1a8dc9d0";"29344";"Wed Jul 15 20:43:36 2020"
"FFG Fahrzeugwerkstätten Falkenried GmbH, Hamburg; Friedr.Jasper Rund- und Gesellschaftsfahrten GmbH., Hamburg; GMH Gebäudemanagement Hamburg GmbH, Hamburg; HADAG Seetouristik und Fährdienst Aktiengesellschaft, Hamburg; Hamburg Energienetze GmbH, Hamburg; Hamburger Hochbahn Aktiengesellschaft, Hamburg; Hamburger Wasserwerke Gesellschaft mit beschränkter Haftung, Hamburg; Hamburg Messe und Congress GmbH, Hamburg; Hamburg Verkehrsanlagen GmbH, Hamburg; HHW Hamburger Hochbahn-Wache GmbH, Hamburg; HOCHBAHN Beteiligungsgesellschaft mbH & Co. KG, Hamburg; HOCHBAHN Grundstücksverwaltungsgesellschaft mbH & Co. KG, Hamburg; HSG Hanseatische Siedlungs-Gesellschaft mbH, Hamburg; Reisering Hamburg RRH GmbH, Hamburg; SBG Süderelbe Bus GmbH, Hamburg; SGG Städtische Gebäudeeigenreinigung GmbH, Hamburg; Sprinkenhof GmbH, Hamburg; TEREG Gebäudedienste GmbH, Hamburg; Verkehrsbetriebe Hamburg-Holstein GmbH, Hamburg";"Wed Jul 15 20:43:36 2020";"";"";"";"";"";"";""
"HGV Hamburger Gesellschaft für Vermögens- und Beteiligungsmanagement mbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"05.11.2018";"80%";"9f640089e0eb51d0473f169a5e9dfb07";"0e9ed0ed454c9471";"29344";"Wed Jul 15 20:43:36 2020"
