"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"CSTS Beratungs GmbH (vormals: Remira Consulting GmbH) Bochum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 20.02.2019 bis zum 30.12.2019 und Liquidationsschlussbilanz";"10.03.2020";"100%";"af75d5dc888ac79ae50ee77806ec50af";"3f0511d9d41d8c2a";"10094";"Wed Jul 15 16:46:39 2020"
"Remira Holding GmbH Bochum (vormals: Berlin)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 17.09.2018 bis zum 31.12.2018";"28.01.2020";"100%";"af75d5dc888ac79ae50ee77806ec50af";"284d6dff449c978f";"10094";"Wed Jul 15 16:46:39 2020"
"CSTS Beratungs GmbH (vormals: Remira Consulting GmbH) Bochum";"Rechnungslegung/ Finanzberichte";"» Liquidationseröffnungsbilanz zum 20.02.2019";"11.12.2019";"100%";"af75d5dc888ac79ae50ee77806ec50af";"ff2d5f8dbd736f1a";"10094";"Wed Jul 15 16:46:39 2020"
"Remira GmbH Bochum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"09.07.2019";"100%";"af75d5dc888ac79ae50ee77806ec50af";"639bd14aa382154d";"10094";"Wed Jul 15 16:46:39 2020"
"CSTS Beratungs GmbH (vormals: Remira Consulting GmbH) Bochum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"04.07.2019";"100%";"af75d5dc888ac79ae50ee77806ec50af";"2836cde64592a1aa";"10094";"Wed Jul 15 16:46:39 2020"
"Remira Service GmbH Bochum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"01.06.2018";"92%";"af75d5dc888ac79ae50ee77806ec50af";"90ad6271c6301e07";"10094";"Wed Jul 15 16:46:39 2020"
"Remira GmbH Bochum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"23.05.2018";"92%";"af75d5dc888ac79ae50ee77806ec50af";"caa1116e7047c20d";"10094";"Wed Jul 15 16:46:39 2020"
"Remira Service GmbH Bochum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"09.05.2017";"92%";"af75d5dc888ac79ae50ee77806ec50af";"c2271e98c4f1d722";"10094";"Wed Jul 15 16:46:39 2020"
"Remira GmbH Bochum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"05.05.2017";"92%";"af75d5dc888ac79ae50ee77806ec50af";"80cae7310a61d4f2";"10094";"Wed Jul 15 16:46:39 2020"
"Remira GmbH Bochum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"03.06.2016";"92%";"af75d5dc888ac79ae50ee77806ec50af";"a99613e62a1a7c43";"10094";"Wed Jul 15 16:46:39 2020"
"Remira GmbH Bochum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"26.05.2015";"92%";"af75d5dc888ac79ae50ee77806ec50af";"e45f19f610eb90c8";"10094";"Wed Jul 15 16:46:39 2020"
"Remira GmbH Bochum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"02.07.2014";"92%";"af75d5dc888ac79ae50ee77806ec50af";"271f45c1fae801d1";"10094";"Wed Jul 15 16:46:39 2020"
"Remira Consulting GmbH Bochum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"25.06.2014";"92%";"af75d5dc888ac79ae50ee77806ec50af";"443a50244f2b624a";"10094";"Wed Jul 15 16:46:39 2020"
"Remira Consulting GmbH Bochum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"03.01.2014";"92%";"af75d5dc888ac79ae50ee77806ec50af";"246dbe73f6845f9c";"10094";"Wed Jul 15 16:46:39 2020"
"Remira GmbH Bochum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"03.01.2014";"92%";"af75d5dc888ac79ae50ee77806ec50af";"95905c8a4b4408ad";"10094";"Wed Jul 15 16:46:39 2020"
"Remira GmbH Bochum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"31.12.2012";"92%";"af75d5dc888ac79ae50ee77806ec50af";"9ee157271ebd4706";"10094";"Wed Jul 15 16:46:39 2020"
"Remira Consulting GmbH Bochum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"31.12.2012";"92%";"af75d5dc888ac79ae50ee77806ec50af";"9aa0e3912f975e64";"10094";"Wed Jul 15 16:46:39 2020"
"REMIRA Treuhand GmbH Oranienburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"28.09.2012";"92%";"af75d5dc888ac79ae50ee77806ec50af";"c2637e7e0bfc7b28";"10094";"Wed Jul 15 16:46:39 2020"
"Remira GmbH Bochum (vormals: Dortmund)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"03.01.2012";"92%";"af75d5dc888ac79ae50ee77806ec50af";"d35dc5deec4cbdfb";"10094";"Wed Jul 15 16:46:39 2020"
"Remira Consulting GmbH Bochum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"02.01.2012";"92%";"af75d5dc888ac79ae50ee77806ec50af";"98731962dcfd1805";"10094";"Wed Jul 15 16:46:39 2020"
