"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"S.I.X. Offene Systeme GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"07.01.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"564c2e1bee17ed1c";"89833";"Thu Jul 16 02:57:52 2020"
"S.I.X. Offene Systeme GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"02.11.2018";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"b41a13e7fc1f86f5";"89833";"Thu Jul 16 02:57:52 2020"
"S.I.X. Offene Systeme GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"08.02.2018";"98%";"aba51bcc9fdd59516710d900a8a5ca24";"5a970be837a6f1f7";"89833";"Thu Jul 16 02:57:52 2020"
"S.I.X. Offene Systeme GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"10.01.2017";"98%";"aba51bcc9fdd59516710d900a8a5ca24";"aeedd87bb905ed9b";"89833";"Thu Jul 16 02:57:52 2020"
"S.I.X. Offene Systeme GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"19.11.2015";"98%";"aba51bcc9fdd59516710d900a8a5ca24";"607509d018c40a41";"89833";"Thu Jul 16 02:57:52 2020"
"S.I.X. Offene Systeme GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"14.01.2015";"98%";"aba51bcc9fdd59516710d900a8a5ca24";"c95eaca8ab2b0cc2";"89833";"Thu Jul 16 02:57:52 2020"
"S.I.X. Offene Systeme GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"04.12.2013";"98%";"aba51bcc9fdd59516710d900a8a5ca24";"2f7d3fd848dffeff";"89833";"Thu Jul 16 02:57:52 2020"
"S.I.X. Offene Systeme GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"21.02.2013";"98%";"aba51bcc9fdd59516710d900a8a5ca24";"f585e2e5f1a4470c";"89833";"Thu Jul 16 02:57:52 2020"
"S.I.X. Offene Systeme GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"02.02.2012";"98%";"aba51bcc9fdd59516710d900a8a5ca24";"014706a1109001d9";"89833";"Thu Jul 16 02:57:52 2020"
"S.I.X. Offene Systeme GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"25.05.2010";"98%";"aba51bcc9fdd59516710d900a8a5ca24";"e3935d9f2947a6de";"89833";"Thu Jul 16 02:57:52 2020"
