"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"SCIROTEC GmbH Tübingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"20.01.2020";"100%";"e3d38d25a1d2f9f002a20e1ec49591d2";"251d473ac63aa8cd";"45378";"Wed Jul 15 12:44:06 2020"
"SCIROTEC GmbH Tübingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"10.01.2019";"100%";"e3d38d25a1d2f9f002a20e1ec49591d2";"74329c7f44f047cf";"45378";"Wed Jul 15 12:44:06 2020"
"SCIROTEC GmbH Tübingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"25.01.2018";"92%";"e3d38d25a1d2f9f002a20e1ec49591d2";"2d521b7b4c762314";"45378";"Wed Jul 15 12:44:06 2020"
"SCIROTEC GmbH Tübingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"10.02.2017";"92%";"e3d38d25a1d2f9f002a20e1ec49591d2";"5b22f5d864541b04";"45378";"Wed Jul 15 12:44:06 2020"
"SCIROTEC GmbH Tübingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"03.02.2016";"92%";"e3d38d25a1d2f9f002a20e1ec49591d2";"4295935c6067c8cf";"45378";"Wed Jul 15 12:44:06 2020"
"SCIROTEC GmbH Tübingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"06.03.2015";"92%";"e3d38d25a1d2f9f002a20e1ec49591d2";"9dacbcb619bf4ec1";"45378";"Wed Jul 15 12:44:06 2020"
"SCIROTEC GmbH Tübingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"06.03.2014";"92%";"e3d38d25a1d2f9f002a20e1ec49591d2";"b68268e7bad6bb0b";"45378";"Wed Jul 15 12:44:06 2020"
"SCIROTEC GmbH Tübingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"01.02.2013";"92%";"e3d38d25a1d2f9f002a20e1ec49591d2";"6da5d71e8a7ee498";"45378";"Wed Jul 15 12:44:06 2020"
"SCIROTEC GmbH Tübingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"07.03.2012";"92%";"e3d38d25a1d2f9f002a20e1ec49591d2";"842a40f80ae35d62";"45378";"Wed Jul 15 12:44:06 2020"
"SCIROTEC GmbH Tübingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"10.02.2011";"92%";"e3d38d25a1d2f9f002a20e1ec49591d2";"6cbd71dc30433f88";"45378";"Wed Jul 15 12:44:06 2020"
