"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"SCITUS GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"20.11.2015";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"1f52129d3e5c6ec8";"90689";"Wed Jul 15 15:24:33 2020"
"SCITUS GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"24.06.2014";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"c3f643920881328f";"90689";"Wed Jul 15 15:24:33 2020"
"SCITUS GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012 Berichtigung der Veröffentlichung vom 11.02.2014";"16.04.2014";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"4e317d9fe1374a1c";"90689";"Wed Jul 15 15:24:33 2020"
"SCITUS GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012 Berichtigung der Veröffentlichung vom 11.02.2014";"25.03.2014";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"d2e6de902033026e";"90689";"Wed Jul 15 15:24:33 2020"
"SCITUS GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012 Berichtigt am 25.03.2014 und 16.04.2014";"11.02.2014";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"6591d4dac1e8e99d";"90689";"Wed Jul 15 15:24:33 2020"
"SCITUS GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"14.11.2012";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"cbab6e1da824de46";"90689";"Wed Jul 15 15:24:33 2020"
"SCITUS GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"14.11.2011";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"81fabace2a4e3ca1";"90689";"Wed Jul 15 15:24:33 2020"
"SCITUS GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"31.01.2011";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"9c3c1ae73457ea39";"90689";"Wed Jul 15 15:24:33 2020"
"SCITUS GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"11.01.2010";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"078ddc2a848b6554";"90689";"Wed Jul 15 15:24:33 2020"
"Scitus Financial Systems GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"05.12.2008";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"2a90b524d5acc83b";"90689";"Wed Jul 15 15:24:33 2020"
"Scitus Financial Systems GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"25.03.2008";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"095ed62fe9eb85ad";"90689";"Wed Jul 15 15:24:33 2020"
