"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"SE Padersoft GmbH & Co. KG Paderborn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2018 bis zum 31.03.2019";"16.10.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"202da3111d5bb492";"31055";"Thu Jul 16 05:31:42 2020"
"SE Padersoft GmbH & Co. KG Paderborn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2017 bis zum 31.03.2018";"09.10.2018";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"df70dbf5e6fef31a";"31055";"Thu Jul 16 05:31:42 2020"
"SE Padersoft GmbH & Co. KG Paderborn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2016 bis zum 31.03.2017";"06.10.2017";"98%";"aba51bcc9fdd59516710d900a8a5ca24";"3f22bfe81012233f";"31055";"Thu Jul 16 05:31:42 2020"
"SE Padersoft GmbH & Co. KG Paderborn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2015 bis zum 31.03.2016";"24.10.2016";"98%";"aba51bcc9fdd59516710d900a8a5ca24";"32f6b22817fde9d3";"31055";"Thu Jul 16 05:31:42 2020"
"SE Padersoft GmbH & Co. KG Paderborn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2014 bis zum 31.03.2015";"22.12.2015";"98%";"aba51bcc9fdd59516710d900a8a5ca24";"99cc9a5dc9f16f38";"31055";"Thu Jul 16 05:31:42 2020"
"SE Padersoft GmbH & Co. KG Paderborn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2013 bis zum 31.03.2014";"19.12.2014";"98%";"aba51bcc9fdd59516710d900a8a5ca24";"fe1cca012e8feb56";"31055";"Thu Jul 16 05:31:42 2020"
"SE Padersoft GmbH & Co. KG Paderborn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2012 bis zum 31.03.2013";"22.05.2014";"98%";"aba51bcc9fdd59516710d900a8a5ca24";"069ec50cd04b20f3";"31055";"Thu Jul 16 05:31:42 2020"
"SE Padersoft GmbH & Co. KG Paderborn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2011 bis zum 31.03.2012";"03.01.2013";"98%";"aba51bcc9fdd59516710d900a8a5ca24";"7daafb4824ab35bc";"31055";"Thu Jul 16 05:31:42 2020"
"SE Padersoft GmbH & Co. KG Paderborn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2010 bis zum 31.03.2011";"04.06.2012";"98%";"aba51bcc9fdd59516710d900a8a5ca24";"1a03ce0129963a45";"31055";"Thu Jul 16 05:31:42 2020"
"SE Padersoft GmbH & Co. KG Paderborn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2009 bis zum 31.03.2010";"04.04.2011";"98%";"aba51bcc9fdd59516710d900a8a5ca24";"753bc2b9737bed48";"31055";"Thu Jul 16 05:31:42 2020"
"SE Padersoft GmbH & Co. KG Paderborn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2008 bis zum 31.03.2009";"30.03.2010";"98%";"aba51bcc9fdd59516710d900a8a5ca24";"cb3f56c5328a9f83";"31055";"Thu Jul 16 05:31:42 2020"
"SE Padersoft GmbH & Co. KG Paderborn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2007 bis zum 31.03.2008";"12.08.2009";"98%";"aba51bcc9fdd59516710d900a8a5ca24";"78d152700c4b241a";"31055";"Thu Jul 16 05:31:42 2020"
"SE Padersoft GmbH & Co. KG Paderborn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.03.2007";"28.03.2008";"98%";"aba51bcc9fdd59516710d900a8a5ca24";"578bdbd7afd8ce8e";"31055";"Thu Jul 16 05:31:42 2020"
