"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"SOBIS Software GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"04.02.2020";"100%";"c1affca00be00815e8f7ff00abde0b30";"981ca0b01f63f4f1";"96874";"Wed Jul 15 06:06:32 2020"
"SOBIS Software GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"18.12.2018";"100%";"c1affca00be00815e8f7ff00abde0b30";"57430509c3ce4b75";"96874";"Wed Jul 15 06:06:32 2020"
"SOBIS Software GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"31.01.2018";"95%";"c1affca00be00815e8f7ff00abde0b30";"bc2ed76da620b69f";"96874";"Wed Jul 15 06:06:32 2020"
"SOBIS Software GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"03.01.2017";"95%";"c1affca00be00815e8f7ff00abde0b30";"4ad1363f42905e4a";"96874";"Wed Jul 15 06:06:32 2020"
"SOBIS Software GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"11.01.2016";"95%";"c1affca00be00815e8f7ff00abde0b30";"6c2c47d4f09a3577";"96874";"Wed Jul 15 06:06:32 2020"
"SOBIS Software GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"10.12.2014";"95%";"c1affca00be00815e8f7ff00abde0b30";"a9de61a83f50a4aa";"96874";"Wed Jul 15 06:06:32 2020"
"SOBIS Software GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"02.01.2014";"95%";"c1affca00be00815e8f7ff00abde0b30";"92ee1666fa4b7bcf";"96874";"Wed Jul 15 06:06:32 2020"
"SOBIS Software GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"31.12.2012";"95%";"c1affca00be00815e8f7ff00abde0b30";"a0bbae8e7924ff16";"96874";"Wed Jul 15 06:06:32 2020"
"SOBIS Software GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"02.01.2012";"95%";"c1affca00be00815e8f7ff00abde0b30";"8c65ed6c308ee592";"96874";"Wed Jul 15 06:06:32 2020"
"SOBIS Software GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"31.12.2010";"95%";"c1affca00be00815e8f7ff00abde0b30";"f2649286993d196a";"96874";"Wed Jul 15 06:06:32 2020"
"SOBIS Software GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"02.12.2009";"95%";"c1affca00be00815e8f7ff00abde0b30";"3ffc13e9eef469d5";"96874";"Wed Jul 15 06:06:32 2020"
"SOBIS Software GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"22.12.2008";"95%";"c1affca00be00815e8f7ff00abde0b30";"30396cae4fe1abc3";"96874";"Wed Jul 15 06:06:32 2020"
"SOBIS Software GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"15.01.2008";"95%";"c1affca00be00815e8f7ff00abde0b30";"72fed2fe43b833e4";"96874";"Wed Jul 15 06:06:32 2020"
