"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"SPONSORs Verlags GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"14.08.2019";"100%";"c1affca00be00815e8f7ff00abde0b30";"9940c3a3649e2525";"67766";"Tue Jul 14 22:18:13 2020"
"SPONSORs Verlags GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"02.08.2018";"100%";"c1affca00be00815e8f7ff00abde0b30";"b72a65553c3fd79f";"67766";"Tue Jul 14 22:18:13 2020"
"SPONSORs Verlags GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"07.07.2017";"95%";"c1affca00be00815e8f7ff00abde0b30";"baf663a519c73eb2";"67766";"Tue Jul 14 22:18:13 2020"
"SPONSORs Verlags GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"30.06.2016";"95%";"c1affca00be00815e8f7ff00abde0b30";"d383274844652f2d";"67766";"Tue Jul 14 22:18:13 2020"
"SPONSORs Verlags GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"15.07.2015";"95%";"c1affca00be00815e8f7ff00abde0b30";"76a7f7976275cb2a";"67766";"Tue Jul 14 22:18:13 2020"
"SPONSORs Verlags GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"30.05.2014";"95%";"c1affca00be00815e8f7ff00abde0b30";"27b7111bd80fa235";"67766";"Tue Jul 14 22:18:13 2020"
"SPONSORs Verlags GmbH Hamburg (vormals: Mainz)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"31.05.2013";"95%";"c1affca00be00815e8f7ff00abde0b30";"40c7031ff38412e7";"67766";"Tue Jul 14 22:18:13 2020"
"SPONSORs Verlags GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"02.05.2013";"95%";"c1affca00be00815e8f7ff00abde0b30";"d66b945daa2077ea";"67766";"Tue Jul 14 22:18:13 2020"
"SPONSORs Verlags GmbH Hamburg (vormals: Mainz)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"25.01.2012";"95%";"c1affca00be00815e8f7ff00abde0b30";"e8ac17c57671884f";"67766";"Tue Jul 14 22:18:13 2020"
"SPONSORs Verlags GmbH Mainz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"13.01.2011";"95%";"c1affca00be00815e8f7ff00abde0b30";"d71e933073bd70a7";"67766";"Tue Jul 14 22:18:13 2020"
"SPONSORs Verlags GmbH Mainz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"10.05.2010";"95%";"c1affca00be00815e8f7ff00abde0b30";"3cdeef703845c3db";"67766";"Tue Jul 14 22:18:13 2020"
"SPONSORs Verlags GmbH Mainz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"29.01.2009";"95%";"c1affca00be00815e8f7ff00abde0b30";"d479ca3dea8597b9";"67766";"Tue Jul 14 22:18:13 2020"
"SPONSORs Verlags GmbH Mainz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"26.03.2008";"95%";"c1affca00be00815e8f7ff00abde0b30";"66971a5c52ff9bca";"67766";"Tue Jul 14 22:18:13 2020"
"LVM Landwirtschaftlicher Versicherungsverein Münster a. G. Münster";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"01.07.2020";"10%";"c1affca00be00815e8f7ff00abde0b30";"c815759003e519a2";"67766";"Tue Jul 14 22:18:13 2020"
"Landesbank Berlin AG Berlin";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"15.04.2020";"10%";"c1affca00be00815e8f7ff00abde0b30";"70021f3bd516df69";"67766";"Tue Jul 14 22:18:13 2020"
"LVM Landwirtschaftlicher Versicherungsverein Münster a. G. Münster";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"26.06.2019";"10%";"c1affca00be00815e8f7ff00abde0b30";"2d82dd563c810ffc";"67766";"Tue Jul 14 22:18:13 2020"
"Landesbank Berlin AG Berlin";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"25.04.2019";"10%";"c1affca00be00815e8f7ff00abde0b30";"09922ed44311745d";"67766";"Tue Jul 14 22:18:13 2020"
"DEUTSCHE BANK AKTIENGESELLSCHAFT Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Konzern - Quartalsfinanzbericht zum 31. März 2018";"03.05.2018";"5%";"c1affca00be00815e8f7ff00abde0b30";"591ee27336e5a40c";"67766";"Tue Jul 14 22:18:13 2020"
"DEUTSCHE BANK AKTIENGESELLSCHAFT Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Konzern - Quartalsfinanzbericht zum 30. September 2017";"08.11.2017";"5%";"c1affca00be00815e8f7ff00abde0b30";"cf5d3443cd0ac84c";"67766";"Tue Jul 14 22:18:13 2020"
"DEUTSCHE BANK AKTIENGESELLSCHAFT Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Konzern-Halbjahresbericht zum 30. Juni 2017";"02.08.2017";"5%";"c1affca00be00815e8f7ff00abde0b30";"b7da1bec239b7779";"67766";"Tue Jul 14 22:18:13 2020"
