"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"STADTBOTE GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"19.08.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"72eca4836a0cd397";"91183";"Wed Jul 15 19:18:44 2020"
"Stadtbote SystemLogistik GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"14.12.2018";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"dc841e9474becfd5";"91183";"Wed Jul 15 19:18:44 2020"
"STADTBOTE GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"26.09.2018";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"0c1223dae4c33acf";"91183";"Wed Jul 15 19:18:44 2020"
"STADTBOTE GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"05.12.2017";"92%";"9f640089e0eb51d0473f169a5e9dfb07";"ffc475185a0094df";"91183";"Wed Jul 15 19:18:44 2020"
"Stadtbote SystemLogistik GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"13.11.2017";"92%";"9f640089e0eb51d0473f169a5e9dfb07";"0b322caf7bad2b74";"91183";"Wed Jul 15 19:18:44 2020"
"STADTBOTE GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"10.01.2017";"92%";"9f640089e0eb51d0473f169a5e9dfb07";"82dc3d27de9eb7e8";"91183";"Wed Jul 15 19:18:44 2020"
"Stadtbote SystemLogistik GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"07.12.2016";"92%";"9f640089e0eb51d0473f169a5e9dfb07";"826627b9b0e40764";"91183";"Wed Jul 15 19:18:44 2020"
"STADTBOTE GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"02.02.2016";"92%";"9f640089e0eb51d0473f169a5e9dfb07";"ca5ccd908b848ba6";"91183";"Wed Jul 15 19:18:44 2020"
"Stadtbote SystemLogistik GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"07.12.2015";"92%";"9f640089e0eb51d0473f169a5e9dfb07";"699242fd839b7252";"91183";"Wed Jul 15 19:18:44 2020"
"STADTBOTE GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"20.02.2015";"92%";"9f640089e0eb51d0473f169a5e9dfb07";"e767b57a00acb66f";"91183";"Wed Jul 15 19:18:44 2020"
"Stadtbote SystemLogistik GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"11.12.2014";"92%";"9f640089e0eb51d0473f169a5e9dfb07";"df128ba7a8833df0";"91183";"Wed Jul 15 19:18:44 2020"
"STADTBOTE GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012 Ergänzung der Veröffentlichung vom 02.01.2014";"04.03.2014";"92%";"9f640089e0eb51d0473f169a5e9dfb07";"d89d56e5793562e6";"91183";"Wed Jul 15 19:18:44 2020"
"Stadtbote SystemLogistik GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"02.01.2014";"92%";"9f640089e0eb51d0473f169a5e9dfb07";"be994d977ad04890";"91183";"Wed Jul 15 19:18:44 2020"
"STADTBOTE GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012 Ergänzt am 04.03.2014";"02.01.2014";"92%";"9f640089e0eb51d0473f169a5e9dfb07";"9e26fcd3d17cf90b";"91183";"Wed Jul 15 19:18:44 2020"
"STADTBOTE GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"04.01.2013";"92%";"9f640089e0eb51d0473f169a5e9dfb07";"31c0230a7cf51259";"91183";"Wed Jul 15 19:18:44 2020"
"Stadtbote SystemLogistik GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"17.12.2012";"92%";"9f640089e0eb51d0473f169a5e9dfb07";"356c484942f25bdd";"91183";"Wed Jul 15 19:18:44 2020"
"STADTBOTE GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"10.01.2012";"92%";"9f640089e0eb51d0473f169a5e9dfb07";"e85ee39dc7e64fa4";"91183";"Wed Jul 15 19:18:44 2020"
"Stadtbote SystemLogistik GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"30.12.2011";"92%";"9f640089e0eb51d0473f169a5e9dfb07";"b919cc978a8401cd";"91183";"Wed Jul 15 19:18:44 2020"
"STADTBOTE GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"21.02.2011";"92%";"9f640089e0eb51d0473f169a5e9dfb07";"c07816e888126fb5";"91183";"Wed Jul 15 19:18:44 2020"
"Stadtbote SystemLogistik GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"06.01.2011";"92%";"9f640089e0eb51d0473f169a5e9dfb07";"cb7fcbefbea2b907";"91183";"Wed Jul 15 19:18:44 2020"
