"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Schober Information Group Deutschland GmbH Leinfelden-Echterdingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"21.02.2020";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"c450bb77f9b5b07c";"43167";"Wed Jul 15 21:13:36 2020"
"Schober Information Group Deutschland GmbH Leinfelden-Echterdingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"11.01.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"8454f6bc32f30b3c";"43167";"Wed Jul 15 21:13:36 2020"
"Schober Information Group Deutschland GmbH Ditzingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"14.03.2018";"98%";"9f640089e0eb51d0473f169a5e9dfb07";"17d61e7837ea4529";"43167";"Wed Jul 15 21:13:36 2020"
"Schober Information Group Deutschland GmbH Ditzingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"28.12.2016";"98%";"9f640089e0eb51d0473f169a5e9dfb07";"de7f409a3af7d890";"43167";"Wed Jul 15 21:13:36 2020"
"Schober Information Group Deutschland GmbH Ditzingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"29.02.2016";"98%";"9f640089e0eb51d0473f169a5e9dfb07";"0382081af441ef20";"43167";"Wed Jul 15 21:13:36 2020"
"Schober Information Group Deutschland GmbH Ditzingen";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013 Schober Holding International GmbH (Ditzingen)";"12.03.2015";"98%";"9f640089e0eb51d0473f169a5e9dfb07";"eb13876bd348c9ee";"43167";"Wed Jul 15 21:13:36 2020"
"Schober Information Group Deutschland GmbH Ditzingen";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012 Schober Holding International GmbH (Ditzingen)";"23.07.2014";"98%";"9f640089e0eb51d0473f169a5e9dfb07";"16df424897fbe36b";"43167";"Wed Jul 15 21:13:36 2020"
"Schober Information Group Deutschland GmbH Ditzingen";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011 Schober Holding International GmbH (Ditzingen)";"02.04.2013";"98%";"9f640089e0eb51d0473f169a5e9dfb07";"b5404fbafc34edba";"43167";"Wed Jul 15 21:13:36 2020"
"Schober Information Group Deutschland GmbH Ditzingen";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010 Schober Holding International GmbH (Ditzingen)";"06.03.2012";"98%";"9f640089e0eb51d0473f169a5e9dfb07";"7f6dc13060fa4282";"43167";"Wed Jul 15 21:13:36 2020"
"Schober Information Group Deutschland GmbH Ditzingen";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009 Schober Holding International GmbH (Ditzingen)";"16.02.2011";"98%";"9f640089e0eb51d0473f169a5e9dfb07";"8902436e8a09b4de";"43167";"Wed Jul 15 21:13:36 2020"
"Schober Information Group Deutschland GmbH Ditzingen";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008 Schober Information Group Deutschland GmbH (Ditzingen)";"09.02.2010";"98%";"9f640089e0eb51d0473f169a5e9dfb07";"283f45dff49fa23d";"43167";"Wed Jul 15 21:13:36 2020"
"Schober Information Group Deutschland GmbH Ditzingen";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007 Schober Information Services GmbH (Ditzingen)";"25.02.2009";"98%";"9f640089e0eb51d0473f169a5e9dfb07";"31564bd74f6fd574";"43167";"Wed Jul 15 21:13:36 2020"
"Schober Information Group Deutschland GmbH Stuttgart";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB Geschäftsjahr 2006  Schober Holding International AG (Stuttgart)";"27.02.2008";"98%";"9f640089e0eb51d0473f169a5e9dfb07";"0ad2ab7918305643";"43167";"Wed Jul 15 21:13:36 2020"
