"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Sedata IT - Systeme GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.09.2017 bis zum 31.08.2018";"22.11.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"d1f51bca73cd9ef3";"67408";"Wed Jul 15 20:49:47 2020"
"Sedata IT - Systeme GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.09.2016 bis zum 31.08.2017";"19.10.2018";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"6cbe9c1f928a6803";"67408";"Wed Jul 15 20:49:47 2020"
"Sedata IT - Systeme GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.09.2015 bis zum 31.08.2016";"28.09.2017";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"f0ae09b7652d922b";"67408";"Wed Jul 15 20:49:47 2020"
"Sedata IT - Systeme GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.09.2014 bis zum 31.08.2015";"08.06.2016";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"589758169914edf1";"67408";"Wed Jul 15 20:49:47 2020"
"Sedata IT - Systeme GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.09.2013 bis zum 31.08.2014";"13.08.2015";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"8cd9485fdd21e120";"67408";"Wed Jul 15 20:49:47 2020"
"Sedata IT - Systeme GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.09.2012 bis zum 31.08.2013";"05.12.2014";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"864c05ad766bded8";"67408";"Wed Jul 15 20:49:47 2020"
"Sedata IT - Systeme GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.09.2011 bis zum 31.08.2012";"29.11.2013";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"e9c23fc50dbbbeb0";"67408";"Wed Jul 15 20:49:47 2020"
"Sedata IT - Systeme GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.09.2010 bis zum 31.08.2011";"04.12.2012";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"e3c7df71d9f2f830";"67408";"Wed Jul 15 20:49:47 2020"
"Sedata IT - Systeme GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.09.2009 bis zum 31.08.2010 Berichtigung der Veröffentlichung vom 15.02.2012";"26.07.2012";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"57e5f26299f9180c";"67408";"Wed Jul 15 20:49:47 2020"
"Sedata IT - Systeme GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.09.2009 bis zum 31.08.2010 Berichtigt am 26.07.2012";"15.02.2012";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"a5344389fa29a80b";"67408";"Wed Jul 15 20:49:47 2020"
"Sedata IT - Systeme GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.09.2008 bis zum 31.08.2009";"15.12.2010";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"833c533858fe172f";"67408";"Wed Jul 15 20:49:47 2020"
"Sedata IT - Systeme GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.09.2007 bis zum 31.08.2008";"28.01.2010";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"c3ccd88b011b2790";"67408";"Wed Jul 15 20:49:47 2020"
"Sedata IT - Systeme GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.09.2006 bis zum 31.08.2007";"30.01.2009";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"09ab673a5c0032c9";"67408";"Wed Jul 15 20:49:47 2020"
"Sedata IT - Systeme GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.08.2006";"07.10.2008";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"a8ce60a7a8433312";"67408";"Wed Jul 15 20:49:47 2020"
