"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Softship GmbH (vormals: Softship Aktiengesellschaft) Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2018 bis zum 30.06.2019";"07.07.2020";"100%";"af75d5dc888ac79ae50ee77806ec50af";"f5159356f5edc134";"39703";"Wed Jul 15 12:41:39 2020"
"Softship GmbH  (vormals: Softship Aktiengesellschaft) Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2017 bis zum 30.06.2018";"07.05.2019";"100%";"af75d5dc888ac79ae50ee77806ec50af";"c8e9b388df0d5be2";"39703";"Wed Jul 15 12:41:39 2020"
"Softship Aktiengesellschaft Hamburg";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2016";"13.09.2016";"59%";"af75d5dc888ac79ae50ee77806ec50af";"67691ac9743bb1d2";"39703";"Wed Jul 15 12:41:39 2020"
"Softship Aktiengesellschaft Hamburg";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2015";"30.09.2015";"59%";"af75d5dc888ac79ae50ee77806ec50af";"bbca6e6d5db171e9";"39703";"Wed Jul 15 12:41:39 2020"
"Softship Aktiengesellschaft Hamburg";"Rechnungslegung/ Finanzberichte";"» Zwischenmitteilung gemäß § 37x WpHG";"11.11.2014";"59%";"af75d5dc888ac79ae50ee77806ec50af";"f275b1620aebc25b";"39703";"Wed Jul 15 12:41:39 2020"
"Softship Aktiengesellschaft Hamburg";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30.06.2014";"05.09.2014";"59%";"af75d5dc888ac79ae50ee77806ec50af";"ff1ed1755d853211";"39703";"Wed Jul 15 12:41:39 2020"
"Softship Aktiengesellschaft Hamburg";"Rechnungslegung/ Finanzberichte";"» Zwischenmitteilung gemäß § 37x WpHG";"08.05.2014";"59%";"af75d5dc888ac79ae50ee77806ec50af";"c60d9c36b3651d79";"39703";"Wed Jul 15 12:41:39 2020"
"Softship Aktiengesellschaft Hamburg";"Rechnungslegung/ Finanzberichte";"» Zwischenmitteilung gemäß § 37x WpHG";"15.11.2013";"59%";"af75d5dc888ac79ae50ee77806ec50af";"e8a3a1490ffe2ccb";"39703";"Wed Jul 15 12:41:39 2020"
"Softship Aktiengesellschaft Hamburg";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2013";"16.09.2013";"59%";"af75d5dc888ac79ae50ee77806ec50af";"4da8220e70132120";"39703";"Wed Jul 15 12:41:39 2020"
"Softship Aktiengesellschaft Hamburg";"Rechnungslegung/ Finanzberichte";"» Zwischenmitteilung gemäß § 37x WpHG";"27.05.2013";"59%";"af75d5dc888ac79ae50ee77806ec50af";"d410ccc1a570662e";"39703";"Wed Jul 15 12:41:39 2020"
"Softship Aktiengesellschaft Hamburg";"Rechnungslegung/ Finanzberichte";"» Zwischenmitteilung gemäß § 37x WpHG";"13.11.2012";"59%";"af75d5dc888ac79ae50ee77806ec50af";"d89f708313fb43ba";"39703";"Wed Jul 15 12:41:39 2020"
"Softship Aktiengesellschaft Hamburg";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30.06.2012";"31.08.2012";"59%";"af75d5dc888ac79ae50ee77806ec50af";"6cc623964932ee62";"39703";"Wed Jul 15 12:41:39 2020"
"Softship Aktiengesellschaft Hamburg";"Rechnungslegung/ Finanzberichte";"» Zwischenmitteilung gemäß § 37x WpHG";"16.05.2012";"59%";"af75d5dc888ac79ae50ee77806ec50af";"7b1bafa05a68b9e1";"39703";"Wed Jul 15 12:41:39 2020"
"Softship Aktiengesellschaft Hamburg";"Rechnungslegung/ Finanzberichte";"» Konzern Zwischenmitteilung gemäß §37x WpHG";"17.11.2011";"59%";"af75d5dc888ac79ae50ee77806ec50af";"2ac35ce751a20095";"39703";"Wed Jul 15 12:41:39 2020"
"Softship Aktiengesellschaft Hamburg";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2011";"14.09.2011";"59%";"af75d5dc888ac79ae50ee77806ec50af";"34eb2cc03f0e6557";"39703";"Wed Jul 15 12:41:39 2020"
