"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Sportpark Heppenheim GmbH Heppenheim (Bergstraße)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"06.02.2020";"100%";"0e6ad8a5ee8151adc1fb7843153d0870";"516ab89487fe5e46";"06771";"Thu Jul 16 01:16:16 2020"
"Sportpark Heppenheim GmbH Heppenheim (Bergstraße)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"06.02.2019";"100%";"0e6ad8a5ee8151adc1fb7843153d0870";"0e8a43fa63209590";"06771";"Thu Jul 16 01:16:16 2020"
"Sportpark Heppenheim GmbH Heppenheim (Bergstraße)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"01.03.2018";"92%";"0e6ad8a5ee8151adc1fb7843153d0870";"abc296b6c886cb4a";"06771";"Thu Jul 16 01:16:16 2020"
"Sportpark Heppenheim GmbH Heppenheim (Bergstraße)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"07.02.2017";"92%";"0e6ad8a5ee8151adc1fb7843153d0870";"a8ddb3947b332b36";"06771";"Thu Jul 16 01:16:16 2020"
"Sportpark Heppenheim GmbH Heppenheim (Bergstraße)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"04.02.2016";"92%";"0e6ad8a5ee8151adc1fb7843153d0870";"22495fadd96114fe";"06771";"Thu Jul 16 01:16:16 2020"
"Sportpark Heppenheim GmbH Heppenheim (Bergstraße)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"05.02.2015";"92%";"0e6ad8a5ee8151adc1fb7843153d0870";"f1b553ede9146be0";"06771";"Thu Jul 16 01:16:16 2020"
"Sportpark Heppenheim GmbH Heppenheim (Bergstraße)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"14.04.2014";"92%";"0e6ad8a5ee8151adc1fb7843153d0870";"b5d12cdba0399a28";"06771";"Thu Jul 16 01:16:16 2020"
"Sportpark Heppenheim GmbH Heppenheim (Bergstraße)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"30.01.2013";"92%";"0e6ad8a5ee8151adc1fb7843153d0870";"6fb9ef06e9ea7f84";"06771";"Thu Jul 16 01:16:16 2020"
"Sportpark Heppenheim GmbH Heppenheim (Bergstraße)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"06.02.2012";"92%";"0e6ad8a5ee8151adc1fb7843153d0870";"9a5edaa92983d928";"06771";"Thu Jul 16 01:16:16 2020"
"Sportpark Heppenheim GmbH Heppenheim (Bergstraße)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"26.01.2011";"92%";"0e6ad8a5ee8151adc1fb7843153d0870";"ddc11e0555227bdb";"06771";"Thu Jul 16 01:16:16 2020"
"Sportpark Heppenheim GmbH Heppenheim (Bergstraße)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"03.02.2010";"92%";"0e6ad8a5ee8151adc1fb7843153d0870";"cbda725addd688f4";"06771";"Thu Jul 16 01:16:16 2020"
"Sportpark Heppenheim GmbH Heppenheim (Bergstraße)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"20.11.2009";"92%";"0e6ad8a5ee8151adc1fb7843153d0870";"51f7db11f2978f47";"06771";"Thu Jul 16 01:16:16 2020"
"Sportpark Heppenheim GmbH Heppenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"25.01.2008";"92%";"0e6ad8a5ee8151adc1fb7843153d0870";"c3b84eedf3b87124";"06771";"Thu Jul 16 01:16:16 2020"
